pass_id	heading	heading_line_before	words_before	unique_sources_before	inserted_sources	inserted_source_count	boundary	action
I-0266	The Answer That Lied Beautifully	152	531	0	S-0005;S-0093;S-0164	3	Use for hallucination and early moderation/truth framing; no prevalence or legal-outcome claim.	inserted_source_lane
I-0266	The Central Question	198	307	0	S-0006;S-0041;S-0047;S-0138;S-0083	5	Use as source bridge across interface, cloud, compute, and power; no single source proves the whole book thesis.	inserted_source_lane
I-0266	The Older Machine	232	406	0	S-0104;S-0105;S-0106;S-0107	4	Use as technical ancestry lane; do not imply inevitability.	inserted_source_lane
I-0266	The Geometry Of Meaning	262	405	1	S-0104;S-0105	2	Use for distributed representations and word-vector geometry; analogy claims stay bounded.	inserted_source_lane
I-0266	What Attention Changed	318	478	1	S-0106;S-0107;S-0002	3	Use for sequence bottleneck and attention lineage; not proof of reliability.	inserted_source_lane
I-0266	The Hidden Continuity	346	511	2	S-0104;S-0105;S-0106;S-0107;S-0002	5	Use for ancestry synthesis only.	inserted_source_lane
I-0266	What The Transformer Did Not Solve	528	342	4	S-0002;S-0108	2	Use for architecture boundary; no claim that attention solved truth, memory, or reasoning.	inserted_source_lane
I-0266	What Scaling Did Not Buy	706	352	4	S-0003;S-0015;S-0004	3	Use for measured/modelled scaling boundaries; no threshold-intelligence claim.	inserted_source_lane
I-0266	The Platform Primitive	814	269	0	S-0004;S-0071;S-0070	3	Use for GPT-3 API and code-product history; no adoption or productivity inference.	inserted_source_lane
I-0266	The API Made Distribution A Technical Fact	884	406	1	S-0071;S-0070;S-0052	3	Use for distribution/interface turn; outcome claims remain blocked.	inserted_source_lane
I-0266	The Assistant As A Bundle	1025	245	0	S-0014;S-0074;S-0075;S-0076;S-0077	5	Use for behavior-spec and safety-documentation lanes; no solved-alignment claim.	inserted_source_lane
I-0266	The Alignment Tax And The Product Trade	1098	402	1	S-0074;S-0014;S-0076	3	Use for first-party limits and tradeoffs; quote only via approved rows.	inserted_source_lane
I-0266	Why Refusal Became A New Interface Genre	1112	362	0	S-0075;S-0076;S-0077	3	Use for policy/interface framing; do not generalize to all labs.	inserted_source_lane
I-0266	ChatGPT Was The Alignment Demo The Public Could Touch	1136	375	4	S-0006;S-0014;S-0074;S-0092;S-0098;S-0102	6	Use for launch/adoption/behavior bridge; keep metric units separate.	inserted_source_lane
I-0266	The Product Was A Training Method With A Face	1198	573	1	S-0006;S-0014;S-0074	3	Use for ChatGPT/InstructGPT relation; do not infer hidden training details.	inserted_source_lane
I-0266	The Disappearing Manual	1221	470	0	S-0006;S-0078;S-0089	3	Use for product-surface chronology; no usage or retention claim.	inserted_source_lane
