"review_id"	"capture_id"	"source_ids"	"asset_ids"	"rights_status"	"license_or_terms_source"	"creator_or_org"	"attribution_required"	"quote_limit_words"	"excerpt_text_or_none"	"paraphrase_fallback"	"allowed_publication_use"	"private_use_note"	"blocked_claims"	"reviewer_note"	"owner_pass"
"RQR-20260526-2101"	"CAP-20260526-2101"	"S-0286"	"A-0168"	"rights_review_needed"	"https://commons.wikimedia.org/wiki/Special:FilePath/Jensen%20Huang%20(cropped).jpg"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2102"	"CAP-20260526-2102"	"S-0287"	"A-0169"	"rights_review_needed"	"https://commons.wikimedia.org/wiki/Special:FilePath/TSMC%20Fab5.JPG"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2103"	"CAP-20260526-2103"	"S-0288"	"A-0170"	"rights_review_needed"	"https://commons.wikimedia.org/wiki/Special:FilePath/Google%20data%20center.jpg"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2104"	"CAP-20260526-2104"	"S-0280"	"A-0171"	"rights_review_needed"	"https://commons.wikimedia.org/wiki/Special:FilePath/Electrical%20Substation.JPG"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2110"	"CAP-20260526-2110"	"S-0276"	"A-0177"	"rights_review_needed"	"https://commons.wikimedia.org/wiki/Special:FilePath/Silicon%20wafer.jpg"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2116"	"CAP-20260526-2116"	"S-0291"	"A-0183"	"rights_review_needed"	"https://www.anthropic.com/news/claude-4"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2117"	"CAP-20260526-2117"	"S-0292"	"A-0184"	"rights_review_needed"	"https://blog.google/technology/ai/google-gemini-ai/"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2118"	"CAP-20260526-2118"	"S-0293"	"A-0185"	"rights_review_needed"	"https://ai.meta.com/blog/meta-llama-3-1/"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2119"	"CAP-20260526-2119"	"S-0294"	"A-0186"	"rights_review_needed"	"https://arxiv.org/pdf/2501.12948"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2120"	"CAP-20260526-2120"	"S-0295"	"A-0187"	"rights_review_needed"	"https://arxiv.org/pdf/2412.19437"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2121"	"CAP-20260526-2121"	"S-0296"	"A-0188"	"rights_review_needed"	"https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2122"	"CAP-20260526-2122"	"S-0297"	"A-0189"	"rights_review_needed"	"https://www.nvidia.com/en-us/data-center/h100/"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2123"	"CAP-20260526-2123"	"S-0298"	"A-0190"	"rights_review_needed"	"https://www.asml.com/en/products/euv-lithography-systems"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2125"	"CAP-20260526-2125"	"S-0300"	"A-0192"	"rights_review_needed"	"https://www.anthropic.com/claude-code"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2126"	"CAP-20260526-2126"	"S-0301"	"A-0193"	"rights_review_needed"	"https://docs.anthropic.com/en/docs/claude-code/overview"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
"RQR-20260526-2130"	"CAP-20260526-2130"	"S-0305"	"A-0197"	"rights_review_needed"	"https://www.deepseek.com/"	"source_page_or_org_review_needed"	"review_needed"	"25"	"none"	"paraphrase_available"	"not_cleared"	"Local ignored source-media captured for private book production; do not publish until source page license/terms and attribution are verified."	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"Hash and size captured; rights/use still separate from factual claim readiness."	"I-0210"
