id	surface_or_asset	current_chapter	current_role	keep_move_merge_defer	final_role	duplication_or_gap	source_or_asset_ids	blocked_claims	next_action
CH12-20AUD-001	A-0094 Constitutional AI Behavior Loop	12	Mechanism figure for behavior training, critique/revision, AI feedback, and deployment caveats.	keep	Use as the Chapter 12 mechanism opener for Anthropic's behavior identity.	No duplicate in Chapter 20; risk is letting the loop imply solved alignment.	A-0094;S-0019;CH12CLAUDE-001	Solved alignment; moral guarantee; replacement for human judgment; deployed safety proof.	Place near the Constitutional AI section and keep the caption's caveat language.
CH12-20AUD-002	A-0095 Claude Model-Family Timeline	12	Release-family chronology from Claude 3 through Claude 4.	keep	Use as Chapter 12's Claude-family chronology, not as a coding-agent product timeline.	Should not duplicate Chapter 20's coding workflow sequence or imply permanent rank.	A-0095;S-0020;S-0021;S-0109;S-0048;S-0007;CL4BENCH-001	Exact benchmark superiority; live rank; price-quality; adoption; customer productivity.	Keep model-family labels and source-role caveats visible in final layout.
CH12-20AUD-003	A-0096 Computer Use, MCP, And Claude Code Bridge	12/20 bridge	Action-surface bridge from chat to UI use, connectors, repository context, permissions, tools, and review.	keep	Use as a late Chapter 12 bridge or Chapter 20 handoff, not as the main coding-agent workflow loop.	Overlaps with A-0032 and A-0034 unless the caption says bridge rather than loop.	A-0096;S-0109;S-0055;S-0022;S-0049;S-0050;S-0051;S-0007	General autonomy; MCP dominance; secure-by-default agents; productivity; adoption; reliable real-world control.	In render QA, check that this appears before or between chapters as bridge material, not beside every coding-agent loop.
CH12-20AUD-004	A-0097 Safety And Productivity Blocker Grid	12	Blocker map for tempting Claude claims.	keep	Use in Chapter 12 as the negative-control panel for safety, benchmark, price, memory, adoption, and productivity overclaims.	No duplicate in Chapter 20 if A-0035 owns the coding-agent productivity blocker.	A-0097;S-0110;S-0007;S-0035;S-0037;S-0060;C-0013;C-0046	Best coding model; exact price-quality; productivity lift; enterprise adoption; solved safety; general memory; replacement.	Keep if Chapter 12 carries Claude 4/agent claims; trim only after Chapter 20 blocker map is placed.
CH12-20AUD-005	A-0032 Coding Agent Harness Loop	20	Primary Chapter 20 loop for issue, repository context, scaffold, tools, tests, retries, and review.	keep	Use as Chapter 20's main workflow/harness figure.	May look redundant with A-0096 unless Chapter 12 is framed as bridge and Chapter 20 as repository work loop.	A-0032;S-0035;S-0037;S-0022;S-0050;C-0013;CH20AGENT-001;CH20AGENT-002;CH20AGENT-003;CH20AGENT-005	Best coding model; productivity; safety from benchmark score; raw-model score laundering.	Keep as the Chapter 20 anchor near benchmark/workflow prose.
CH12-20AUD-006	A-0034 Tool-Call Lifecycle	20	Product-specific action-boundary figure for proposal, permission, execution, observation, retry, and review.	keep_or_merge	Use as Chapter 20's permission-boundary close-up; merge with A-0032 only if layout is crowded.	Partly duplicates A-0032's loop, but earns space if permission boundaries need close-up treatment.	A-0034;S-0022;S-0050;CH20AGENT-003;CH20AGENT-005	Universal safety; secure-by-default agents; reliable real-world control.	During page layout, test whether A-0032 plus A-0034 is too much loop grammar.
CH12-20AUD-007	A-0033 Coding Benchmark Caveat Matrix	20	Benchmark permission matrix for SWE-bench, LiveCodeBench, terminal tasks, and product metrics.	keep	Use as Chapter 20's benchmark permission surface.	No Chapter 12 duplicate; risk is converting Claude 4 launch numbers into a crown.	A-0033;S-0035;S-0037;S-0007;C-0013;CH20AGENT-001;CH20AGENT-002;CH20AGENT-004	Live rankings; best coding model; enterprise outcomes; productivity from benchmarks.	Place near benchmark prose before any exact numeric comparison is attempted.
CH12-20AUD-008	A-0035 Productivity Claim Blocker Map	20	Blocker map for coding-agent workflow, adoption, revenue, replacement, and productivity claims.	keep	Use as Chapter 20's business-outcome firewall.	Complements A-0097, but Chapter 20's version should stay coding-workflow specific.	A-0035;S-0022;S-0035;S-0037;S-0050;C-0013;CH20AGENT-003;CH20AGENT-004;CH20AGENT-005	Productivity; adoption; revenue; replacement; enterprise outcomes.	Keep separate from Chapter 12 safety/product-family blockers.
CH12-20AUD-009	A-0040 and A-0043 Claude source screenshot slots	12/20	Acquisition-ready screenshots for Claude 4 launch and Claude Code common-workflows docs.	split	A-0040 belongs primarily to Chapter 12; A-0043 belongs primarily to Chapter 20.	The previous slot caption allows Chapter 12/20 ambiguity; final placement should decide one lead chapter per screenshot.	A-0040;A-0043;S-0007;S-0051	Benchmark proof; adoption; enterprise outcome; productivity.	Capture only selected source surfaces with hash, viewport, rights notes, and no raster committed.
CH12-20AUD-010	A-0041 and A-0042 Claude Code documentation screenshot slots	20	Acquisition-ready screenshots for Claude Code best practices and security/permissions docs.	keep	Use in Chapter 20 as documentation surfaces for workflow and permission control.	Should not be used in Chapter 12 as generic Anthropic brand texture.	A-0041;A-0042;S-0049;S-0050	Productivity; adoption; secure-by-default agents; universal safety.	Prioritize one of A-0041/A-0042 if Chapter 20 needs a real source surface beside the loop figures.
