pass_id	figure_id	chapter	old_asset_id	new_asset_id	category	subject	organization_or_role	local_path	sha256	hash_matches_ledger	rights_status	replacement_reason	claim_boundary
I-0290	F01.01	CH01	A-0068	A-0287-013	source_image	OpenAI Platform	OpenAI	assets/private_use_screenshots/i0287_source_pages/src-0287-013-openai-platform.png	f99f8ed3dcb58a7aaa7068073ccd9142f6daec0de7255e9e2aae3179ae9f4605	yes	private_use_public_webpage_screenshot	Replaces an abstract shock chronology with a recognizable public product surface.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F06.01	CH06	A-0011	A-0287-014	source_image	Anthropic Console	Anthropic	assets/private_use_screenshots/i0287_source_pages/src-0287-014-anthropic-console.png	21c83e98d24c0efbdf9d165b504e37c040cfa0b5268973f755b3a96cbacf0658	yes	private_use_public_webpage_screenshot	Replaces an abstract alignment stack with a concrete Anthropic product surface in an existing manuscript callout.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F06.02	CH06	A-0260-004	A-0284-006	source_image	OpenAI API	OpenAI	assets/private_use_photos/i0284_source_images/openai-openai-api.png	f35457a01dadf2de9eb00ef06937c0c73feb060c75017f43d3c60c6741bed3ee	yes	private_use_source_image_from_public_page	Adds product-interface evidence where the prior source card was mostly textual.	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
I-0290	F06.03	CH06	A-0260-001	A-0284-057	person_image	Dario Amodei	Anthropic cofounder and CEO	assets/people/i0284/dario-amodei-profile-page.png	097023cf299370d8469d6c6cc32f684e4b26c482e6c752a3680e24307f10b9f5	yes	private_use_public_profile_page_screenshot	Adds CEO/person texture near an existing Anthropic-related manuscript figure slot.	Public-profile page screenshot only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.
I-0290	F07.02	CH07	A-0208	A-0284-052	person_image	Sam Altman	OpenAI CEO	assets/people/i0284/sam-altman.jpg	9c0463033365494acbeaac416b5cef1a887b676a0a2b3950b4cb0650650fecf4	yes	private_use_public_profile_image_from_wikipedia_summary	Adds people texture to a chapter dominated by launch/source-card surfaces.	Public-profile image only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.
I-0290	F08.02	CH08	A-0057	A-0287-017	source_image	Microsoft Copilot	Microsoft	assets/private_use_screenshots/i0287_source_pages/src-0287-017-microsoft-copilot.png	96f1c5a4533cd1c71b6b0c472c2d79fe89e50e38e6d1d65a072233c4bf9a787c	yes	private_use_public_webpage_screenshot	Replaces a generic flywheel diagram with a visible company product surface.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F09.05	CH09	A-0260-009	A-0287-015	source_image	Google AI Studio	Google	assets/private_use_screenshots/i0287_source_pages/src-0287-015-google-ai-studio.png	2678974be5cfa048602685012ade05afd48b3878f0203d81266f97bb12de4609	yes	private_use_public_webpage_screenshot	Makes the Gemini product turn visible rather than only described.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F10.04	CH10	A-0260-012	A-0287-019	source_image	Meta Llama Docs	Meta	assets/private_use_screenshots/i0287_source_pages/src-0287-019-meta-llama-docs.png	a3241950f667d990ed5eee8e4622ad85391d214bf9a92e7a302eeb72a9d05ea5	yes	private_use_public_webpage_screenshot	Replaces a text card with the real documentation surface readers can recognize.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F11.05	CH11	A-0260-016	A-0284-009	source_image	DeepSeek	DeepSeek	assets/private_use_photos/i0284_source_images/deepseek-deepseek.jpg	013bf4cf3d35a8034fb4e3d49787effa53462e790e74c5efe1d8c3ae7833b857	yes	private_use_source_image_from_public_page	Adds recognizable China/open-model visual texture to a source-heavy section.	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
I-0290	F14.06	CH14	A-0261-003	A-0287-002	source_image	NVIDIA GB200 NVL72	NVIDIA	assets/private_use_screenshots/i0287_source_pages/src-0287-002-nvidia-gb200-nvl72.png	fbda80d823ee81867cea6d7da4220656f3795b59604d58d3bc036d765b373731	yes	private_use_public_webpage_screenshot	Replaces a weak repair card with concrete hardware/systems texture.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F15.01	CH15	A-0012	A-0287-001	source_image	NVIDIA DGX Cloud	NVIDIA	assets/private_use_screenshots/i0287_source_pages/src-0287-001-nvidia-dgx-cloud.png	7408690e7b905d51b033cc2ca025057ec916cf95c0ccdbaabd81bd884f4e09bb	yes	private_use_public_webpage_screenshot	Makes the AI-factory chapter feel anchored in a real infrastructure product.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F15.02	CH15	A-0024	A-0284-051	person_image	Jensen Huang	NVIDIA founder and CEO	assets/people/i0284/jensen-huang.jpg	a446ae394d861e4035c7d1909426bec75f5bdd5af3649d4708e480d3698176b9	yes	private_use_public_profile_image_from_wikipedia_summary	Adds CEO/person texture to a chapter otherwise dominated by slides and diagrams.	Public-profile image only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.
I-0290	F16.06	CH16	A-0260-025	A-0287-009	source_image	Equinix AI	Equinix	assets/private_use_screenshots/i0287_source_pages/src-0287-009-equinix-ai.png	0041d672b58f44824e19a5ab4622254a40a65875652af8a741294350f94e3d4c	yes	private_use_public_webpage_screenshot	Replaces a source card with data-center/company texture.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0290	F20.05	CH20	A-0260-019	A-0284-014	source_image	GitHub Copilot	GitHub	assets/private_use_photos/i0284_source_images/github-github-copilot.png	761c4f30e78e7ea5375f5e511c6b27269956c8121a10325a2c080396ad13a530	yes	private_use_source_image_from_public_page	Adds a recognizable coding-product screenshot to the agent chapter.	Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
I-0290	F22.02	CH22	A-0083	A-0287-026	logo	OpenRouter	OpenRouter	assets/logos/i0287/openrouter.svg	c34ab396f6c4940a7bc2a4a5e3cc64c280cd2ea6c3301ec7659ff95fab4d373a	yes	private_use_brand_logo_from_simple_icons_public_cdn	Introduces the logo layer into an economics/routing figure slot.	Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.
