lab_id	lab_or_family	existing_source_ids	new_source_ids	primary_surface	source_type	screenshot_priority	chapter_targets	mechanism_role	allowed_caption	blocked_claims	support_status	next_action
FL-0177-001	OpenAI GPT-4.1/Codex/Model Spec	S-0059;S-0054;S-0075;S-0076;S-0077;S-0089	S-0244	GPT-4.1 launch post plus API model docs	official launch post and documentation	high	8/13/20/21	API-first frontier model, long-context coding, tool platform, and model-behavior policy surface	OpenAI's public source stack shows the split between model launch, API documentation, system cards, release notes, and behavior specification.	GPT-5-era claims, private training data, exact usage, benchmark supremacy, safety efficacy, and undisclosed system prompts.	ready_capture	Capture GPT-4.1 launch table and API model-doc header as source surfaces; pair with Model Spec only for behavior-policy framing.
FL-0177-002	Anthropic Claude 4	S-0007;S-0019;S-0020;S-0048;S-0055	S-0245	Claude 4 launch post and system card	official product post and system card	high	6/12/20/21	Constitutional/post-training lineage, coding/agent productization, system-card safety boundary	Anthropic's Claude 4 sources pair a launch narrative with a system card, making the chapter's safety-and-action boundary visible.	World-best coding, actual customer productivity, hidden chain-of-thought behavior, biological-risk outcomes, and RSP success claims without row extraction.	ready_capture	Capture system-card title/abstract page and launch post hero/availability panel.
FL-0177-003	Google DeepMind Gemini 2.5	S-0009;S-0017;S-0018;S-0119	S-0246	Gemini 2.5 product post and model card	official blog and model card	high	9/13/21	Thinking-model product grammar, multimodal family, safety/model-card disclosure	Gemini 2.5 should be shown through both product framing and model-card evidence, not only through benchmark claims.	Best model, exact internal reasoning, benchmark comparability, customer adoption, and production traffic claims.	ready_capture	Capture Gemini 2.5 Pro model-card cover and blog launch page; use exact version/date in captions.
FL-0177-004	Meta Llama 4	S-0008;S-0023;S-0024;S-0025		Llama 4 herd launch post	official product/research post	high	10/11/18	The open-weight platform lane: release strategy, native multimodality, ecosystem pressure	Meta's Llama surface explains open-weight strategy as a release mechanism rather than a logo in the frontier parade.	Full openness, safety sufficiency, market adoption, benchmark leadership, or downstream fine-tune behavior.	ready_capture	Capture architecture/release diagram if present; otherwise capture launch page header and model-family table.
FL-0177-005	xAI Grok	S-0034;S-0148;S-0149		Grok-1 and Grok 3 official pages	official pages with shell-capture blocker	medium	12/13	xAI launch/open-release lane and capture-failure caution	xAI remains a source-capture lane with useful official pages but insufficient durable capture for final quotation.	Leaderboard rank, truthful-search quality, Colossus scale, exact compute, adoption, and direct quotation until durable capture succeeds.	partial_gap	Use browser/manual capture; record hash or archive before final manuscript dependence.
FL-0177-006	Mistral AI	S-0032;S-0033;S-0063;S-0081;S-0082;S-0145;S-0146;S-0147		Mistral 7B, Mixtral, Medium 3, model docs	technical papers, product post, docs	high	12/13/18	European efficient-model and sparse-MoE lane	Mistral's evidence should move from 7B/Mixtral papers to Medium 3 and docs to show mechanism continuity.	Neutral price-performance, sovereignty adoption, customer deployment, and live pricing without versioned captures.	ready_capture	Capture Medium 3 post and docs model list; preserve post-cutoff pricing caveat.
FL-0177-007	Cohere Command/Aya	S-0150;S-0151		Command A and Aya posts	official product/research posts	medium	12/17/18	Enterprise RAG/tool-use/multilingual lane	Cohere's strongest visual lane is enterprise task specialization, not general frontier ranking.	Productivity, adoption, market share, benchmark superiority, and private deployment economics without independent evidence.	ready_capture	Capture Command A capability table and Aya multilingual framing; avoid vendor superiority captions.
FL-0177-008	AI21 Jamba	S-0152		Jamba 1.5 open model family post	official product/research post	medium	12/18	Hybrid SSM-Transformer architecture and long-context lane	AI21 gives the book a non-Transformer-only architecture surface through Jamba's hybrid design.	"First" or "most efficient" claims without exact date/competition extraction; live API availability; enterprise adoption.	ready_capture	Capture Jamba architecture/long-context section and license note.
FL-0177-009	Qwen/Alibaba	S-0026;S-0027		Qwen2 and Qwen3 technical reports	arXiv technical reports with local captures	high	11/13/21	Chinese open-model family and reasoning/open-weight lane	Qwen should be represented by technical-report pages and exact family/version labels, not by a generic Alibaba logo.	Qwen 3.5/3.6, current leaderboard rank, market share, benchmark dominance, and undisclosed training data.	ready_capture	Capture Qwen3 arXiv abstract and technical-report figure/table only after rights review.
FL-0177-010	DeepSeek	S-0028;S-0029		DeepSeek-V3 and DeepSeek-R1 technical reports	arXiv technical reports with local captures	high	11/13/21	MoE efficiency, reasoning RL, distillation, and test-time compute lane	DeepSeek's evidence belongs in a mechanism panel linking MoE training to reasoning RL and distillation.	DeepSeek V4-era claims, live app usage, cost miracles, export-control causality, and universal reasoning superiority.	ready_capture	Capture V3 and R1 arXiv surfaces; extract numeric rows before any chart.
