pass_id	source_id	note_ref_count	title	creator_or_org	source_type	primary_or_secondary	accessed_date	url_or_path	cutoff_relevance	used_in	bibliography_entry	caveat
I-0267	S-0001	18	GTC-2026-Keynote.pdf	NVIDIA	presentation	primary	2026-05-24	local:GTC-2026-Keynote.pdf	cutoff-bounded local source	NVIDIA/GTC chapters	S-0001 - GTC-2026-Keynote.pdf (NVIDIA; presentation; primary; accessed 2026-05-24; local:GTC-2026-Keynote.pdf)	Local PDF present in workspace; 76 pages; SHA256 CC3674320B2763748DB4033B42B1A19A0134AB0F60A15BB6A6EFDFC6963D369F; page-level notes in data/gtc_2026_keynote_page_notes.tsv.
I-0267	S-0002	25	Attention Is All You Need	Vaswani et al.	paper	primary	2026-05-24	https://arxiv.org/abs/1706.03762	pre-cutoff foundational Transformer source	manuscript/00-master-outline.md	S-0002 - Attention Is All You Need (Vaswani et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/1706.03762)	Use for Transformer architecture, self-attention, and parallelization claims.
I-0267	S-0003	9	Scaling Laws for Neural Language Models	Kaplan et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2001.08361	pre-cutoff scaling source	manuscript/00-master-outline.md	S-0003 - Scaling Laws for Neural Language Models (Kaplan et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2001.08361)	Use for early OpenAI scaling-law framing.
I-0267	S-0004	19	Language Models are Few-Shot Learners	Brown et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2005.14165	pre-cutoff GPT-3 source	manuscript/00-master-outline.md	S-0004 - Language Models are Few-Shot Learners (Brown et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2005.14165)	Use for GPT-3, few-shot prompting, and API-era chapter planning.
I-0267	S-0005	7	GPT-4 Technical Report	OpenAI	paper	primary	2026-05-24	https://arxiv.org/abs/2303.08774	pre-cutoff GPT-4 source	manuscript/00-master-outline.md	S-0005 - GPT-4 Technical Report (OpenAI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2303.08774)	Use for GPT-4 capabilities and documented limits; do not infer hidden architecture.
I-0267	S-0006	12	Introducing ChatGPT	OpenAI	product post	primary	2026-05-24	https://openai.com/index/chatgpt/	pre-cutoff ChatGPT launch source	manuscript/00-master-outline.md	S-0006 - Introducing ChatGPT (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/index/chatgpt/)	Use for ChatGPT launch framing and product chronology.
I-0267	S-0007	5	Introducing Claude 4	Anthropic	product post	primary	2026-05-24	https://www.anthropic.com/news/claude-4	pre-cutoff Claude 4 and coding source	manuscript/00-master-outline.md	S-0007 - Introducing Claude 4 (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-4)	Use for Claude 4, Claude Code, agent tool capabilities, and benchmark claims after checking exact wording.
I-0267	S-0008	5	The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation	Meta AI	product post	primary	2026-05-24	https://ai.meta.com/blog/llama-4-multimodal-intelligence/	pre-cutoff Llama 4 source	manuscript/00-master-outline.md	S-0008 - The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation (Meta AI; product post; primary; accessed 2026-05-24; https://ai.meta.com/blog/llama-4-multimodal-intelligence/)	Use for Llama 4 open-weight and architecture claims after source snapshot.
I-0267	S-0010	6	NVIDIA Vera Rubin Opens Agentic AI Frontier	NVIDIA	investor press release	primary	2026-05-24	https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Vera-Rubin-Opens-Agentic-AI-Frontier/default.aspx	cutoff-bounded GTC 2026 source	manuscript/00-master-outline.md	S-0010 - NVIDIA Vera Rubin Opens Agentic AI Frontier (NVIDIA; investor press release; primary; accessed 2026-05-24; https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Vera-Rubin-Opens-Agentic-AI-Frontier/default.aspx)	Use for Vera Rubin/GTC 2026 claims; separate announced roadmap from shipped status.
I-0267	S-0011	8	Improving Language Understanding by Generative Pre-Training	OpenAI	paper	primary	2026-05-24	https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf	pre-cutoff GPT-1 source	manuscript/00-source-map.md	S-0011 - Improving Language Understanding by Generative Pre-Training (OpenAI; paper; primary; accessed 2026-05-24; https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf)	Use for GPT-1 and unsupervised pretraining claims.
I-0267	S-0012	5	Better Language Models and Their Implications	OpenAI	research post	primary	2026-05-24	https://openai.com/index/better-language-models/	pre-cutoff GPT-2 source	manuscript/00-source-map.md	S-0012 - Better Language Models and Their Implications (OpenAI; research post; primary; accessed 2026-05-24; https://openai.com/index/better-language-models/)	Use with GPT-2 paper/model-card sources for staged release and misuse-risk framing.
I-0267	S-0013	7	Language Models are Unsupervised Multitask Learners	Radford et al.	paper	primary	2026-05-24	https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf	pre-cutoff GPT-2 source	manuscript/00-source-map.md	S-0013 - Language Models are Unsupervised Multitask Learners (Radford et al.; paper; primary; accessed 2026-05-24; https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf)	Use for GPT-2 technical details.
I-0267	S-0014	14	Training language models to follow instructions with human feedback	Ouyang et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2203.02155	pre-cutoff InstructGPT/RLHF source	manuscript/00-source-map.md	S-0014 - Training language models to follow instructions with human feedback (Ouyang et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2203.02155)	Use for instruction tuning and RLHF pipeline.
I-0267	S-0015	7	Training Compute-Optimal Large Language Models	Hoffmann et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2203.15556	pre-cutoff Chinchilla source	manuscript/00-source-map.md	S-0015 - Training Compute-Optimal Large Language Models (Hoffmann et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2203.15556)	Use for compute/data scaling balance.
I-0267	S-0016	3	PaLM: Scaling Language Modeling with Pathways	Chowdhery et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2204.02311	pre-cutoff PaLM source	manuscript/00-source-map.md	S-0016 - PaLM: Scaling Language Modeling with Pathways (Chowdhery et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2204.02311)	Use for Google/Pathways scaling chapter.
