pass_id	figure_id	chapter	asset_id	asset_type	figure_title	rights_status	rights_stage	publication_decision	replacement_path	required_next_action	source_ids	manifest_file_path	manifest_status	real_world_candidate	claim_boundary
I-0250	F01.01	CH01	A-0068	svg_diagram	ChatGPT Shock Chronology	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0006;S-0092;S-0098;S-0102	assets/visual_system/chapter1-chatgpt-shock-chronology.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F01.02	CH01	A-0069	svg_diagram	From Prompt to Answer, One Token at a Time	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0004;S-0005;S-0006;S-0014;S-0043	assets/visual_system/chapter1-token-to-answer-schematic.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F01.03	CH01	A-0070	svg_diagram	Local Alarms: First Institutional Response Chronology	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0093;S-0094;S-0096;S-0097	assets/visual_system/chapter1-institutional-response-chronology.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F02.01	CH02	A-0115	svg_diagram	The Bottleneck Before The Breakthrough	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0002;S-0104;S-0105;S-0106;S-0107	assets/visual_system/chapter2-pre-transformer-bottleneck-map.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F03.01	CH03	A-0116	svg_diagram	Attention Is A Mixing Operation, Not A Mind	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0002;S-0108	assets/visual_system/chapter3-self-attention-information-flow.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F04.01	CH04	A-0117	svg_diagram	Loss Is A Map, Not A Product Guarantee	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0003;S-0004;S-0015;S-0016	assets/visual_system/chapter4-scaling-evidence-lane-chart.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F05.01	CH05	A-0010	svg_diagram	From Pretraining To The Cursor	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	local:data/gpt_lineage_visual_table.tsv	assets/visual_system/gpt-lineage-table.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F06.01	CH06	A-0011	svg_diagram	Alignment As A Product Stack	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	local:data/rlhf_alignment_pipeline_i0023.tsv	assets/visual_system/rlhf-alignment-pipeline.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F06.02	CH06	A-0121	screenshot_slot	ChatGPT Product Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0006	assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F06.03	CH06	A-0122	screenshot_slot	ChatGPT Plus Productization Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0078;S-0089	assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F07.01	CH07	A-0016	svg_diagram	ChatGPT: From Interface Event To Business Surface	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0006;S-0014;S-0044;S-0045;S-0046;S-0077;S-0078;S-0079;S-0089;S-0090	assets/visual_system/chatgpt-interface-business-timeline.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F07.02	CH07	A-0036	screenshot_slot	ChatGPT launch surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0006	assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
