rank	shortlist_id	priority	chapter_targets	interface_surface	source_ids	asset_or_prior_slot	recommended_treatment	story_value	capture_readiness	allowed_caption	blocked_claims	next_action
1	PIE-0193-001	P0	6	ChatGPT launch product surface	S-0006	A-0121;MPI-0180-001	final candidate	The public assistant interface turn; the screenshot gives the reader immediate recognition of the moment language models became a consumer product.	planned private-use capture slot exists; needs raster/html hashes and rights review	OpenAI's ChatGPT launch page as an attributed product surface for the assistant turn.	adoption; daily usage; revenue; model quality; truthfulness; current UI; market share	Capture A-0121 first and pair it with a source-date caption, not a usage claim.
2	PIE-0193-002	P0	7	ChatGPT Enterprise source surface	S-0079;S-0089	A-0123;MPI-0180-003	final candidate	The same interface wrapped for work, governance, and procurement pressure.	planned private-use capture slot exists; needs raster/html hashes and rights review	OpenAI's Enterprise announcement as the work-surface and governance wrapper for ChatGPT.	customer adoption; enterprise ROI; productivity; security effectiveness; revenue; deployment scale	Capture official announcement or source-render fallback; separate vendor promise from outcome evidence.
3	PIE-0193-003	P0	8	Gemini/Bard consumer relaunch surface	S-0121;S-0119	A-0129;MPI-0180-009	final candidate	Google's product-conversion pressure after ChatGPT, best used as a chronology and distribution surface.	planned slot exists but needs choice between Bard/Gemini routes	Google Gemini/Bard source surface showing consumer conversion under Google distribution pressure.	Search-share effect; adoption; model rank; Workspace productivity; safety; current feature availability	Choose the launch/rebrand surface for Chapter 8; keep developer docs as a reserve.
4	PIE-0193-004	P0	12	Claude product and model-family surface	S-0007;S-0245	A-0130;MPI-0180-010	final candidate	Anthropic's assistant product surface bridges Constitutional AI, model behavior, and commercial packaging.	planned private-use capture slot exists; needs source-page hash	Anthropic Claude source surface as product texture for constitutional/assistant packaging.	usage; safety success; benchmark superiority; enterprise adoption; revenue; current model state	Capture after deciding whether Chapter 12 needs Claude general before Claude Code.
5	PIE-0193-005	P0	19	GitHub Copilot coding assistant surface	S-0070	A-0127;MPI-0180-007	final candidate	The code-completion interface makes the move from chat to editor legible.	planned private-use capture slot exists; needs source-page hash	GitHub Copilot as a coding-assistant product surface embedded in developer workflow.	productivity; code quality; adoption; revenue; security; developer replacement	Capture official product/news surface; do not import marketing productivity claims.
6	PIE-0193-006	P0	20	Claude Code launch surface	S-0048;S-0049	A-0131;MPI-0180-011	final candidate	The supervised terminal/agent workflow is the book's strongest coding-agent product exhibit.	planned private-use capture slot exists; needs route choice and hash	Anthropic Claude Code source surface as a supervised coding-agent interface.	autonomy; productivity; safety; security effectiveness; repository success rate; developer replacement	Capture the launch page as the narrative surface and use docs only for exact workflow claims.
7	PIE-0193-007	P0	18	OpenAI API tools documentation surface	S-0271;S-0244	A-0125;MPI-0180-005	final candidate	Shows the platform substrate below chat: tools as developer-facing interface, not just UI chrome.	planned docs capture slot exists; dynamic docs need hash and date context	OpenAI API documentation as a source surface for tool-calling and platform packaging.	current API behavior; availability; pricing; reliability; developer adoption; safety	Capture exact route with visible docs context; extract any behavioral claim separately.
8	PIE-0193-008	P0	20	OpenAI Codex agent source surface	S-0054;S-0244	A-0126;MPI-0180-006	final candidate	Codex provides a second repository-agent surface for comparing product promises and supervision boundaries.	planned private-use capture slot exists; needs official page hash	OpenAI's Codex source surface as an attributed example of repository-work agent packaging.	autonomous engineering; productivity; defect rate; market share; security; broad deployment	Capture official Codex page and keep capability language source-dated.
9	PIE-0193-009	P0	12;18	ChatGPT plugins source surface	S-0044	A-0124;MPI-0180-004	choose one within tools family	Best historical marker of the first public tool-extension frame.	planned slot exists but competes with GPTs/tools pages	OpenAI product surface showing plugins as an interface extension.	plugin adoption; app-store economics; workflow productivity; tool reliability; agent autonomy; safety	Use only if Chapter 18 needs chronology before API/tool docs.
10	PIE-0193-010	P1	12;18	GPTs custom-assistant surface	S-0045;S-0046	A-0124;MPI-0180-004	reserve	Useful if the book needs a consumer-facing bridge from plugins to configurable assistants.	planned slot shares A-0124 family; needs one final page selection	OpenAI GPTs source surface as evidence of configurable assistant packaging.	GPT adoption; app-store economics; revenue; workflow productivity; tool reliability; safety	Keep as reserve unless it adds a distinct claim-control role beyond plugins/API docs.
11	PIE-0193-011	P1	6	ChatGPT Plus productization surface	S-0078;S-0089	A-0122;MPI-0180-002	reserve or small inset	Shows the consumer subscription bridge, but it can crowd the launch screenshot.	planned private-use capture slot exists; needs hash and source-date caption	OpenAI's Plus announcement/source page as evidence that ChatGPT became a paid product surface.	subscriber count; revenue; margin; retention; model quality; availability today	Use only if Chapter 6 needs a paid-product beat; otherwise cite in prose.
12	PIE-0193-012	P1	7	Microsoft 365 Copilot work-surface announcement	S-0270;S-0272	A-0128;MPI-0180-008	reserve or chapter-7 alternate	Shows Microsoft distribution into office work surfaces; strongest if paired with OpenAI/Microsoft chapter logic.	planned private-use capture slot exists; needs hash and rights review	Microsoft 365 Copilot announcement as an enterprise productivity-app interface surface.	productivity gains; seat count; ARR; customer success; security; market share	Use as alternate if Enterprise screenshot does not carry enough work-surface specificity.
13	PIE-0193-013	P1	8	Gemini developer/API surface	S-0123;S-0124	A-0129;MPI-0180-009	reserve	Useful for showing Google converting model releases into developer surfaces, not only consumer branding.	planned Gemini/Bard family slot exists; route not chosen	Google Gemini developer source surface as a dated API/product packaging example.	developer adoption; model rank; current feature availability; safety; Workspace productivity	Keep as reserve unless Chapter 8 needs developer-platform contrast.
14	PIE-0193-014	P1	20	Claude Code permissions/security docs surface	S-0050	A-0131;MPI-0180-011	reserve with high claim-control value	Docs can show permission and review boundaries more cleanly than a marketing page.	capture path planned indirectly; docs route needs separate local hash	Anthropic Claude Code documentation surface showing permission or security boundary language at capture time.	security effectiveness; autonomy; productivity; repository success rate; developer replacement	If used, capture as a source-card/docs screenshot rather than a glamour product page.
15	PIE-0193-015	P1	20	Claude Code common-workflows docs surface	S-0051	A-0131;MPI-0180-011	reserve	Good for workflow specificity if the chapter needs tests/review loop evidence.	capture path planned indirectly; docs route needs separate hash	Anthropic Claude Code workflow documentation as a dated source surface.	autonomy; productivity; safety; security effectiveness; replacement claims	Hold until the final Chapter 20 caption needs workflow granularity.
16	PIE-0193-016	P1	19	Cursor-style IDE docs/product surface	S-0268;S-0269	A-0132;MPI-0180-012	reserve	Represents AI-native IDE packaging without making the book a tool roundup.	planned private-use capture slot exists; needs page selection	Cursor official docs/product surface as a representative AI-native coding IDE source surface.	user count; productivity; code quality; market share; security; replacement of IDEs	Use only if Copilot plus Claude Code leave an IDE-native gap.
17	PIE-0193-017	P1	12	Claude model/system card surface	S-0245	A-0130;MPI-0180-010	source-card reserve	Model-card style source texture can support claims better than a product screenshot when safety/rank language appears.	source exists; final card/screenshot not planned separately	Anthropic model-family source surface as a dated product/model packaging artifact.	usage; safety success; benchmark superiority; enterprise adoption; revenue; current model state	Prefer source-excerpt card treatment if exact wording matters.
18	PIE-0193-018	P1	12	GPT-4 system-card source surface	S-0076	planned source-card/system-card slot	source-card reserve	System cards can explain the governance theater around frontier products better than another UI screenshot.	source exists in prior card/redraw planning; no screenshot slot in I-0180	OpenAI GPT-4 system-card surface as a dated source artifact, not as proof of safety success.	safety effectiveness; product reliability; adoption; model rank; current behavior	Defer to source-excerpt card pass unless Chapter 12 requires a system-card screenshot.
19	PIE-0193-019	P1	12;18	GPT-4o system-card or release source surface	S-0077	planned source-card/system-card slot	source-card reserve	Useful for multimodal/product packaging if it carries a distinct governance or release-time claim.	source exists in prior card/redraw planning; no screenshot slot in I-0180	OpenAI GPT-4o source surface as a dated release/system-card artifact.	safety effectiveness; broad intelligence; adoption; market rank; current behavior	Defer to source-card workflow; do not compete with product-interface screenshot slots.
20	PIE-0193-020	P2	13	Model ranking or benchmark page surface	S-0035;S-0037	benchmark-shortlist defer	The interface of evaluation matters, but benchmark pages need a separate caption contract.	prior benchmark sources exist; not ready for interface exhibit treatment	Benchmark source surface only within named version/date/metric scope.	live crown; broad intelligence; productivity; safety; adoption; price-quality	Defer to benchmark exhibit shortlist so numbers are normalized before any screenshot.
21	PIE-0193-021	P2	13	Arena or external leaderboard snapshot surface	S-0253;S-0254	benchmark-shortlist defer	A recognizable leaderboard can teach evaluation culture, but it is too risky as casual UI art.	prior benchmark sources exist; no capture slot here	Leaderboard source surface only for a dated methodology and model list.	model rank beyond snapshot; benchmark superiority; broad intelligence; adoption; market share	Keep out of interface shortlist until benchmark page capture rules are complete.
22	PIE-0193-022	P2	6;12	Pricing or model catalog page surface	S-0078;S-0245	source-card/pricing reserve	Pricing pages can show productization, but they are dynamic and often stale without exact capture context.	source IDs exist through product/model sources; no dedicated capture slot	Pricing or catalog source surface as date-bound product packaging, if captured and hashed.	revenue; margin; demand; affordability; current availability; price-performance	Do not use as a screenshot unless a date-hashed page is needed for a specific price claim.
23	PIE-0193-023	P2	18	OpenAI developer platform documentation landing surface	S-0244;S-0271	A-0125;MPI-0180-005	reserve	May be cleaner than a narrow tool docs route if the chapter needs platform packaging over feature behavior.	planned A-0125 docs slot exists; route choice unresolved	OpenAI developer documentation as a dated platform/source surface.	current API behavior; pricing; reliability; developer adoption; safety; feature availability	Choose either platform overview or exact tools route, not both.
24	PIE-0193-024	P2	19;20	Coding-agent tool ecosystem comparison surface	S-0070;S-0048;S-0054;S-0268	derived comparison, not screenshot	Useful as a later original diagram rather than four more product screenshots.	source set exists; no new capture needed if synthesized	A source-backed comparison of product surfaces, dates, and supervision boundaries.	productivity; developer replacement; autonomy; security; market share; code quality	Convert to a small original table only if it replaces extra screenshots.
