row_id	economic_surface	source_ids_or_assets	evidence_scope	reader_takeaway	visual_treatment	blocked_claims
TECO-001	Training tokens	A-0073;S-0139;S-0142;S-0143	Existing hardware/capacity rows support training as a build-time compute problem, not a price meter.	Training tokens help create the model artifact; they are not the same economic event as every later user request.	left-side build loop with one-way artifact arrow	training cost; exact FLOPs; dataset size; model quality; energy per run
TECO-002	Input tokens	A-0082;data/provider_pricing_rows_i0026.tsv;data/openai_pricing_rows_i0021.tsv	Provider pricing rows expose input tokens as one visible unit of sale when cutoff status and scope are labeled.	The prompt, retrieved context, tool instructions, and conversation history are billable/load-bearing input.	labeled token lane in the meter	live price; exact provider margin; exact user spend; price-quality superiority
TECO-003	Cached input tokens	A-0082;data/provider_pricing_rows_i0026.tsv;data/openai_pricing_rows_i0021.tsv	Some provider rows expose cached-input pricing, but cache writes and conditions vary by provider.	Caching can change the visible meter, but it is not a universal discount or margin proof.	parallel cached lane with caveat tag	guaranteed savings; production cache hit rate; provider margin; universal availability
TECO-004	Output tokens	A-0082;data/provider_pricing_rows_i0026.tsv;data/openai_pricing_rows_i0021.tsv	Provider rows commonly expose output-token prices; reasoning/thinking tokens can complicate this unit.	Output often costs more than input at the listed meter, but exact economics depend on provider, model, scope, and date.	output lane ending in answer stream	live price; cost per answer; profitability; universal price ratio
TECO-005	Context window	A-0069;A-0064;A-0215;data/provider_pricing_rows_i0026.tsv	Long-context assets and pricing rows support context as capacity and scope, not as free memory.	Longer context can increase the amount of input the system must carry, route, cache, or price.	expanding context box feeding input meter	exact memory cost; product superiority; long-context usefulness; universal accuracy gain
TECO-006	Reasoning/test-time compute	A-0078;A-0081;A-0206;data/chapter21_reasoning_visual_package_i0130.tsv	Reasoning assets support extra inference-time work as a schematic axis, not a measured production policy.	Some tasks buy more search, samples, verifier loops, or tool calls; that spends latency and compute before the answer.	branching think-path lane	exact hidden budget; production routing; solved reasoning; cost curve
TECO-007	Latency	A-0058;A-0083;A-0081;S-0087	Existing serving/economics visuals support latency as a user-visible constraint shaped by routing, batching, scheduling, and physical capacity.	Faster answers, cheaper batch jobs, and deeper reasoning are different service promises.	fast/standard/batch/think ladder	exact latency; SLA; workload volume; routine dispatchability
TECO-008	Routing	A-0083;A-0081;A-0058	Routing appears as a schematic lever across economics and reasoning packages.	Providers can expose or hide choices among fast path, think path, tool path, batch path, and escalation.	switchboard motif with no numbers	actual production behavior; quality guarantee; autonomy; savings
TECO-009	Batching	A-0083;data/provider_pricing_rows_i0026.tsv;data/openai_pricing_rows_i0021.tsv	Pricing rows include batch tiers, but batch changes latency and product scope.	Batch can lower visible price only when the user accepts a different service contract.	separate delayed lane, not merged with standard price	standard-price comparison; live price; universal savings; equivalent latency
TECO-010	Distillation and smaller models	A-0083;A-0019;data/price_quality_join_audit_i0036.tsv	Existing levers and price-quality audit support distillation/smaller-model choice as a lever, not as a proven frontier.	Cheaper models can be useful in routed systems, but price alone is not quality.	model-size selector with exclusion tag	price-quality frontier; broad superiority; customer ROI; adoption
TECO-011	Subscription/API/bundle channels	A-0084;S-0078;S-0090;S-0069;S-0103	Existing Chapter 22 route-to-market visual separates product surfaces.	The same model family can be sold through subscriptions, API meters, enterprise bundles, and cloud partnerships.	three-door market map	revenue; paid seats; active use; productivity; margin
TECO-012	Margin and marginal cost	A-0085;C-0046;C-0136;C-0141;data/price_quality_join_audit_i0036.tsv	Blocker rows make margin and marginal-cost claims visible as unsourced unless same-scope cost evidence exists.	The meter is public before the margin is knowable.	red blocker band at bottom	provider margin; cost per token; revenue; profitability; capex allocation; utilization
