pass_id	strip_id	strip_kind	chapter_range	asset_id	asset_title	asset_type	file_path	file_exists	sha256	story_purpose	source_url_or_path	rights_or_private_use_note	blocked_claims
I-0296	LP-LOGO-01	logo	CH14-CH16	A-0284-026	NVIDIA	logo	assets/logos/i0284/nvidia.svg	yes	db04aa87719392f22aa280fa0c9086d70d9e805024749747676fea820f7b00b4	hardware/AI factory logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-01	logo	CH14-CH16	A-0284-027	AMD	logo	assets/logos/i0284/amd.svg	yes	7f331fc622a549ee61f0c2288102738e6998842a626516a331da898055e0251f	accelerator competitor logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-01	logo	CH14-CH16	A-0284-038	Intel	logo	assets/logos/i0284/intel.svg	yes	1aaabc290721962add2932064d9a235cfdcaa6763b1e2c774daf3ff34416df98	CPU/accelerator ecosystem logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-01	logo	CH14-CH16	A-0284-039	Arm	logo	assets/logos/i0284/arm.svg	yes	773276c603b62ffc0c9fb3ac6d13bcfc6d962d7f53a212394b8a7a6d71ada62e	CPU ecosystem logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-01	logo	CH14-CH16	A-0284-044	Docker	logo	assets/logos/i0284/docker.svg	yes	ba1fb157870b2ec02e054aed42154ac7418e25af91ec321fd328d17cad4023cd	deployment/tooling logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-01	logo	CH14-CH16	A-0284-045	Kubernetes	logo	assets/logos/i0284/kubernetes.svg	yes	76037c7167ffdf86e7e014871ba0f42faa38e016c4e5a40aa3b3b011ce789587	infrastructure orchestration logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-01	logo	CH14-CH16	A-0284-046	Linux	logo	assets/logos/i0284/linux.svg	yes	5c3b1603cef1303295aa3f96b738cc5df018ce76642e3f0183b519aed9a18d39	software substrate logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-028	Anthropic	logo	assets/logos/i0284/anthropic.svg	yes	1c10881e4729127e1a86e569613d786240acae13eacfa01860be065b66260e36	Claude lab logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-029	Meta	logo	assets/logos/i0284/meta.svg	yes	18e15e0cd6ef858aa8b054db472f83870e5e2ef15f9b19554480c89c93c264e1	Llama/open-weight logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-030	Google	logo	assets/logos/i0284/google.svg	yes	147b64b183daad84440103815845150903f6175357419b0ccf2e5a6b622e62fa	Gemini/DeepMind ecosystem logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-034	Mistral AI	logo	assets/logos/i0284/mistral-ai.svg	yes	5d6abe5c18446f7971139b2f472b1b1d8cf29db04af332091023d018800cfbd1	European frontier lab logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-035	xAI/X	logo	assets/logos/i0284/xai-x.svg	yes	07099f0e2eea46fe8cef6a2422dee63e1aa98c3cab07f3edf9a0b333314f758b	frontier lab/social owner logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-036	Baidu	logo	assets/logos/i0284/baidu.svg	yes	c06b13de3ac002d1913b2ca7c74508e9333bddbb0f487672f50d3f204795dd55	China model/cloud logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-032	Alibaba Cloud	logo	assets/logos/i0284/alibaba-cloud.svg	yes	cb21fc53f968aa327c69a21965684e3d82f87a183683611d20743ff233e3930d	Qwen/cloud ecosystem logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-02	logo	CH09-CH12	A-0284-037	Xiaomi	logo	assets/logos/i0284/xiaomi.svg	yes	20fb26a3565ed90895c0f29ad006301a5dd9cede687b3ff4a27a0758ad0f9ede	MiMo model-lab adjacent logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0296	LP-LOGO-03	logo	CH08-CH13	A-0284-031	Google Cloud	logo	assets/logos/i0284/google-cloud.svg	yes	eb848405c6a1ed56510e7cc88ffe6e2e12cd8331be4b0c8c31048d0b0e6d53a9	cloud AI logo	https://simpleicons.org/	private_use_brand_logo_from_simple_icons_public_cdn; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.	Visual identity/profile texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
