source_id	status	title	owner_or_authors	type	url_or_path	access_date	cutoff_note	use	blocked_claims
S-0005	available	GPT-4 Technical Report	OpenAI	paper	https://arxiv.org/abs/2303.08774	2026-05-24	pre-cutoff GPT-4 source	Use for qualitative capability/limitation framing.	No hidden architecture or exact hallucination-rate claims.
S-0076	available	GPT-4 System Card	OpenAI	system card	https://cdn.openai.com/papers/gpt-4-system-card.pdf	2026-05-25	pre-cutoff GPT-4 system-card source	Use for system-card and risk/eval framing.	No complete-safety or long direct-quote claims without extraction.
S-0038	available_local_html	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	Lewis et al.	local arXiv abstract	assets/source_docs/tools_agents/S-0038_rag-arxiv-abs.html	2026-05-25	pre-cutoff RAG source	Use for retrieval/provenance/open-world-knowledge framing.	No RAG-guarantees-truth claim.
S-0137	available_local_html	Prompt Injection attack against LLM-integrated Applications	Liu et al.	local arXiv abstract	assets/source_docs/tools_agents/S-0137_prompt-injection-arxiv-abs.html	2026-05-25	pre-cutoff prompt-injection source	Use for prompt-injection attack-surface framing.	No exploit-prevalence, mitigation-effectiveness, or named-incident claims.
S-0164	identified_web_refreshed	TruthfulQA: Measuring How Models Mimic Human Falsehoods	Lin, Hilton, and Evans	arXiv paper	https://arxiv.org/abs/2109.07958	2026-05-26	pre-cutoff truthfulness benchmark source	Use for truthfulness/mimicked-falsehood benchmark framing.	No universal live ranking or all-model scaling-law claim.
S-0165	identified_web_refreshed	Discovering Language Model Behaviors with Model-Written Evaluations	Anthropic / Perez et al.	research post and arXiv paper	https://www.anthropic.com/research/discovering-language-model-behaviors-with-model-written-evaluations;https://arxiv.org/abs/2212.09251	2026-05-26	pre-cutoff sycophancy/eval source	Use for sycophancy as discovered eval behavior.	No production prevalence or all-assistant personality claim.
S-0166	identified_web_refreshed	Universal and Transferable Adversarial Attacks on Aligned Language Models	Zou et al.	arXiv paper	https://arxiv.org/abs/2307.15043	2026-05-26	pre-cutoff adversarial jailbreak source	Use for adversarial suffix/jailbreak attack-surface framing.	No current product exploitability or uniform vulnerability claim.
S-0167	identified_web_refreshed	Sycophancy to Subterfuge: Investigating Reward-Tampering in Large Language Models	Denison et al. / Anthropic	arXiv paper and research post	https://arxiv.org/abs/2406.10162;https://www.anthropic.com/research/reward-tampering	2026-05-26	pre-cutoff reward-tampering/specification-gaming source	Use for proxy/specification-gaming caution.	No deployed-product reward-tampering or hidden-behavior claim.
S-0035	available	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?	Princeton NLP	paper	https://arxiv.org/abs/2310.06770	2026-05-24	pre-cutoff coding benchmark source	Use for benchmark/scaffolding caveat.	No live coding-rank or deployed-productivity claim.
S-0036	available	Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference	LMSYS	paper	https://arxiv.org/abs/2403.04132	2026-05-24	pre-cutoff ranking methodology source	Use for eval methodology discussion.	No global best-model, safety, or enterprise usefulness claim.
