pass_id	figure_id	chapter	asset_id	asset_type	page	image_count	largest_image_width_in	largest_image_height_in	largest_image_area_pct	caption_present	source_note_present	rights_stage_present	min_caption_font_pt	image_within_page	caption_collision	source_note_proximity	legibility_status	issues
I-0293	F01.01	CH01	A-0287-013	real_world_source_image	2	1	4.83	3.26	29.2	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F01.02	CH01	A-0069	svg_diagram	5	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F01.03	CH01	A-0070	svg_diagram	8	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F02.01	CH02	A-0285-001	source_surface_paper_report_excerpt	10	1	2.72	3.52	17.7	yes	yes	yes	5.40	yes	no	same_page	warn	image_too_small_for_trade_book_review;caption_or_source_note_too_small
I-0293	F03.01	CH03	A-0288-001	source_surface_paper_report_excerpt	16	1	2.49	3.52	16.3	yes	yes	yes	5.40	yes	no	same_page	warn	image_too_small_for_trade_book_review;caption_or_source_note_too_small
I-0293	F04.01	CH04	A-0285-005	source_surface_paper_report_excerpt	23	1	2.72	3.52	17.7	yes	yes	yes	5.40	yes	no	same_page	warn	image_too_small_for_trade_book_review;caption_or_source_note_too_small
I-0293	F05.01	CH05	A-0285-002	source_surface_paper_report_excerpt	30	1	2.72	3.52	17.7	yes	yes	yes	5.40	yes	no	same_page	warn	image_too_small_for_trade_book_review;caption_or_source_note_too_small
I-0293	F06.01	CH06	A-0287-014	real_world_source_image	39	1	4.83	3.26	29.2	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F06.02	CH06	A-0284-006	real_world_source_image	42	1	4.83	2.72	24.3	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F06.03	CH06	A-0284-057	real_world_person_image	45	1	3.06	2.30	13.0	yes	yes	yes	5.40	yes	no	same_page	warn	image_too_small_for_trade_book_review;caption_or_source_note_too_small
I-0293	F07.01	CH07	A-0016	svg_diagram	49	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F07.02	CH07	A-0284-052	real_world_person_image	51	1	1.74	2.30	7.4	yes	yes	yes	5.40	yes	no	same_page	warn	image_too_small_for_trade_book_review;caption_or_source_note_too_small
I-0293	F07.03	CH07	A-0260-001	source_excerpt_card_svg	53	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F07.04	CH07	A-0260-002	source_excerpt_card_svg	54	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F07.05	CH07	A-0260-003	source_excerpt_card_svg	57	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F08.01	CH08	A-0056	svg_diagram	60	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F08.02	CH08	A-0287-017	real_world_source_image	62	1	4.83	3.26	29.2	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F08.03	CH08	A-0058	svg_diagram	64	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F08.04	CH08	A-0059	svg_diagram	66	1	4.83	3.10	27.7	yes	yes	yes	5.40	yes	no	same_page	warn	caption_or_source_note_too_small
I-0293	F09.01	CH09	A-0288-004	source_surface_paper_report_excerpt	69	1	2.72	3.51	17.7	yes	yes	yes	5.40	yes	no	same_page	warn	image_too_small_for_trade_book_review;caption_or_source_note_too_small
