chapter	title	live_file	opener_score	close_score	central_question_score	scene_density_score	stakes_score	technical_awe_score	page_turn_score	total_score	diagnosis	surgical_upgrade
1	The Shock	manuscript/01-the-shock.md	7	5	9	7	8	7	7	50	The actual opener has a strong ChatGPT text-box hook, but status/source notes appear before the story and the current close ends in task bullets rather than emotional propulsion.	Move status/source notes below a visible chapter-start marker and rewrite the last page as a clean handoff from public shock to the older history of prediction.
2	Before the Transformer	manuscript/01-before-the-transformer.md	6	8	8	5	5	8	8	48	The mechanism chain is strong and the closing handoff works, but the opener is still framed as project metadata before story.	Start with the felt bottleneck of early language modeling, then move source caveats into a note after the first scene/question.
3	Attention Catches Fire	manuscript/02-attention-catches-fire.md	6	8	8	5	6	9	8	50	The chapter has technical awe and a good scale handoff, but the first visible material is again status/source caution rather than rupture.	Open on recurrence breaking under long context and GPUs waiting for parallelism before naming the Transformer paper.
4	The Scaling Bet	manuscript/03-scaling-bet.md	6	8	8	4	7	8	8	49	The closing wager is compelling, but the opener needs a clearer human/institutional bet rather than metadata plus abstract curves.	Begin with labs deciding that loss curves could be strategy, then make compute-as-possibility the chapter question.
5	GPT-1 to GPT-3: The Door Opens	manuscript/05-gpt-1-to-gpt-3-door-opens.md	5	4	8	5	7	8	5	42	The lineage is substantial, but the opening is source/visual apparatus and the close is a to-do list.	Replace the current visible opening with GPT-3/API as the moment a paper lineage became a door others could knock on; convert closing bullets into a Microsoft/ChatGPT handoff paragraph.
6	Alignment Enters the Product	manuscript/06-alignment-enters-product.md	5	4	8	5	7	7	5	41	The chapter topic has high stakes, but front matter and closing task bullets drain narrative voltage.	Open with the gap between a completion engine and an assistant that must refuse, obey, and explain; end by handing directly to ChatGPT as the interface test.
7	ChatGPT: The Interface Event	manuscript/07-chatgpt-interface-event.md	7	4	9	7	8	7	6	48	The Box frame works, but status/source notes delay it and the chapter ends in production tasks.	Cut to "The Box" immediately and replace final bullets with a platform-expansion close into Microsoft/OpenAI.
8	Microsoft, OpenAI, and the Cloud Bargain	manuscript/08-microsoft-openai-cloud-bargain.md	9	9	8	7	9	7	9	58	This is one of the strongest narrative chapters: the workload sentence is clean, stakes are clear, and the close has genuine force.	Add one concrete Azure/buildout scene or sourced public moment near the opener to make the cloud bargain feel less abstract without adding outcome claims.
9	Google and DeepMind Wake the Sleeping Giant	manuscript/09-google-deepmind-gemini.md	9	9	8	7	9	8	9	59	The opener gives character, irony, and institutional stakes; the close lands on a memorable image.	Sharpen the central question into a repeated refrain: which part of the giant moves first?
10	Meta, Llama, and the Open-Weight Shock	manuscript/10-meta-llama-open-weight-shock.md	6	9	8	6	8	7	8	52	The closing argument is strong, but source/visual notes appear before the dramatic open-weight shock.	Start on the downloadable-object moment and move source caveats below the first narrative beat.
