gap_id	claim_family	current_status	known_source_handles	primary_source_candidate	secondary_triangulation_need	exact_quote_blocker	prohibited_prose	allowed_current_prose	next_action
CGPTGAP-001	launch adoption/user-growth	C-0010 active; Chapter 7 deliberately avoids exact user counts and growth-rank claims.	S-0006;C-0010;manuscript/07-chatgpt-interface-event.md	OpenAI launch/update materials or other cutoff-bounded primary evidence that states the exact adoption figure and date.	Clearly attributable contemporary reporting or analytics coverage must verify the number, date, and definition before use.	No local quote-ready adoption-count source is recorded for the launch period.	Do not write fastest-growing app, reached X users in Y time, viral in a quantified sense, or any exact user-growth sentence.	ChatGPT can be described as an interface event and consumer habit only without a number, rank, or growth-speed superlative.	Capture and normalize the highest-value adoption-count source into a source snapshot before any quantitative reception prose.
CGPTGAP-002	early public reception	C-0010 active; current prose uses broad expectation-shift language without contemporary reception statistics.	S-0006;C-0010;manuscript/07-chatgpt-interface-event.md	OpenAI posts may supply product framing, but reception needs dated outside evidence rather than retrospective vibes.	Use contemporary reporting across multiple outlets or analytics/social/search data with exact dates and attribution.	No quote table exists for public-reaction language, user anecdotes, school/workplace panic, or media response.	Do not write everyone was using it, the public went wild, schools panicked, or boardrooms convulsed unless a source row licenses that wording.	Chapter 7 may say the interface made LLMs culturally legible when tied to the product form and later sourced business/platform steps.	Build a dated reception chronology with source IDs and quote limits before adding scene-like public reaction.
CGPTGAP-003	Plus adoption/revenue/subscriber counts	S-0078/SNAP-20260525-013 supports launch date, price, benefits, and broad availability; it does not support adoption, revenue, or retention.	S-0078;S-0090;SNAP-20260525-013;SNAP-20260525-015;data/chatgpt_productization_quote_table_i0040.tsv	OpenAI primary statements about Plus subscribers or revenue, if any cutoff-bounded source exists, with local capture.	Financial or business reporting must triangulate any subscriber, revenue, conversion, or retention figure.	Plus page captures are quote-ready only for launch/pricing/benefit wording, not adoption metrics.	Do not write Plus had X subscribers, generated Y revenue, proved retention, or converted users at a specific rate.	Chapter 7 may use Plus as evidence that ChatGPT became a paid service with reliability and feature-tier expectations.	If subscriber/revenue prose is desired, create a separate source pack and keep it outside the current Plus launch evidence.
CGPTGAP-004	Enterprise adoption/named customers	S-0089 supports release-note launch and feature wording; S-0079 original product post remains blocked for original-page quotation and market/customer claims.	S-0079;S-0089;SNAP-20260525-003;SNAP-20260525-014;data/chatgpt_productization_quote_table_i0040.tsv	Original OpenAI Enterprise product post, archived local capture, or other OpenAI customer/adoption statement with exact wording and date.	Named-customer or uptake claims need independent reporting or customer-side confirmation, not only OpenAI product copy.	The local S-0079 handle records a shell 403/blockage rather than quote-ready original product-post text.	Do not write named customers adopted ChatGPT Enterprise, Fortune 500 uptake, or enterprise demand percentages from S-0079/S-0089.	Chapter 7 may say the chat interface was repackaged for administered workplaces using release-note feature wording.	Try archive/local capture for S-0079 or gather customer-side source rows before naming customers or uptake figures.
CGPTGAP-005	Enterprise productivity/customer outcomes	S-0079 and S-0089 do not currently license customer-productivity claims.	S-0079;S-0089;SNAP-20260525-003;SNAP-20260525-014;C-0010	Original OpenAI Enterprise post or customer case studies with dated, exact productivity statements.	Any productivity uplift needs customer-side evidence or credible third-party measurement, including metric definition and context.	No local quote-ready productivity passage is available; S-0079 remains blocked and S-0089 is a release-note alternate.	Do not write workers saved X time, teams became Y faster, or customers saw productivity gains unless the metric row is captured and caveated.	Chapter 7 may describe Enterprise structurally as security/privacy/admin/context/analysis packaging, not outcome proof.	Decompose any future productivity source into metric, population, task, timeframe, sponsor, and quote-limit fields.
CGPTGAP-006	Plus feedback/use-case language	S-0078 may contain feedback/use-case framing, but the I-0040 table forbids converting it into adoption evidence.	S-0078;SNAP-20260525-013;data/chatgpt_productization_quote_table_i0040.tsv	OpenAI Plus launch post text-render capture already exists for short launch/pricing/benefit wording.	If using feedback or use-case language narratively, triangulate with contemporary reporting so it does not masquerade as market scale.	Renderer caveat applies; no row currently extracts short feedback/use-case quotes for final prose.	Do not turn OpenAI feedback language into proof of user counts, public reception, market size, or retention.	Chapter 7 may state the benefits OpenAI offered for Plus and the service-reliability implication.	If feedback language matters, add a quote-extraction row with fewer than 25 words and a non-adoption caveat.
CGPTGAP-007	original Enterprise product-post quotation	S-0079 is represented by a blocked-capture note; S-0089 is only an official release-note alternate.	S-0079;S-0089;SNAP-20260525-003;SNAP-20260525-014;data/source_snapshots/2026-05-25/chatgpt_product_pages_i0025_notes.md	Archived original OpenAI Enterprise product post or a successful local browser/screenshot capture.	Secondary sources can confirm adoption/customer claims but cannot supply an OpenAI quote unless quoting the post with context.	SNAP-20260525-003 is a blockage/provenance note, not a quote source.	Do not quote original Enterprise launch phrasing, named customer language, adoption percentages, or productivity claims from memory or browser-visible notes.	Use S-0089 release-note wording for launch/features until the original page is captured.	Search archive paths or browser capture tooling before any direct original-post quotation is promoted.
CGPTGAP-008	plugins/GPTs ecosystem adoption	S-0044 and S-0045 support chronology and platform logic, not ecosystem usage or success metrics.	S-0044;S-0045;C-0009;data/chatgpt_interface_business_timeline_i0046.tsv	Official OpenAI platform usage statements or marketplace metrics if cutoff-bounded and locally captured.	Independent developer/ecosystem reporting should triangulate any usage, revenue, retention, or success claim.	No quote-ready ecosystem-adoption table exists for plugins or GPTs.	Do not write plugins took off, GPTs marketplace succeeded, developers flocked, or exact builder/user counts without source rows.	Chapter 7 may describe plugins and GPTs as platform-surface moves in the interface-to-business timeline.	Add platform adoption rows only after source capture separates launch chronology from usage outcomes.
CGPTGAP-009	GPT-4o launch reception/free-user impact	S-0046 supports GPT-4o chronology and product direction, not reception, free-user impact, or adoption counts.	S-0046;C-0009;data/chatgpt_interface_business_timeline_i0046.tsv	OpenAI GPT-4o materials can support launch/product claims after snapshotting; impact claims need exact dated evidence.	Use contemporary reporting or usage data to triangulate claims about reception, free-user access impact, or market response.	No local quote table currently extracts GPT-4o reception or rollout-impact language.	Do not write GPT-4o transformed adoption, made frontier models free for X users, or drove a reception surge without captured evidence.	Chapter 7 may say GPT-4o stretched the ChatGPT interface toward multimodal interaction while staying within LLM scope.	Snapshot and normalize GPT-4o launch evidence before adding reception or free-user impact prose.
CGPTGAP-010	Microsoft/OpenAI business urgency	S-0047 supports partnership chronology; it does not by itself prove boardroom urgency, market panic, or strategic fear.	S-0047;S-0041;manuscript/07-chatgpt-interface-event.md	Official Microsoft/OpenAI partnership materials and dated corporate statements can support infrastructure/partnership chronology.	Boardroom or market-urgency language needs credible reporting, analyst evidence, or company filings with exact attribution.	No quote table exists for internal motives, emergency timelines, or market-response scenes.	Do not write Microsoft panicked, Google panicked, boardrooms scrambled, or the market instantly repriced LLMs without attributed evidence.	Chapter 7 may connect ChatGPT to cloud commitments and platform questions using sourced partnership chronology.	If urgency language is needed, create a business-reception source pack with attribution labels and no private-scene invention.
