card_id	priority	chapter	source_ids	source_title	source_family	excerpt_type	quote_limit	excerpt_prompt_or_label	allowed_use	blocked_claims	provenance_needed	next_action
SEC-0189-001	highest	2	S-0104	A Neural Probabilistic Language Model	foundational paper	short quotation or paraphrase card	<=18 words after page check	distributed word representations and the curse-of-dimensionality problem	Make the pre-Transformer pressure chain visible before word vectors and attention.	No modern LLM capability, first-invention, or human-like semantics claim.	Exact PDF/HTML section and page/anchor; verify author/title/date line.	Extract one short definition-like sentence or use paraphrase-only label.
SEC-0189-002	highest	2	S-0105	Efficient Estimation of Word Representations in Vector Space	foundational paper	short quotation or paraphrase card	<=18 words after page check	efficient word-vector learning at scale	Connect embeddings to training-scale pressure without overclaiming meaning.	No proof of understanding, analogy universality, or complete semantic geometry claim.	Exact arXiv page/table location; note if quote comes from abstract.	Pick a compact phrase from abstract/introduction or make house paraphrase.
SEC-0189-003	highest	2	S-0106	Sequence to Sequence Learning with Neural Networks	foundational paper	short quotation or paraphrase card	<=18 words after page check	encoder-decoder sequence transduction before attention	Show why sequence models mattered before the fixed-vector bottleneck became obvious.	No exact result number, translation superiority, or modern agent capability claim.	Exact figure/table/page if result language is used.	Use mechanism wording only; defer scores to redraw board.
SEC-0189-004	highest	2	S-0107	Neural Machine Translation by Jointly Learning to Align and Translate	foundational paper	short quotation or paraphrase card	<=18 words after page check	alignment as a response to fixed-length bottlenecks	Make attention enter as a technical fix, not a mystical leap.	No attention-as-explanation, consciousness, or complete interpretability claim.	Exact abstract/introduction page; mark attention-weight caveat in caption.	Extract one bottleneck phrase or paraphrase the alignment role.
SEC-0189-005	highest	3	S-0002;S-0108	Attention Is All You Need and Google Transformer commentary	foundational paper plus official commentary	source-card pair	<=20 words total from any one source after page check	self-attention and parallelizable sequence modeling	Anchor Chapter 3 with the canonical paper surface plus public research framing.	No modern implementation equivalence, consciousness, truth, or universal scaling guarantee.	Transformer PDF page/figure refs; Google blog archive/snapshot if quoted.	Use S-0002 for architecture wording and S-0108 only for public framing.
SEC-0189-006	highest	4	S-0003	Scaling Laws for Neural Language Models	scaling paper	short quotation or paraphrase card	<=18 words after page check	loss curves as empirical maps, not prophecy	Show scale as measured regularity with bounded scope.	No universal formula, exact exponent without extraction, emergence threshold, safety, or product-success claim.	Exact figure/table/page for any curve language.	Pull a short methodological phrase or use paraphrase-only chart label.
SEC-0189-007	high	4	S-0015	Training Compute-Optimal Large Language Models	scaling paper	short quotation or paraphrase card	<=18 words after page check	compute-optimal balance between model size and data	Add the Chinchilla correction as a data/compute constraint.	No universal training recipe, exact optimality outside scope, or product guarantee.	Exact table/figure/page and license note.	Use as a source card beside scaling-law redraw rather than a standalone claim.
SEC-0189-008	high	5	S-0004	Language Models are Few-Shot Learners	model paper	short quotation or paraphrase card	<=18 words after page check	few-shot prompting as interface before chat	Connect GPT-3 to prompt-mediated use without overstating reliability.	No AGI, general reasoning, commercial adoption, or benchmark crown claim.	Exact abstract/introduction page; task wording review.	Select a mechanism phrase, not a score.
SEC-0189-009	highest	6	S-0014;S-0074	Training language models to follow instructions with human feedback and OpenAI instruction-following post	RLHF paper plus product post	source-card pair	<=20 words per source after page/capture check	demonstrations, rankings, and assistant-shaped behavior	Make alignment visible as process and product transition.	No solved values, safety proof, labeler representativeness, or hidden policy claim.	S-0074 text-render caveat; paper page refs; final quote extraction.	Use paper for pipeline; product post for public deployment framing.
SEC-0189-010	high	6	S-0075	Model Spec 2024/05/08	behavior specification	short quotation or paraphrase card	<=20 words after context review	rules, objectives, defaults, and chain-of-command	Visualize assistant behavior as specification work after RLHF.	No claim that model always follows spec, later-revision leakage, or complete safety.	Local HTML hash already exists; exact section anchor and revision label.	Choose one short section heading/phrase or paraphrase policy hierarchy.
SEC-0189-011	high	6	S-0076;S-0077	GPT-4 and GPT-4o system cards	system cards	source-card pair	<=20 words per system card after PDF check	red-team and mitigation evidence is scoped evidence	Show system-card genre without turning it into safety proof.	No absence-of-risk, solved multimodal safety, benchmark rank, or deployment adequacy claim.	Local PDF hashes; page refs for any direct wording.	Use title/date/page card plus paraphrased risk lane if exact quotes are not needed.
SEC-0189-012	high	7	S-0006;S-0078	ChatGPT launch and ChatGPT Plus posts	launch/product posts	source-card pair	<=20 words per source after snapshot review	from public research preview to subscription surface	Make productization visible while keeping adoption/revenue separate.	No user-count, revenue, productivity, market-share, or current-UI claim.	Snapshot/render provenance for both posts; quote limits recorded.	Extract launch-date/product-surface wording only.
SEC-0189-013	high	10	S-0111;S-0112;S-0113;S-0114	Meta Llama posts and repository	launch posts plus repository	source-card set	<=12 words per source if multiple sources appear	Llama release language and open-weight distribution surfaces	Explain open-weight shock through source language and repository texture.	No open-source legal conclusion, download/adoption count, benchmark superiority, or ecosystem dominance.	Local HTML paths, license/repo commit date, exact page anchors.	Prefer paraphrase card with tiny source snippets to avoid quote stacking.
SEC-0189-014	medium	11	S-0027;S-0028;S-0029;S-0031	DeepSeek, Qwen, Kimi/Moonshot, and GLM/Z.ai source surfaces	frontier lab source posts	source-card cluster	<=10 words per source; paraphrase preferred	frontier-lab source surfaces rather than logo parade	Show China/open-frontier coverage as document surfaces with gaps.	No national ranking, adoption, benchmark crown, export-control effect, or unsupported future-model claim.	Confirm exact source rows and snapshots before any quote.	Use as a multi-source label card, mostly paraphrase-only.
SEC-0189-015	high	15	S-0001	GTC-2026-Keynote.pdf page 29	GTC slide source	source-surface excerpt card	<=12 words from slide after page review	AI factory thesis as NVIDIA-attributed stagecraft	Make NVIDIA's own framing visible in Chapter 15.	No neutral industry definition, independent economics, deployed capacity, revenue, or performance proof.	Local PDF hash plus page number; record slide screenshot/hash if used.	Use existing page notes and lightweight card; avoid long slide text.
SEC-0189-016	high	15	S-0001	GTC-2026-Keynote.pdf page 51	GTC slide source	source-surface excerpt card	<=12 words from slide after page review	DSX platform frame across system and facility layers	Bridge Chapter 15 stagecraft to Chapter 16 physical constraints.	No deployment, customer adoption, facility performance, or power/cooling solution claim.	Local PDF hash plus page number; private-use raster hash if selected.	Pair with independent infrastructure cards.
SEC-0189-017	high	16	S-0083;S-0084	IEA Energy and AI and LBNL data-center energy report	infrastructure reports	source-card pair	<=18 words per source after report page check	forecast ranges and measured estimates are different lanes	Teach energy uncertainty without deterministic forecasting.	No energy-per-token, LLM-only demand, site-hour fuel mix, or guaranteed future consumption claim.	Report section/page/table IDs; source-page hash if screenshot used.	Extract one measured/forecast label from each report or paraphrase.
SEC-0189-018	high	16	S-0086;S-0087	EPRI and DOE-SEAB data-center power reports	infrastructure reports	source-card pair	<=18 words per source after PDF/page check	interconnection, flexibility, backup, and utility coordination	Show speed-to-power as grid process rather than simple electricity purchase.	No named-campus delay database, solved interconnection, fuel mix, cost, emissions, or workload attribution claim.	Exact report page/table refs and access/hash records.	Use as Chapter 16 sidebar card beside power response taxonomy.
SEC-0189-019	medium	16	S-0235;S-0238	Constellation Microsoft and Meta nuclear PPA releases	company press releases	source-card pair	<=16 words per release after page check	nuclear procurement announcements as attributed corporate claims	Provide concrete power-procurement examples without physical-delivery inference.	No delivered electrons, restart success, regulatory completion, additionality, emissions reduction, safety, cost, or AI workload support.	Official release capture, date, URL, quote context, rights note.	Prefer paraphrased announcement card with strict attribution.
SEC-0189-020	high	17	S-0261;S-0262	Common Crawl and FineWeb	corpus sources	source-card pair	<=16 words per source after page check	raw crawl and filtered web dataset transformation	Make data supply chain visible as transformation work.	No closed-model corpus composition, legality, consent, representativeness, or quality superiority claim.	Common Crawl page capture; FineWeb paper page/figure refs.	Use paired labels rather than dense quotation.
SEC-0189-021	high	17	S-0263;S-0264;S-0265	RefinedWeb, RedPajama-Data, and SlimPajama	corpus sources	source-card cluster	<=10 words per source; paraphrase preferred	open corpus recipes, filters, and deduplication surfaces	Show public recipes without implying replication of proprietary training.	No exact LLaMA replication, legal conclusion, model-quality proof, or adoption impact.	Repo/dataset snapshots and paper page refs.	Design as three small source tabs with paraphrased labels.
SEC-0189-022	medium	17	S-0266;S-0267	ROOTS and BookCorpus datasheet	retrospective corpus papers	source-card pair	<=18 words per source after page check	documentation, governance, and documentation debt in datasets	Show corpus politics and provenance as part of the computing stack.	No representativeness, legal sufficiency, governance success, or claim that a closed model used the corpus.	Exact paper page refs; quote-context check.	Use one card for governance and one for documentation debt.
SEC-0189-023	high	18	S-0038;S-0135	RAG and ReAct papers	tool-use papers	source-card pair	<=18 words per source after page check	retrieval plus action/observation loops	Connect source-grounding and agent loops without autonomy hype.	No production reliability, broad planning competence, complete factuality, or autonomous operation claim.	Exact arXiv page/section; local ReAct capture path.	Put beside existing tool/reasoning diagrams as source-text texture.
SEC-0189-024	high	20	S-0035;S-0037;S-0048;S-0049;S-0050;S-0051	SWE-bench, LiveCodeBench, Claude Code launch and docs	coding benchmark plus product docs	source-card set	<=10 words per source; paraphrase preferred	repository work needs tasks, harnesses, permissions, and review	Make coding-agent evidence concrete without productivity claims.	No developer replacement, enterprise productivity, autonomy, security sufficiency, or benchmark transfer claim.	Local captures for benchmark pages/docs; exact doc section anchors.	Use one benchmark-method card and one Claude Code permission/workflow card.
