rank	shortlist_id	priority	chapter_targets	visual_surface	source_ids	related_asset_or_prior_candidate	recommended_treatment	chapter_value	rights_feasibility	allowed_caption	blocked_claims	next_action
1	CFP-0191-001	P0	14;16	AI accelerator supply stack: EUV tools, foundry/CoWoS, HBM, substrates, rack integration	S-0218;S-0220;S-0222;S-0225	SUPPLY-IMG-012	house_style_synthesis_diagram	Highest value because it explains why LLM compute is a physical supply chain, not just a GPU SKU.	strongest_rights_route_redraw	AI accelerators depend on layered upstream systems: lithography, wafer processing, advanced packaging, stacked memory, substrates, and rack integration.	No claim these layers are complete, equally scarce, comparable in capacity, tied to one vendor, or sufficient to prove accelerator availability.	Build after source-page hashes and source-surface thumbnails are captured.
2	CFP-0191-002	P0	14;16	Advanced packaging bottleneck explainer: CoWoS/interposer/substrate/HBM package	S-0220;S-0225;S-0226	SUPPLY-IMG-014	house_style_redraw	Strongest single chip/fab mechanism visual after the stack diagram; it shows why memory proximity matters.	strong_redraw	Advanced packages place logic, HBM, interposers/substrates, and assembly into one constrained physical object.	No CoWoS capacity, package yield, customer allocation, substrate shortage severity, cost, or supplier ranking.	Extract source-page screenshots and draft a neutral cross-section.
3	CFP-0191-003	P0	14;16	EUV/ASML lithography physical scale	S-0218;S-0273;S-0274	A-0133;SUPPLY-IMG-001	source_surface_plus_rights_photo_proxy	The visual texture is irresistible, but exact machine/photo rights are the hard part.	medium_until_license_verified	An EUV/lithography image can show the physical scale of chipmaking equipment upstream of AI accelerators.	No machine allocation, customer shipments, output capacity, price, export outcome, node eligibility, or AI-chip volume.	Keep A-0133 proxy until a machine-specific license and revision proof are captured.
4	CFP-0191-004	P0	14	HBM stack/product surface	S-0222;S-0223;S-0224	SUPPLY-IMG-005;SUPPLY-IMG-013	source_card_or_redrawn_hbm_stack	HBM is a necessary visual in any serious accelerator chapter.	medium_company_rights	Stacked memory became a named, visible product category in AI/data-center acceleration.	No supplier rank, NVIDIA allocation, qualification, supply sufficiency, yield, price, availability, or market share.	Use a redrawn generic HBM stack with three official source cards in reserve.
5	CFP-0191-005	P0	16	Power-response taxonomy: nuclear, gas, grid, storage, transmission, interconnection, flexibility	S-0083;S-0086;S-0087;S-0235;S-0236;S-0241	POWER-IMG-012	house_style_matrix	Best Chapter 16 synthesis visual because it shows imperfect options side by side.	strong_redraw	AI/data-center load growth triggered multiple response categories, none of which alone proves solved power access.	No response is sufficient, clean, cheap, fast, universally available, physically delivered to a named AI workload, or emissions-solving without same-scope evidence.	Build after final source cards for project examples are frozen.
6	CFP-0191-006	P0	16	Substation/interconnection physical image plus queue/source card	S-0087;S-0241;S-0280	A-0139;POWER-IMG-006	photo_plus_source_card	The grid bottleneck becomes real when readers see a substation beside an interconnection source.	good_commons_or_public_domain_path	A substation image can make grid interconnection visible while the source card explains data-center power infrastructure.	No site service, capacity, energized status, outage, delay, fuel mix, reliability, bill impact, or named-site operational proof.	Verify A-0139 license/revision; pair with A-0021 or Entergy source surface.
7	CFP-0191-007	P0	16	Transmission infrastructure	S-0086;S-0087;S-0281	A-0140;POWER-IMG-008	photo_plus_schematic	Transmission lines are less novel than substations but essential to speed-to-power.	good_if_license_clean	Transmission imagery can show that scaled computing depends on grid infrastructure and lead-time constraints.	No capacity, congestion, queue causality, data-center access, reliability, or utility-wide conclusion.	Verify A-0140 and pair with interconnection queue schematic rather than a standalone photo.
8	CFP-0191-008	P0	16	Gas turbine / dispatchable generation texture	S-0087;S-0243;S-0282	A-0141;POWER-IMG-010	generic_photo_with_permit_gap_card	Useful industrial drama, but named xAI/on-site claims remain permit-gated.	medium_license_plus_primary_source_gap	Gas turbine imagery can illustrate speed-to-power tradeoffs in generation choices.	No named-site deployment, turbine count, MW, runtime, emissions, legal status, fuel contract, or delivered capacity.	Use generic A-0141 only; acquire primary permit/operator source before naming any site.
9	CFP-0191-009	P0	16	Nuclear/cooling tower power texture	S-0235;S-0238;S-0284	A-0143;POWER-IMG-001;POWER-IMG-003	photo_plus_attributed_ppa_card	Important because hyperscalers made nuclear procurement part of the story, but delivery claims are dangerous.	medium_good_if_public_domain_or_cc	A nuclear/cooling-tower image can illustrate the power-supply debate while source cards label PPA announcements as attributed claims.	No delivered electrons, PPA fulfillment, restart success, SMR operation, safety, cost, hourly fuel mix, emissions outcome, or AI workload support.	Verify A-0143 license; use PPA source cards instead of company plant imagery.
10	CFP-0191-010	P0	14;16	Server/GPU rack physical texture	S-0277	A-0136;PPH-0181-004	photo_candidate	Shows compute as room-scale infrastructure and helps readers feel the machine stack.	good_if_us_gov_or_cc_confirmed	Server-rack imagery can show compute becoming room-scale infrastructure.	No named LLM training, GPU count, workload attribution, utilization, cost, owner-specific AI claim, or hidden hardware identity.	Verify A-0136 license and prefer neutral rack caption.
