chapter	title	chart_diagram_assets	photo_or_screenshot_slots	status	strongest_next_visual_or_photo	duplicate_visual_grammar_risk	next_action
1	The Shock	3	1	healthy	Private-use ChatGPT launch screenshot capture and final caption QA.	Low; chronology and token schematic are distinct.	Keep only if render proves opener has enough first-viewport force.
2	Before the Transformer	0	0	gap	Sparsity-to-representation pressure-chain diagram or early language-model chronology.	Medium; avoid another generic timeline.	Add one mechanism visual that teaches pre-Transformer constraints.
3	Attention Catches Fire	0	0	gap	Self-attention flow, recurrence-vs-attention contrast, or Transformer block schematic.	Low; architecture visual is still missing.	Prioritize one architecture diagram before more company/product visuals.
4	The Scaling Bet	0	0	gap	Scaling-law evidence lane chart separating measured loss, extrapolation, and blocked emergence claims.	Medium; do not repeat benchmark/rank ladder grammar.	Add one curve-with-permission visual and one source/table companion.
5	GPT-1 to GPT-3: The Door Opens	1	0	thin	API-to-Codex interface conversion mini-map or GPT-3 prompt/interface screenshot slot.	Medium; overlaps Chapter 19 code ladder.	Keep Chapter 5 focused on lineage/interface conversion, not code workflow.
6	Alignment Enters the Product	1	0	thin	Instruction-tuning/RLHF/Constitutional AI comparison lane with quote-permission caveats.	Medium; avoid duplicating Chapter 12 Anthropic behavior loop.	Add one source-permission table or behavior-spec visual after Chapter 12 audit.
7	ChatGPT: The Interface Event	1	4	photo-rich	Final screenshot capture and adoption/reception evidence-lane cleanup.	Low; visual mix is diverse.	Move from acquisition slots to final private-use captures and render QA.
8	Microsoft, OpenAI, and the Cloud Bargain	4	1	healthy	Copilot/Microsoft 365 product-surface screenshot slot if permissions allow.	Medium; business flywheel overlaps economics route maps.	Use next pass only for photo diversity, not another flywheel.
9	Google and DeepMind Wake the Sleeping Giant	4	4	healthy	Capture Bard/Gemini private-use screenshots; preserve benchmark/adoption blockers.	Medium; surface maps can resemble Microsoft/OpenAI routes.	Finalize selected screenshot slots and keep conversion frame.
10	Meta, Llama, and the Open-Weight Shock	1	4	thin_photo_rich	Open-weight control-stack diagram: weights, license, hosting, safety, ecosystem, benchmark.	Medium; avoid logo parade and generic release timeline.	Follow I-0137 audit before adding more Llama visuals.
11	The Chinese Frontier	1	4	thin_photo_rich	Qwen/DeepSeek/GLM/Kimi source-permission matrix and supported-vs-gap lane.	Medium; overlaps Chapter 10 open-weight map.	Follow I-0137 audit and separate source gaps from model rankings.
12	Europe, xAI, and the Rest of the Frontier	0	1	gap	Anthropic/Claude visual package or rest-of-frontier mechanism gate map, depending final outline placement.	High; current Anthropic material risks structural mismatch with title.	Run Chapter 12/Anthropic visual package and continuity check.
13	Benchmarks, Arenas, and the Mirage of Rank	3	0	healthy	Methodology/render QA rather than new rank charts.	High; too many ranking visuals could imply false precision.	Focus on render readability, footnote proximity, and prohibited-use visibility.
14	NVIDIA and CUDA: The Moat Under the Moat	3	0	healthy	One CUDA/developer ecosystem screenshot or historical NVIDIA/CUDA source slot if rights-safe.	Medium; hardware stack diagrams may repeat Chapter 15/16.	Avoid new stack diagrams until I-0135 continuity audit.
15	GTC 2026: The AI Factory Sells Itself	7	6	heavy	GTC slide-derived render QA and page-level claim-card pruning.	High; many claim cards and extracted slides can crowd the chapter.	Use I-0135 to reduce redundancy and choose final slide subset.
16	Datacenters, Power, and the Physical Internet	7	0	heavy_diagram_only	Facility/photo slot or map-style visual for grid/cooling geography if sourced.	High; many infrastructure schematics may blur together.	Use I-0135 to identify one physical-stack handoff and one photo need.
17	Data, Tokens, and the Library Problem	4	0	healthy	One corpus/source provenance screenshot slot only if it adds texture.	Medium; filter funnels can feel procedural like tools/RAG.	Keep visuals unless render shows over-diagramming.
18	Tools, Retrieval, and the Agent Turn	4	2	healthy	One product/tool-interface screenshot slot after permissions review.	Medium; agent loop can overlap Chapter 20 and 23 trust.	Keep as general tools; leave coding specificity to Chapters 19/20.
19	Code as the Second Native Language	4	1	healthy	Only a small source screenshot if final design needs texture.	Medium; benchmark ladder overlaps Chapter 20 and 23 eval matrix.	Use the package as Chapter 19's final visual spine unless render says too dense.
20	Claude Code and the Industrialization of Pair Programming	4	4	healthy	Claude Code UI/docs screenshots and terminal permission capture once private-use workflow is ready.	Medium; harness loops overlap Chapter 18 and 19.	Emphasize terminal/repository case study, not generic benchmark explanation.
21	Reasoning, Test-Time Compute, and the New Scaling Axis	4	1	healthy	One reasoning-model source surface only if it clarifies DeepSeek/Kimi/Gemini handoff.	Medium; benchmark contract overlaps Chapter 13 and 19.	Keep captions strict about inference contracts.
22	The Economics of Intelligence on Tap	4	0	healthy	Provider pricing screenshot/source slot or small pricing-page proof panel.	Medium; route-to-market map overlaps Chapter 8.	Prefer screenshot/source provenance over another schematic.
23	Failure Modes, Truth, and Trust	4	0	healthy	Incident/source screenshot slot only if row-normalized and not prevalence-laundering.	Medium; eval matrix overlaps Chapter 13/19/21.	Keep failure-family separation and avoid incident montage.
24	Next Token	0	0	gap	Final synthesis system map tying interface, model, hardware, data, tools, economics, and trust.	High; could become generic summary wallpaper.	Use I-0136 scaffold before drawing final-system visual.
