provenance_id	linked_extraction_ids	source_id	paper_title	original_surface	best_current_confidence	must_verify_before_final_art	recommended_final_art_status
PR-0170-001	CH3-EX-001	S-0002	Attention Is All You Need	Figure 1, Transformer architecture diagram	high_known_figure	Verify page number and caption text from PDF before final caption.	redraw_required_core
PR-0170-002	CH3-EX-002	S-0002	Attention Is All You Need	Figure 2, scaled dot-product attention and multi-head attention	high_known_figure	Verify page number and caption text from PDF before final caption.	redraw_required_core
PR-0170-003	CH3-EX-003	S-0002	Attention Is All You Need	Layer-type comparison table for complexity/sequential operations/path length	medium_verify_table	Confirm table number, page, and exact columns before using in prose or art.	cite_or_optional_redraw
PR-0170-004	CH3-EX-005	S-0188	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	Figure 1, overall pre-training and fine-tuning procedures	high_known_figure	Verify page/caption and keep as encoder-side context, not main LLM mechanism.	optional_redraw
PR-0170-005	CH3-EX-006	S-0188	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	BERT input representation figure, commonly Figure 2	medium_verify_page	Confirm figure number/page before any visual use.	cite_or_optional_redraw
PR-0170-006	CH4-EX-001;CH4-EX-002	S-0003	Scaling Laws for Neural Language Models	Scaling-law plots for model/data/compute relations	medium_verify_page	Extract exact figure numbers, page numbers, axes, and whether values are schematic or plotted before quantitative redraw.	redraw_required_conceptual_only_now
PR-0170-007	CH4-EX-003	S-0190	Training Compute-Optimal Large Language Models	Chinchilla compute-optimal model/data scaling surfaces	medium_verify_page	Extract exact figure/table IDs and distinguish conceptual balance from formula/value claims.	optional_redraw_after_extraction
PR-0170-008	CH2-EX-003	S-0106	Sequence to Sequence Learning with Neural Networks	Encoder-decoder sequence model schematic, commonly Figure 1	medium_verify_page	Verify figure/page and avoid result-number claims.	redraw_pressure_chain_panel
PR-0170-009	CH2-EX-004	S-0107	Neural Machine Translation by Jointly Learning to Align and Translate	Attention/alignment mechanism and alignment visualization surfaces	medium_verify_page	Verify exact figure/page; do not copy heatmap art without rights decision.	redraw_pressure_chain_panel
PR-0170-010	CH2-EX-002	S-0105	Efficient Estimation of Word Representations in Vector Space	Analogy/evaluation examples or tables	medium_verify_page	Confirm exact table/section and quote limits before source-card treatment.	optional_source_card
PR-0170-011	CH4-EX-004	S-0004	Language Models are Few-Shot Learners	GPT-3 few-shot/prompt-format examples and model-scale table surfaces	medium_verify_page	Extract exact surface before using as visual bridge; do not import benchmark tables wholesale.	cite_or_chapter5_bridge
PR-0170-012	CH2-EX-005	S-0153	Neural Machine Translation of Rare Words with Subword Units	BPE/subword method examples	low_verify_needed	Determine whether the useful surface is a figure, table, algorithm, or prose example.	defer_to_data_visual_pass
