pass_id	phase	workstream	primary_target	readiness_metric_moved	evidence_required	exit_gate
I-0197	strategy	roadmap contract	Convert I-0196 dashboard into a 40-pass readiness roadmap.	planning clarity	data/visual_readiness_99_roadmap_i0197.tsv;data/visual_readiness_99_gates_i0197.tsv	Roadmap has exact pass targets, gates, and no count inflation.
I-0198	tooling	capture schema	Create lightweight TSV templates and directory conventions for captures, hashes, rights notes, and failures.	repeatability	source-capture templates;directory README;gitignore audit	Future capture rows can be filled mechanically without committing heavy assets.
I-0199	capture	product/interface pilot	Capture 5 product/interface exhibits from I-0193.	private_capture_needed 17 to 12	Raster hashes, source URLs/titles, timestamps, captions, rights notes for 5 rows	No adoption/revenue/productivity inference enters captions.
I-0200	capture	frontier model pages	Capture frontier model/product pages for ChatGPT, Claude, Gemini, Llama, Qwen, DeepSeek, and related source surfaces.	private_capture_needed 12 toward 6	At least 6 additional selected or replacement source surfaces hashed and captioned	Mutable/current UI and live-rank claims remain blocked.
I-0201	capture	coding-agent surfaces	Capture Chapter 20 coding-agent surfaces: Claude Code, SWE-bench, terminal/IDE loops, repository harnesses.	private_capture_needed toward 3	Coding-agent screenshot/source rows with permission and autonomy blockers	Chapter 20 has at least one concrete source surface ready or replacement-ready.
I-0202	capture	benchmark source surfaces	Capture or card-design benchmark surfaces for SWE-bench, LM Arena, MMLU-era, and reasoning/eval sources.	evaluation visual readiness	Benchmark surfaces include version/date/task/scaffold/metric fields	No live-crown, productivity, or broad-intelligence claim is allowed.
I-0203	capture	data/corpus source surfaces	Capture or card-design tokenizer, Common Crawl/C4, The Pile/Dolma/FineWeb, deduplication, and provenance caution surfaces.	data-supply-chain texture	Data source surfaces include source/page/hash/quote limits	No closed-corpus, legal, exact-share, or leakage prevalence claim is implied.
I-0204	production	canonical redraw batch 1	Produce foundational redraws for Transformer, attention, scaling, GPT lineage, and RLHF.	early_chapter_floor_gap 8 toward 4	SVGs or redraw specs with paper page refs and rights notes	Chapters 2-5 each gain at least one page-provenance-backed exhibit candidate.
I-0205	production	canonical redraw batch 2	Produce Constitutional AI, tool use, retrieval, SWE-bench, agent scaffold, and reasoning diagrams.	agent/reasoning authority	House-style SVGs or executable specs with source IDs and blockers	Late technical diagrams preserve task/tool/sample/cost caveats.
I-0206	production	canonical redraw batch 3	Produce data/open-frontier redraws: dedup, contamination, mixtures, open weights, model cards.	data/open-frontier authority	Source-backed diagrams or source-card replacements	Open/frontier visuals show mechanism gates rather than logo/rank inflation.
I-0207	rights	industrial photo package	Verify licenses/attribution/revision notes for selected ASML, cleanroom, rack, substation, gas, nuclear, and datacenter photos.	photo_rights_review_needed 7 to publish/redraw/drop decisions	License rows, author, revision, attribution, commercial-use notes for 7 selected photos	No physical photo remains selected with unknown rights.
I-0208	production	rights-safe industrial substitutes	Create original SVG/schematic alternatives for risky physical photos.	photo risk reduction	Replacement candidates for any photo not cleared in I-0207	Every high-risk photo has a rights-safe substitute path.
I-0209	balance	Chapters 2-5 early technical fill	Add or replace roughly 8 early technical exhibits for embeddings, attention, Transformer, scaling, GPT/API/Codex.	early_chapter_floor_gap 8 to 0	Replacement/fill board and manifest/source rows	Chapters 2-5 each reach 3-4 strong candidates without late-book filler.
I-0210	balance	Chapters 6-9 product/platform balance	Align RLHF, ChatGPT, Microsoft/OpenAI, and Google visuals; prune duplicated launch/Plus surfaces.	chapter balance	Capture/prune decisions for Chapters 6-9	No launch/product screenshot appears in two chapters without a distinct job.
I-0211	balance	Chapters 10-13 frontier/rankings balance	Prune Meta, China, Anthropic, rest-frontier, and rankings visuals into a coherent map.	chapter balance	Choose/drop board for Chapters 10-13	Leaderboard and frontier visuals remain methodology/source-surface led.
I-0212	balance	Chapters 14-16 industrial arc	Prune overfull NVIDIA/power visuals into chip, rack, keynote, datacenter, power chain.	overfull_prune_pressure toward 10	Chapter 14-16 visual sequence board and drop/reserve records	No GTC/raw slide duplication; Chapter 16 uses independent evidence for physical claims.
I-0213	balance	Chapters 17-20 data/tools/code arc	Make data, agents, coding, and Claude Code visuals feel like one rising system.	chapter balance	Chapter 17-20 sequence board	Agent/code diagrams have distinct trust-boundary, harness, and repository jobs.
