pass_id	figure_id	chapter	chapter_anchor	selected_rank	asset_id	asset_type	figure_title	caption	alt_text	source_note	source_ids	rights_status	rights_stage	publication_decision	manifest_status	source_file	source_file_exists	source_sha256	render_embed_file	render_embed_file_exists	render_embed_sha256	i0257_render_status	fallback_action	claim_boundary	proof_gate	fail_closed_status
I-0258	F01.01	CH01	ch01-fig01	001	A-0068	svg_diagram	ChatGPT Shock Chronology	Figure 1.1 - ChatGPT Shock Chronology. Launch and early adoption evidence are split into distinct metric/source lanes with blocked headline claims.	F01.01: ChatGPT Shock Chronology. Shows opener chronology. Source and blocker notes remain required at placement.	Source IDs: S-0006;S-0092;S-0098;S-0102; Asset source: Generated Chapter 1 ChatGPT shock chronology; Anchor: S-0006;S-0092;S-0098;S-0102; Creator/org: Codex	S-0006;S-0092;S-0098;S-0102	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/chapter1-chatgpt-shock-chronology.svg	yes	aad7dd277c0b339525f481ab4490a291469ff07069c8c076fa498696ff3dcc8c	rendered\full_book_i0257\embedded_rasters\F01-01_chapter1-chatgpt-shock-chronology.png	yes	c837f021cdbd6b7f3ec261679dc467471f78daf49615bd92f9154aa32ae4d2f7	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F01.02	CH01	ch01-fig02	002	A-0069	svg_diagram	From Prompt to Answer, One Token at a Time	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.	F01.02: From Prompt to Answer, One Token at a Time. Shows mechanism bridge. Source and blocker notes remain required at placement.	Source IDs: S-0004;S-0005;S-0006;S-0014;S-0043; Asset source: Generated Chapter 1 token-to-answer schematic; Anchor: S-0043;S-0004;S-0005;S-0014;S-0006; Creator/org: Codex	S-0004;S-0005;S-0006;S-0014;S-0043	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/chapter1-token-to-answer-schematic.svg	yes	42869792f0aad42b83e786d969c81ab5081fdddc94f6689180f727d59618bf58	rendered\full_book_i0257\embedded_rasters\F01-02_chapter1-token-to-answer-schematic.png	yes	89b6113d08d6c083d5883f44abad3d72440740e5087e0a0059aced0c8063f65d	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F01.03	CH01	ch01-fig03	003	A-0070	svg_diagram	Local Alarms: First Institutional Response Chronology	Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples.	F01.03: Local Alarms: First Institutional Response Chronology. Shows local response texture. Source and blocker notes remain required at placement.	Source IDs: S-0093;S-0094;S-0096;S-0097; Asset source: Generated Chapter 1 institutional response chronology; Anchor: S-0093;S-0094;S-0096;S-0097; Creator/org: Codex	S-0093;S-0094;S-0096;S-0097	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/chapter1-institutional-response-chronology.svg	yes	d25bb456366d388337b81c5f0c690bd5fcb1978778eed89f67b3e4e07dff7c09	rendered\full_book_i0257\embedded_rasters\F01-03_chapter1-institutional-response-chronology.png	yes	cf6ee0be45d2d1da770f8aeb27e58bc433cb227e0b233ebecf4d606279d7d483	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F02.01	CH02	ch02-fig01	004	A-0115	svg_diagram	The Bottleneck Before The Breakthrough	Figure 2.x - The Bottleneck Before The Breakthrough. The diagram shows technical pressures that made attention and Transformer blocks useful; it is not a complete NLP history or priority claim.	F02.01: The Bottleneck Before The Breakthrough. Shows pre-Transformer pressure chain. Source and blocker notes remain required at placement.	Source IDs: S-0002;S-0104;S-0105;S-0106;S-0107; Asset source: Generated Chapter 2 pre-Transformer bottleneck map; Anchor: S-0104;S-0105;S-0106;S-0107;S-0002;C-0115;CH2Q-001; Creator/org: Codex	S-0002;S-0104;S-0105;S-0106;S-0107	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/chapter2-pre-transformer-bottleneck-map.svg	yes	4f4655aba11d74d69968d354c0424d3d16a9782801ce452d255afb31927bd856	rendered\full_book_i0257\embedded_rasters\F02-01_chapter2-pre-transformer-bottleneck-map.png	yes	218f183153c078b7a475ce841243a08c4c48bed4568802c66dbb2f949f702521	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F03.01	CH03	ch03-fig01	005	A-0116	svg_diagram	Attention Is A Mixing Operation, Not A Mind	Figure 3.x - Attention Is A Mixing Operation, Not A Mind. Self-attention routes information among token positions, but it does not prove intention, truth, grounding, faithful explanation, or modern LLM implementation details.	F03.01: Attention Is A Mixing Operation, Not A Mind. Shows self-attention mechanism. Source and blocker notes remain required at placement.	Source IDs: S-0002;S-0108; Asset source: Generated Chapter 3 self-attention information-flow schematic; Anchor: S-0002;S-0108;CH2Q-002;CH2Q-003;CH2Q-004;CH2Q-005;CH2Q-006;CH2Q-011; Creator/org: Codex	S-0002;S-0108	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/chapter3-self-attention-information-flow.svg	yes	e7efb88898beae9a7c4578d7c83cfb9431da6ee340310463e4932b9450796e14	rendered\full_book_i0257\embedded_rasters\F03-01_chapter3-self-attention-information-flow.png	yes	9ec4fae5a14f5e7b99d401247db8f47e91ade9ded5ebdc7b4f01514a08905a0a	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F04.01	CH04	ch04-fig01	006	A-0117	svg_diagram	Loss Is A Map, Not A Product Guarantee	Figure 4.x - Loss Is A Map, Not A Product Guarantee. Scaling evidence can support measured loss and compute/data/model tradeoffs, but not automatic truth, safety, product success, or emergence thresholds.	F04.01: Loss Is A Map, Not A Product Guarantee. Shows scaling evidence lanes. Source and blocker notes remain required at placement.	Source IDs: S-0003;S-0004;S-0015;S-0016; Asset source: Generated Chapter 4 scaling evidence-lane chart; Anchor: S-0003;S-0015;S-0004;S-0016;CH3Q-001;CH3Q-002;CH3Q-003;CH3Q-004;CH3Q-006;CH3Q-008; Creator/org: Codex	S-0003;S-0004;S-0015;S-0016	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/chapter4-scaling-evidence-lane-chart.svg	yes	27b39bee7113d3493591c0c68fcd0af5d1f00c1a009857acadeb61590ec79ac2	rendered\full_book_i0257\embedded_rasters\F04-01_chapter4-scaling-evidence-lane-chart.png	yes	46be18463754fff52c529ae79e4b0516ba3de86364cd1a3ec57e4ef698e68f19	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F05.01	CH05	ch05-fig01	007	A-0010	svg_diagram	From Pretraining To The Cursor	Figure 5.1 - From Pretraining To The Cursor. Sourced visual table for GPT-1, GPT-2, GPT-3, OpenAI API, Codex, and GitHub Copilot with row-level caveats.	F05.01: From Pretraining To The Cursor. Shows GPT lineage anchor. Source and blocker notes remain required at placement.	Source IDs: local:data/gpt_lineage_visual_table.tsv; Asset source: Generated GPT lineage visual table; Creator/org: Codex	local:data/gpt_lineage_visual_table.tsv	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/gpt-lineage-table.svg	yes	42ce17c8ef6f8c9baa7b008648e5cff0b4018624f04884f36e2729e39e89bed7	rendered\full_book_i0257\embedded_rasters\F05-01_gpt-lineage-table.png	yes	f08de230d506bf8ca191e3ac001db8b6cbc03008513a5b78250c8d382f937e4e	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F06.01	CH06	ch06-fig01	008	A-0011	svg_diagram	Alignment As A Product Stack	Figure 6.1 - Alignment As A Product Stack. Sourced diagram for pretraining, demonstrations, preference comparisons, reward model, RL optimization, Constitutional AI/RLAIF branch, behavior specification, red-team/eval loop, and assistant behavior caveats.	F06.01: Alignment As A Product Stack. Shows alignment mechanism. Source and blocker notes remain required at placement.	Source IDs: local:data/rlhf_alignment_pipeline_i0023.tsv; Asset source: Generated RLHF and alignment pipeline visual; Creator/org: Codex	local:data/rlhf_alignment_pipeline_i0023.tsv	ready_svg	publish_after_render_caption_source_note_qa	publish	available	assets/visual_system/rlhf-alignment-pipeline.svg	yes	40c20c381093c742387b04a88df98d5339dfc0f6ba768f2ab88633f510b497ae	rendered\full_book_i0257\embedded_rasters\F06-01_rlhf-alignment-pipeline.png	yes	093916f5af3e18c8a4fd4ef5b5cd1133e5c3b0b4a2177516c57005d90e90a823	embedded_in_i0257_pdf	Keep current original SVG/lightweight chart; no external raster rights path required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	I-0257 embedded-render proof exists; still requires page-image legibility, caption compression, and final source-note QA.	embed_ready_after_page_qa
I-0258	F06.02	CH06	ch06-fig02	009	A-0121	screenshot_slot	ChatGPT Product Surface	Figure 6.x - ChatGPT Product Surface. Private-use screenshot slot for the public assistant launch surface as source-attributed product texture.	F06.02: ChatGPT Product Surface. Shows ChatGPT product surface. Source and blocker notes remain required at placement.	Source IDs: S-0006; Asset source: ChatGPT launch product source surface; Anchor: S-0006; Creator/org: OpenAI	S-0006	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	acquisition_ready	assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png	no			no		not_embedded_in_i0257_pdf	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	Capture/permission/fair-use review required; if unresolved, replace with self-made facsimile, source card, or alternate original visual.	blocked_missing_source_file_permission-needed
I-0258	F06.03	CH06	ch06-fig03	010	A-0122	screenshot_slot	ChatGPT Plus Productization Surface	Figure 6.x - ChatGPT Plus Productization Surface. Private-use screenshot slot for the paid-product bridge.	F06.03: ChatGPT Plus Productization Surface. Shows Plus productization surface. Source and blocker notes remain required at placement.	Source IDs: S-0078;S-0089; Asset source: ChatGPT Plus announcement source surface; Anchor: S-0078;S-0089; Creator/org: OpenAI	S-0078;S-0089	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	acquisition_ready	assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png	no			no		not_embedded_in_i0257_pdf	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.	Capture/permission/fair-use review required; if unresolved, replace with self-made facsimile, source card, or alternate original visual.	blocked_missing_source_file_permission-needed
