source_id	status	local_path	source_type	cutoff_status	allowed_use	blocked_use
S-0038	available_local_html	assets/source_docs/tools_agents/S-0038_rag-arxiv-abs.html	arXiv abs local capture	pre-cutoff RAG paper	Mechanism and historical retrieval-augmented generation framing.	Do not claim RAG guarantees truth, freshness, or citation correctness.
S-0134	identified_web_refreshed	none	OpenAI product/API post	pre-cutoff June 2023 function-calling post	High-level function-calling chronology and source target.	No direct quotation, exact parameter wording, or schema detail until local capture.
S-0135	available_local_html	assets/source_docs/tools_agents/S-0135_react-arxiv-abs.html	arXiv abs local capture	pre-cutoff ReAct paper	Reasoning/action/observation loop framing.	No production-agent reliability or broad planning claim.
S-0136	available_local_html	assets/source_docs/tools_agents/S-0136_toolformer-arxiv-abs.html	arXiv abs local capture	pre-cutoff Toolformer paper	Tool-use research lineage and self-supervised tool-use framing.	No claim that deployed assistants autonomously master arbitrary tools.
S-0137	available_local_html	assets/source_docs/tools_agents/S-0137_prompt-injection-arxiv-abs.html	arXiv abs local capture	pre-cutoff prompt-injection source candidate	Prompt-injection risk framing and next-source targeting.	No detailed exploit taxonomy, prevalence, or mitigation claim until stronger rows exist.
S-0044	available	none	OpenAI product post	pre-cutoff ChatGPT plugins post	Plugin/tool chronology and public product-surface framing.	No stable ecosystem, adoption, or task-success inference.
S-0045	available	none	OpenAI product post	pre-cutoff GPTs product post	Custom GPT/product-surface chronology.	No GPT-store adoption, monetization, or reliability claims.
S-0046	available	none	OpenAI product post	pre-cutoff GPT-4o/tools post	Tool-surface chronology in ChatGPT.	No image/video diffusion history expansion or tool-use success claims.
S-0109	available_local_html	assets/source_docs/anthropic/S-0109_claude-3-5-computer-use.html	Anthropic product post local capture	pre-cutoff computer-use source	Computer-use chronology and UI-action transition with attribution.	No autonomy, productivity, or safe real-world control claim.
S-0055	available_local_html	assets/source_docs/anthropic/S-0055_model-context-protocol.html	Anthropic product/protocol post local capture	pre-cutoff MCP source	MCP as Anthropic-attributed connector/protocol framing.	No universal-standard, adoption, neutrality, or security-guarantee claim.
