candidate_id	site_or_surface	source_ids	evidence_type	visual_candidate	geolocation_confidence	licensing_posture	chapter_targets	allowed_caption	blocked_claims	priority	next_action
SITE-EVID-001	xAI Colossus / Memphis utility context	S-0149;S-0229;S-0087	official xAI source candidate plus local utility context	site locator map with MLGW utility-context source card	medium	Use OSM/USGS/Landsat-derived map only after attribution/licensing review; do not use commercial satellite without license.	11;16	Memphis can be shown as a named xAI/utility-context site in the AI compute buildout story.	No GPU count, exact power draw, turbine operation, emissions, fuel mix, grid connection size, customer workload, or model-performance claim from map/site imagery.	highest	capture MLGW/xAI page and pair with xAI source; acquire permit/official county source before turbine claims.
SITE-EVID-002	xAI Colossus physical campus	S-0149;S-0229;S-0233	satellite/image candidate	Landsat/USGS low-resolution context image or licensed commercial satellite crop	low-to-medium	USGS/Landsat public-domain path is rights-friendlier but too coarse; commercial high-res satellite requires paid/license clearance.	16	A satellite image can show a large industrial site context if the location and date are separately documented.	No proof of GPU count, occupancy, energization, training activity, temporary generators, emissions, or construction timeline.	high	test whether Landsat/Sentinel resolution is useful; otherwise mark commercial-license-needed.
SITE-EVID-003	xAI temporary generation / turbine yard	S-0229;S-0174;S-0087	permit/source-surface candidate, not yet image-ready	source-excerpt card plus optional licensed photo if official permit source found	low	Do not use image until official permit/source and license are secured.	16	Temporary/on-site generation can be discussed only as a documented infrastructure constraint if official permit evidence is captured.	No turbine count, MW, emissions, continuous operation, legal status, health impact, or demobilization claim from secondary snippets or imagery alone.	high	acquire Shelby County/SCHD/EPA primary permit source before any visual.
SITE-EVID-004	OpenAI/Oracle/Crusoe Stargate Abilene	S-0230;S-0231;S-0233	official project pages plus satellite candidate	site locator map and source-card pair	medium	USGS/Landsat/OSM for locator; commercial satellite for campus detail only with license.	8;16	Abilene/Stargate can be shown as a named AI data-center campus in the post-ChatGPT infrastructure race.	No chip count, capacity delivered, operational building count, customer workloads, power-source mix, construction progress, or financing claim from satellite imagery.	highest	use official OpenAI/Crusoe language for project status; keep all capacity/chip numbers source-attributed.
SITE-EVID-005	Stargate Abilene construction footprint	S-0230;S-0231;S-0233	satellite time-series candidate	time-series map thumbnail or redraw from licensed imagery	low-to-medium	Free Landsat may not resolve buildings; high-res imagery requires license and date provenance.	16	A time-series visual could show visible construction footprint only if date, imagery source, and geolocation are verified.	No inference about racks, GPUs, energization, operational status, schedule, or cost.	medium	defer until licensed/time-stamped imagery is available.
SITE-EVID-006	Microsoft Fairwater / Mount Pleasant AI datacenter	S-0232;S-0233;S-0234	official Microsoft source plus map/satellite candidate	site locator map plus official-source excerpt card	medium	OSM locator likely usable with ODbL attribution; satellite detail requires USGS/Landsat or commercial license.	8;16	Microsoft's Wisconsin AI datacenter can illustrate hyperscale AI infrastructure as a regional cloud-capacity project.	No proof of "world's most powerful" as neutral fact, GPU count, power draw, grid impact, employment impact, operational status, or model workload from site imagery.	high	use as Microsoft/OpenAI cloud-capacity complement, not as ranking proof.
SITE-EVID-007	Microsoft Fairwater mechanical/cooling yard	S-0232;S-0088;S-0175	official/source-image candidate	official blog image or rights-safe generic cooling-yard photo paired with caption blockers	low-to-medium	Official Microsoft images require permission review; generic public-domain cooling photo safer but less specific.	16	Cooling/mechanical-yard imagery can show that AI datacenters are thermal and electrical systems, not just server rooms.	No exact cooling technology, PUE, water use, rack density, or facility engineering claim without source-specific evidence.	medium	use generic rights-safe cooling image unless Microsoft grants use.
SITE-EVID-008	Google data-center campus / hyperscale cloud surface	S-0083;S-0086;S-0233;S-0234	representative locator/source-surface candidate	generic hyperscale campus locator or public-domain aerial context	low	Use only if an official Google site source is acquired; OSM/USGS for generic locator with attribution.	9;16	Google can appear as cloud-owned infrastructure context only when tied to LLM/product strategy.	No claim about TPU deployment, Gemini training site, energy mix, utilization, or model workload from a data-center image.	medium	acquire official Google data-center source before selecting a site.
SITE-EVID-009	Meta data-center campus / AI capacity context	S-0083;S-0086;S-0233;S-0234	representative locator/source-surface candidate	generic campus locator or official Meta image if acquired	low	Official image/license needed for specific campus; OSM/USGS only for locator context.	10;16	Meta's data-center footprint can support open-weight/infrastructure discussion only where it explains LLM compute capacity.	No Llama training location, GPU count, energy mix, water use, customer workload, or AI capacity claim from imagery alone.	medium	acquire official Meta datacenter source before use.
SITE-EVID-010	substation/interconnection surface	S-0087;S-0103;S-0233	photo candidate / source-surface candidate	DOE/public-domain transmission or substation photo plus locator-safe map	high for generic, low for named site	DOE/public-domain candidate path already exists; final license/credit still needed.	16	A generic substation/transmission image can make interconnection physical without tying it to one AI campus.	No named data-center connection, capacity value, outage/delay proof, project approval, or local fuel mix.	highest	promote generic rights-safe grid photo before named-site satellite if final rights are easier.
SITE-EVID-011	battery/storage yard surface	S-0087;S-0083;S-0233	photo candidate / source-surface candidate	generic public-domain battery-storage image or official utility source	medium for generic	Need public-domain/CC/permission proof before use.	16	Battery/storage imagery can show one infrastructure response category in the AI/data-center power conversation.	No claim that a named AI site uses batteries, solves intermittency, lowers emissions, or avoids grid upgrades.	medium	find DOE/NREL/utility public-domain candidate in later photo hunt.
SITE-EVID-012	cooling yard / chiller / cooling tower	S-0088;S-0175;S-0233	photo candidate / source-surface candidate	rights-safe cooling/mechanical-yard photo	medium for generic	Existing A-0104 source lane needs final source/license; use generic infrastructure photo rather than named site if possible.	16	Cooling-yard imagery can give Chapter 16 physical heat-rejection texture.	No site-specific technology, water use, PUE, rack density, or universal liquid-cooling transition claim.	high	resolve A-0104 source/license and avoid implying AI-specific facility unless source says so.
SITE-EVID-013	site-evidence composite	S-0229;S-0230;S-0232;S-0233;S-0234	house-style evidence grammar	redrawn "what a site image can and cannot prove" grid	high	Original SVG from ledgered sources; safest rights route.	16	Best final exhibit may be a claim-control grid: location, visible footprint, power equipment, construction change, and what remains unproven.	No numeric inference; no hidden-workload or operational conclusions.	highest	build as a neutral visual grammar before buying any satellite image.
