rule_id	surface	final_standard	minimum_gate	verification	failure_action
I0218-STYLE-001	book_visual_system	All exhibits use one house grammar: warm paper, dark ink, sparse rules, direct labels, visible source/caveat line, and no decorative AI-glow language.	Every final exhibit identifies one visual family and one reader job.	Check assets_manifest.tsv, selected-100 matrix, and final page proofs for family/job fields.	Return exhibit to design review until its job is explicit.
I0218-STYLE-002	typography	Use a clean sans inside visuals; reserve serif texture for book layout, captions, and running prose.	Primary SVG titles 34-44 px; section labels 22-28 px; body labels 17-22 px; source/caveat text 14-17 px.	Parse SVG font-size declarations and inspect final PDF page images at target size.	Rewrite labels or enlarge figure before final placement.
I0218-STYLE-003	palette	Keep the I-0005 multi-hue palette but normalize names: ink #20242a, paper #f7f5ef, rule #d8d2c5, compute blue, signal green, heat red, brass, and restrained violet.	No exhibit should be dominated by one accent hue unless the data semantics require it.	Palette scan of SVG hex colors plus grayscale preview.	Recolor to role-based accents before chart QA.
I0218-STYLE-004	line_weights	Use clear print-surviving strokes: 2 px for subtle rules, 3 px for primary outlines/arrows, 4 px only for emphasis.	No essential line below 1.5 px in SVG source.	Regex stroke-width scan and PDF visual check.	Increase stroke or simplify figure before render QA.
I0218-STYLE-005	chart_annotations	Charts use direct labels, units, source ID, snapshot/access date, and one caveat sentence near the figure.	No legend-only interpretation for high-risk rank, price, benchmark, energy, or model-family charts.	Chart QA checks axis labels, source line, caveat line, and prohibited-claim note.	Block final use until annotation contract is complete.
I0218-STYLE-006	source_cards	Source-excerpt cards are evidence objects, not pull-quote posters: source band, paraphrase-first text, source metadata, and blocker footer.	Direct quotes obey source quote limits; every card names source ID, page/section/date, and blocked claim.	Compare card copy with data/source_excerpt_card_design_contract_i0189.tsv and claims.tsv.	Use paraphrase fallback or remove the card from selection.
I0218-STYLE-007	figure_numbering	Figure labels follow chapter-local numbering: Figure CH.N, with asset ID and source ID kept in production notes, not decorative title text.	Every selected final row has planned chapter slot and asset ID; captions can be traced back to source/provenance.	Join selected-100 matrix, caption QA, source-note QA, and final layout notes.	Do not promote page spread without traceable figure ID.
I0218-STYLE-008	accessibility_contrast	Charts must be readable in grayscale and in print; color cannot be the only meaning channel.	Use label text, shape, dash, weight, or order to distinguish important categories.	Grayscale preview plus color-count and label audit.	Add patterns/direct labels or reduce categories.
I0218-STYLE-009	accessibility_metadata	SVGs carry role="img", title, and desc metadata.	All final SVG exhibits pass role/title/desc checks.	Regex/XML scan before chart legibility QA.	Patch metadata before final render.
I0218-STYLE-010	source_surface_frames	Screenshots, PDF renders, slides, and photos use restrained source frames: crop note, access date, rights note, and caption firewall nearby.	No screenshot/photo is treated as decorative atmosphere or outcome evidence.	Check I-0217 source-note QA and screenshot/photo QA rows.	Replace with source card or diagram if provenance/crop is weak.
I0218-STYLE-011	caption_proximity	Caption, source note, and blocker must be near the visual in the final spread, not buried in a back matter ledger.	Every final page proof shows caption and source/caveat line within the same figure block.	Render QA page-image inspection.	Revise layout before publication-ready claim.
I0218-STYLE-012	density	One figure should teach one thing. Dense ledger boards are allowed only when the narrative job is audit or comparison.	Maximum of one dense board per spread unless the chapter is explicitly doing source/benchmark methodology.	Manual spread review against rhythm board.	Split board, move to appendix, or replace with a calmer source card.
I0218-STYLE-013	rights_language	Private-use, source-screenshot, public-domain, CC, and original-SVG statuses must be visually distinguishable in production notes and captions.	Caption never implies rights clearance when a row says private-use or rights-review-needed.	Join source-note QA, manifest, and caption QA.	Add rights cue or remove from public-facing layout.
I0218-STYLE-014	render_gate	Style compliance is necessary but not sufficient; final acceptance requires PDF/page-image legibility, overflow, caption, and source-note proof.	No selected-100 readiness claim may rely on style contract alone.	Use I-0219/I-0220 and later full-book render QA.	Keep publication-readiness blocker active.
