pass_id	inventory_id	visual_family	visual_category	asset_id	title	pdf_page_i0302	pdf_page_i0310	page_shift_i0310_vs_i0302	mapping_method_i0302	mapping_method_i0310	mapping_evidence_i0310	status
I-0310	FI-0001	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-013	Figure 01.01 - OpenAI Platform Became A Public Product Surface	2	4	2	figure_or_section_id	figure_or_section_id	F01.01	mapped
I-0310	FI-0002	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0069	Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer.	7	9	2	figure_or_section_id	figure_or_section_id	F01.02	mapped
I-0310	FI-0003	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0070	Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples.	12	14	2	figure_or_section_id	figure_or_section_id	F01.03	mapped
I-0310	FI-0004	expanded_300_exhibit	paper_report_excerpt	A-0285-001	Figure 02.01 - Transformer Paper Page As The Breakthrough Surface	17	21	4	figure_or_section_id	figure_or_section_id	F02.01	mapped
I-0310	FI-0005	expanded_300_exhibit	paper_report_excerpt	A-0288-001	Figure 03.01 - BERT Page As Bidirectional Transformer Lineage	30	45	15	figure_or_section_id	figure_or_section_id	F03.01	mapped
I-0310	FI-0006	expanded_300_exhibit	paper_report_excerpt	A-0285-005	Figure 04.01 - Scaling Laws Page As Loss-Compute Evidence	43	68	25	figure_or_section_id	figure_or_section_id	F04.01	mapped
I-0310	FI-0007	expanded_300_exhibit	paper_report_excerpt	A-0285-002	Figure 05.01 - GPT-1 Paper Page As Pretraining Origin	56	88	32	figure_or_section_id	figure_or_section_id	F05.01	mapped
I-0310	FI-0008	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-014	Figure 06.01 - Anthropic Console Product Surface	72	107	35	figure_or_section_id	figure_or_section_id	F06.01	mapped
I-0310	FI-0009	expanded_300_exhibit	real_photo_screenshot_source_image	A-0284-006	Figure 06.02 - OpenAI API As Behavior Interface	77	112	35	figure_or_section_id	figure_or_section_id	F06.02	mapped
I-0310	FI-0010	expanded_300_exhibit	person_image	A-0284-057	Figure 06.03 - Dario Amodei Public Profile Texture	83	118	35	figure_or_section_id	figure_or_section_id	F06.03	mapped
I-0310	FI-0011	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0016	Figure 7.x - ChatGPT: From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o with a blocked adoption/productivity lane.	91	138	47	figure_or_section_id	figure_or_section_id	F07.01	mapped
I-0310	FI-0012	expanded_300_exhibit	person_image	A-0284-052	Figure 07.02 - Sam Altman Public Profile Texture	95	142	47	figure_or_section_id	figure_or_section_id	F07.02	mapped
I-0310	FI-0013	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-001	Paid access became a product surface	99	146	47	figure_or_section_id	figure_or_section_id	F07.03	mapped
I-0310	FI-0014	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-002	Enterprise ChatGPT added workplace controls	102	149	47	figure_or_section_id	figure_or_section_id	F07.04	mapped
I-0310	FI-0015	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-003	Release notes are product archaeology	106	153	47	figure_or_section_id	figure_or_section_id	F07.05	mapped
I-0310	FI-0016	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0056	Figure 8.1 - Microsoft/OpenAI: The Cloud Bargain Timeline. Sourced chronology from 2019 compute partnership to Microsoft 365 Copilot with blocked outcome lane.	111	169	58	figure_or_section_id	figure_or_section_id	F08.01	mapped
I-0310	FI-0017	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-017	Figure 08.02 - Microsoft Copilot Product Surface	115	173	58	figure_or_section_id	figure_or_section_id	F08.02	mapped
I-0310	FI-0018	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0058	Figure 8.3 - Inference Cost Stack: What The Chat Box Hides. Non-quantified stack of latency, governance, serving software, accelerators, and physical datacenter layers.	118	176	58	figure_or_section_id	figure_or_section_id	F08.03	mapped
I-0310	FI-0019	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0059	Figure 8.4 - Enterprise Claim Blocker Map. Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin need stronger rows.	121	179	58	figure_or_section_id	figure_or_section_id	F08.04	mapped
I-0310	FI-0020	expanded_300_exhibit	paper_report_excerpt	A-0288-004	Figure 09.01 - PaLM Page As Google's Scale Surface	127	190	63	figure_or_section_id	figure_or_section_id	F09.01	mapped
I-0310	FI-0021	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-004	Figure 09.02 - Gemini API Model Docs Surface	130	193	63	figure_or_section_id	figure_or_section_id	F09.02	mapped
I-0310	FI-0022	expanded_300_exhibit	pdf_deck_report_page	A-0288-016	Figure 09.03 - Gemini 1.5 Report Page As Long-Context Surface	133	196	63	figure_or_section_id	figure_or_section_id	F09.03	mapped
I-0310	FI-0023	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T001	Figure 09.04 - 2023 Model-Landscape Table	136	199	63	figure_or_section_id	figure_or_section_id	F09.04	mapped
I-0310	FI-0024	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-015	Figure 09.05 - Google AI Studio Product Surface	139	202	63	figure_or_section_id	figure_or_section_id	F09.05	mapped
I-0310	FI-0025	expanded_300_exhibit	paper_report_excerpt	A-0288-009	Figure 10.01 - Llama 3 Herd Paper Page	144	221	77	figure_or_section_id	figure_or_section_id	F10.01	mapped
I-0310	FI-0026	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-004	Figure 10.02 - Llama 2 Hugging Face Model Card	147	224	77	figure_or_section_id	figure_or_section_id	F10.02	mapped
I-0310	FI-0027	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-011	Figure 10.03 - Llama 3 Hugging Face Model Card	150	227	77	figure_or_section_id	figure_or_section_id	F10.03	mapped
I-0310	FI-0028	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-019	Figure 10.04 - Meta Llama Documentation Surface	153	230	77	figure_or_section_id	figure_or_section_id	F10.04	mapped
