rank	deficit	evidence_or_source	award_readiness_impact	next_fix
1	Primary mapped manuscript is 98,529 words, below the 100,000-word final invariant.	data/full_book_source_density_primary_ratio_i0166.tsv	Awards should receive the finished book, not a near-miss draft.	Add targeted prose where source-density and narrative continuity are weak, not filler.
2	Visual program still misses the 100-exhibit floor by at least 10 ready exhibits.	data/visual_readiness_path_to_100_i0164.tsv	Design-forward nonfiction juries and reviewers will see the book as unfinished if figures remain placeholder-heavy.	Promote at least 10 rights-screened candidates into ready status and then render-test captions.
3	Eight claims remain needs-verification.	claims.tsv	Prize submissions cannot carry known unresolved factual claims.	Close or cut each needs-verification claim before any entry packet.
4	Eleven chapters are critical source-density risks.	data/full_book_source_density_primary_ratio_i0166.tsv	Thin source adjacency weakens judge confidence and reviewer trust.	Repair critical chapters first, placing citations beside factual paragraphs.
5	Seven additional chapters are thin source-density risks.	data/full_book_source_density_primary_ratio_i0166.tsv	Even non-critical thin chapters create uneven authority across the spine.	Add primary/secondary corroboration and reduce unsupported synthesis.
6	Chapter 12 still has a structural conflict.	scoreboard.tsv;insights.md	An unresolved mid-book architecture problem makes the whole work feel less inevitable.	Run a dedicated Chapter 12 structure decision pass before final copyedit.
7	No final full-book PDF/render QA has passed.	scoreboard.tsv	Award packets and ARC review require stable pagination, captions, notes, and interior design.	Render the complete book and log layout, caption, note, and orphan/widow QA.
8	Quote permissions are unresolved.	data/full_book_source_density_primary_ratio_i0166.tsv	Permissions uncertainty can block publication and award submission after the editorial work is done.	Create a quote-permission ledger and replace risky quotations with paraphrase where necessary.
9	Screenshot/photo rights remain acquisition-planning, not final clearance.	data/screenshot_photo_execution_wave2_i0165.tsv	Visual-rich entries need clean provenance and publication rights.	Convert priority screenshot/photo candidates into final assets with rights/credit/license rows.
10	Chapters 3 and 4 have zero ready visual exhibits in the current readiness path.	data/visual_readiness_path_to_100_i0164.tsv	Early technical chapters need visual assistance for judges and reviewers.	Prioritize simple, rights-clean technical diagrams or source-surface exhibits for Chapters 3-4.
11	Market, adoption, infrastructure, and reception lanes still need more secondary/context corroboration.	manuscript/full-book-source-density-primary-ratio-audit-i0166.md	Business/general nonfiction awards reward interpretation that is externally situated, not just primary-source-heavy.	Add trade press, analyst, academic, and critic context where claims lean too close to vendor/platform sources.
12	Cover, jacket, and interior design are not final.	data/commercial_publishing_package_i0167.tsv	Award and critic first impressions begin with professional packaging.	Commission or design final cover/interior test pages after manuscript QA clears.
13	Review/blurbs/ARC pipeline is only planned, not built.	data/commercial_launch_sequence_i0167.tsv	NBCC, LA Times, and commercial discovery lanes depend on critics and reviewers seeing the book in time.	Build reviewer list, ARC schedule, blurb targets, and outreach copy.
14	Title/subtitle and metadata still need reader testing.	manuscript/00-title-reader-test-protocol.md;data/commercial_publishing_package_i0167.tsv	Wrong positioning can make a strong book invisible to the right category.	Run title/subtitle tests and freeze metadata before ARC generation.
15	No award-specific calendar owner or evidence folder exists yet.	I-0168 pass scope	Deadlines are unforgiving; missing formats or portals can waste a finished book.	Create an award evidence folder with source URLs, deadlines, portal notes, material checklists, and reminders.
