chapter	ready_count	ready_asset_ids	recommended_positions	duplicate_or_balance_flag	caption_source_rights_purpose_qa	missing_exhibit_type	path_to_100_priority
01	3	A-0068,A-0069,A-0070	opener chronology after first public-shock beat; token schematic before mechanism explanation; institution-response chronology beside reception paragraph	good count; all diagrammatic, no real product surface in chapter manifest	all 120 manifest rows have caption, source/provenance, rights/private-use note, and story purpose	no ready screenshot/photo; A-0036 launch screenshot should become Chapter 1 or Chapter 7 surface	high
02	3	A-0115,A-0116,A-0117	place as early technical pressure-chain trio: sparse counts, representation, and pre-attention bottleneck	good count; early technical grammar should not duplicate later benchmark/agent diagrams	all required manifest fields complete	one canonical paper/source excerpt or redraw candidate would improve authority	medium
03	0	none	needs first visual after scaling-law explanation and before industry-bet prose	zero ready exhibits is a hard visual-balance deficit	all required manifest fields complete for manifest rows, but no Chapter 3 row exists	scaling-law paper redraw or evidence-lane chart	highest
04	0	none	needs first visual near attention/Transformer mechanism explanation	zero ready exhibits is a hard visual-balance deficit	all required manifest fields complete for manifest rows, but no Chapter 4 row exists	Transformer attention redraw or source-excerpt card	highest
05	1	A-0010	place GPT lineage table after GPT-1/GPT-2/GPT-3 conversion paragraph	under target; only one lineage/table visual	all required manifest fields complete	GPT paper/API/Codex source excerpt or interface-conversion mini-figure	high
06	1	A-0011	place RLHF/alignment pipeline after assistant-behavior mechanism section	under target; only one pipeline diagram	all required manifest fields complete	InstructGPT/RLHF quote-safe source card or Constitutional AI contrast card	high
07	1	A-0016	place ChatGPT interface-to-business timeline after productization transition	under target; screenshot slots exist but are not ready	all required manifest fields complete	A-0036,A-0037,A-0038,A-0039 screenshots should supply real product surfaces	highest
08	4	A-0056,A-0057,A-0058,A-0059	use partnership chronology, flywheel, inference-cost stack, and enterprise blocker map across capacity/distribution/governance sections	good count; business-platform visuals should avoid outcome claims	all required manifest fields complete	one real source/product surface optional, not urgent	low
09	4	A-0086,A-0087,A-0088,A-0089	place chronology, TPU leverage, conversion-pressure map, and blocker map across research-to-product arc	good count; all schematic, no screenshot/photo texture	all required manifest fields complete	Gemini/DeepMind source screenshot optional after product-surface pass	medium
10	4	A-0030,A-0112,A-0113,A-0114	place Llama/control-stack visuals around weights/license/hosting/safety/eval sections	good count; keep distinct from Chapter 11 open-model lane diagrams	all required manifest fields complete	source-page screenshot or paper card optional	low
11	2	A-0031,A-0118	place China/open-model lane figure and gap-lane figure before unsupported-family discussion	under target; crowded frontier needs visible gap/source lanes	all required manifest fields complete	Qwen/DeepSeek/GLM/Kimi primary source surfaces or source cards	high
12	4	A-0094,A-0095,A-0096,A-0097	place behavior-to-action arc, Constitutional AI/Claude family, computer-use/MCP bridge, and blocker grid	good count; A-0119/A-0120 can add screenshot texture when captured	all required manifest fields complete	Anthropic screenshot execution, not more schematic diagrams	medium
13	3	A-0013,A-0014,A-0019	place methodology before rank slice and exclusion map before price-quality discussion	good count; caption proximity/render QA still important	all required manifest fields complete	leaderboard/source-surface screenshot optional after benchmark exhibit pass	medium
14	3	A-0071,A-0072,A-0073	place CUDA stack, GPU memory/interconnect, and training-vs-inference capacity split across hardware mechanism sections	good count; hardware could use physical/chip image later	all required manifest fields complete	chip/package/rack photo candidate	medium
15	15	A-0004,A-0005,A-0006,A-0007,A-0008,A-0009,A-0012,A-0024,A-0025,A-0026,A-0027,A-0028,A-0029,A-0106,A-0107	choose no more than 5-7 final exhibits: AI-factory thesis, strongest roadmap/stagecraft surface, one system-comparison card, DSX/platform frame, and one physical/source surface	overfull; duplicate GTC slide renders plus claim cards risk gallery effect	all required manifest fields complete	prune duplicate GTC cards before adding more; mined thesis charts may replace weaker product slides	low
16	7	A-0015,A-0017,A-0018,A-0020,A-0021,A-0022,A-0023	choose 4-5 final exhibits: power-to-token flow, infrastructure evidence lanes, physical constraint map, and one render/proof note only if needed	overfull; mock/render artifacts should not crowd final narrative	all required manifest fields complete	rights-safe physical photo could replace one schematic	medium
17	4	A-0064,A-0065,A-0066,A-0067	place token ladder, filter funnel, mixture board, and memorization/contamination map across data supply-chain sections	good count; all schematic but chapter topic is process-heavy	all required manifest fields complete	source-excerpt or corpus surface optional	medium
18	4	A-0060,A-0061,A-0062,A-0063	place RAG conveyor, function-call boundary, agent loop, and prompt-injection boundary across harness sections	good count; trust-boundary grammar must remain visible	all required manifest fields complete	tool/product screenshot optional after interface shortlist	low
19	4	A-0090,A-0091,A-0092,A-0093	place code-as-language ladder, editor/repo loop, benchmark ladder, and repository-as-prompt schematic	good count; avoid duplicating Chapter 20 terminal-agent loop	all required manifest fields complete	Codex/Copilot source surface optional	low
20	4	A-0032,A-0033,A-0034,A-0035	place repo lifecycle, benchmark caveat matrix, permissions boundary, and productivity blocker map across Claude Code chapter	good count; screenshot slots would add product texture but must not imply productivity	all required manifest fields complete	Claude Code screenshot/source surface from A-0041 or A-0119/A-0120	medium
21	4	A-0078,A-0079,A-0080,A-0081	place train-vs-test-time axis, verifier/search loop, inference contract, and routing map across reasoning chapter	good count; caption contracts are more important than more art	all required manifest fields complete	reasoning paper/source excerpt optional	low
22	4	A-0082,A-0083,A-0084,A-0085	place token meter, price-scope exclusions, inference-rent flow, and enterprise-value blocker map across economics chapter	good count; avoid price-quality crown chart until C-0046 resolved	all required manifest fields complete	pricing/source-page screenshot optional only with strict scope	low
23	4	A-0074,A-0075,A-0076,A-0077	place failure-mode map, trust stack, eval blind-spot matrix, and provenance workflow across trust chapter	good count; failure families separated well	all required manifest fields complete	system-card/source excerpt card optional	low
24	4	A-0108,A-0109,A-0110,A-0111	place stack map near synthesis, conversion gates near gates, unsettled-claims board near unresolved section, judgment loop near final turn	good count; final visuals must not become prophecy	all required manifest fields complete	final render QA must ensure ending still lands after figures	low
