id	status	claim	location	source_ids	permission	blocked_inference	next_action
CH12CLAUDE-001	supported	Anthropic's Constitutional AI work used written principles, model-generated critiques/revisions, and AI feedback as part of an assistant-behavior training approach.	manuscript/12-anthropic-and-claude-spine-section.md	S-0019	Qualitative mechanism prose allowed.	Do not claim solved alignment, moral guarantee, or complete replacement for human judgment.	Local extraction before exact quotation or principle-list detail.
CH12CLAUDE-002	supported	Claude 3 was announced as a family of Haiku, Sonnet, and Opus tiers arranged around capability, speed, and cost tradeoffs.	manuscript/12-anthropic-and-claude-spine-section.md	S-0020	Chronology and tier framing allowed.	Do not chart exact benchmark superiority or permanent best-model status from the launch post.	Snapshot launch page before final caption/table.
CH12CLAUDE-003	supported	Claude 3 materials and model card support qualitative multimodal-input and safety/evaluation framing.	manuscript/12-anthropic-and-claude-spine-section.md	S-0020;S-0110	Use as model-family deployment and risk-practice evidence.	Do not turn vision input into image-generation history or visual-understanding proof.	Capture model card locally and extract model-card rows.
CH12CLAUDE-004	supported	Claude 3.5 Sonnet was launched in June 2024 and positioned around intelligence, speed, cost, vision, coding, and broad API/cloud availability.	manuscript/12-anthropic-and-claude-spine-section.md	S-0021	Chronology and qualitative positioning allowed.	Do not use exact price/context-window values in prose charts without pricing-row normalization.	Add snapshot row if exact table is planned.
CH12CLAUDE-005	supported	Anthropic announced an upgraded Claude 3.5 Sonnet, Claude 3.5 Haiku, and computer-use public beta in October 2024.	manuscript/12-anthropic-and-claude-spine-section.md	S-0109	Chronology and qualitative computer-use transition allowed.	Do not claim general autonomy, productivity, or safe real-world control.	Capture page and split UI-action claims from model-release claims.
CH12CLAUDE-006	supported	Anthropic introduced Claude 3.7 Sonnet and Claude Code in February 2025, pairing hybrid reasoning framing with a terminal-based agentic coding tool.	manuscript/12-anthropic-and-claude-spine-section.md	S-0048;S-0022	Chronology, product pairing, and coding-agent workflow framing allowed.	Do not reproduce productivity anecdotes, customer claims, or benchmark numbers without independent rows.	Pair launch post with Claude Code docs snapshots.
CH12CLAUDE-007	needs-extraction	Claude 4 launch positioned Opus 4 and Sonnet 4 around coding, reasoning, agents, extended thinking with tool use, parallel tools, instruction following, and local-file memory-like behavior.	manuscript/12-anthropic-and-claude-spine-section.md	S-0007	Vendor-attributed qualitative positioning allowed.	Exact SWE-bench/Terminal-bench numbers and best-coding-model style claims remain blocked by C-0013.	Extract benchmark table, scaffold notes, and product claims separately before any chart.
CH12CLAUDE-008	supported	Claude Code docs support framing coding agents as repository-work systems with context management, permissions/security, tool use, tests, and common workflows.	manuscript/12-anthropic-and-claude-spine-section.md	S-0022;S-0049;S-0050;S-0051	Structural synthesis allowed.	Do not quote commands, settings, or exact security defaults from live docs without snapshots.	Snapshot docs set before final Chapter 20/Anthropic integration.
CH12CLAUDE-009	supported	Anthropic's Model Context Protocol announcement supports a broader tool/context connector framing for agentic assistants.	manuscript/12-anthropic-and-claude-spine-section.md	S-0055	Qualitative protocol-positioning prose allowed.	Do not claim MCP adoption, neutrality, or universal standard status without external ecosystem evidence.	Add adoption/ecosystem rows only if later chapter needs them.
CH12CLAUDE-010	needs-extraction	Claude pricing and context-window claims should remain separate from model-quality claims until normalized against billing semantics and same-scope ranking evidence.	manuscript/12-anthropic-and-claude-spine-section.md	S-0060;C-0046	Caveat prose allowed; exact price chart blocked.	No price-quality frontier, generic cheapest/best claims, or cache/batch/tier flattening.	Use existing provider-pricing rows and add cutoff-status fields before plotting.
