claim_id	status	claim	chapter_use	support	blocker_or_note
CH17DATA-001	supported	BPE and subword tokenization can be used to explain rare-word/open-vocabulary handling.	Prose explains why words are too large as direct units.	S-0153	Modern tokenizer quantitative comparisons need extracted rows.
CH17DATA-002	supported	SentencePiece supports language-independent/raw-text tokenizer framing.	Prose uses it to show tokenization as a general preprocessing layer.	S-0154	Does not prove tokenization is practically language-neutral.
CH17DATA-003	supported	tiktoken supports a modern OpenAI tokenizer implementation anchor.	Prose uses it for token-ID explanation only.	S-0043	Exact model-tokenizer behavior and token counts remain blocked.
CH17DATA-004	supported	C4 can be described as a cleaned Common Crawl-derived corpus used in T5-style language-model work.	Prose uses it as the cleaned-web-corpus example.	S-0155	Does not make cleaned web data clean in legal/ethical/epistemic terms.
CH17DATA-005	supported	Documenting C4 supports provenance/filtering critique of web corpora.	Prose uses it to explain why filtering changes representation.	S-0156	Exact content/demographic effects require row extraction.
CH17DATA-006	supported	The Pile supports documented open data-mixture framing.	Prose uses it as an inspectable named corpus.	S-0042;S-0157	Not representative of proprietary frontier-model training sets.
CH17DATA-007	supported	Dolma, FineWeb, and DataComp-LM support data curation as a research artifact.	Prose uses them for open-corpus and curation lanes.	S-0158;S-0159;S-0163	Exact dataset size, quality, and downstream-performance claims remain blocked.
CH17DATA-008	supported	Deduplication can be framed as a quality, memorization, and evaluation concern.	Prose uses it to explain the echo problem.	S-0160	Exact effect sizes require extraction.
CH17DATA-009	supported	Training-data extraction and memorization are real risks studied in LLMs.	Prose distinguishes memorization from human-like memory.	S-0161;S-0162	Model-specific leakage prevalence and legal conclusions remain blocked.
CH17DATA-012	supported_with_caveat	Gemini 1.5 and related Google rows support long-context framing as inference-time evidence capacity, not persistent memory or retrieval replacement.	Prose uses long context as a bridge between data and tools.	S-0117;S-0123;S-0124	Long-context benchmark, enterprise knowledge-work, retrieval-obsolescence, and persistent-memory claims remain blocked.
CH17DATA-010	needs-verification	Exact proprietary frontier-model corpus composition, data licenses, Common Crawl share, synthetic-data share, contamination prevalence, and copyright/legal conclusions.	Prose blocks these explicitly.	S-0153;S-0154;S-0155;S-0156;S-0157;S-0158;S-0159;S-0160;S-0161;S-0162;S-0163	Requires model-specific papers/cards/filings/audits or legal sources.
CH17DATA-011	supported	Chapter 17 fills the missing data/tokens spine slot between physical infrastructure and tool-using systems.	Prose bridges Chapter 16 compute/power to Chapter 18 retrieval/tools.	C-0133;data/chapter_order_continuity_audit_i0110.tsv	Final render order still needs outline-to-file map cleanup.
