"chapter"	"selected_exhibits"	"provenance_contract_ok"	"issue_count"	"dominant_issue"	"issue_mix"	"chapter_action"
"1"	"3"	"3"	"0"	"none"	"provenance_contract_ok:3"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"2"	"1"	"1"	"0"	"none"	"provenance_contract_ok:1"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"3"	"1"	"1"	"0"	"none"	"provenance_contract_ok:1"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"4"	"1"	"1"	"0"	"none"	"provenance_contract_ok:1"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"5"	"1"	"1"	"0"	"none"	"provenance_contract_ok:1"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"6"	"3"	"3"	"0"	"none"	"provenance_contract_ok:3"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"7"	"5"	"5"	"0"	"none"	"provenance_contract_ok:5"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"8"	"4"	"4"	"0"	"none"	"provenance_contract_ok:4"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"9"	"5"	"5"	"0"	"none"	"provenance_contract_ok:5"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"10"	"5"	"5"	"0"	"none"	"provenance_contract_ok:5"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"11"	"5"	"5"	"0"	"none"	"provenance_contract_ok:5"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"12"	"6"	"6"	"0"	"none"	"provenance_contract_ok:6"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"13"	"3"	"3"	"0"	"none"	"provenance_contract_ok:3"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"14"	"6"	"6"	"0"	"none"	"provenance_contract_ok:6"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"15"	"7"	"5"	"2"	"selection_rights_mismatch"	"provenance_contract_ok:5;selection_rights_mismatch:2;source_id_missing_for_non_codex:1"	"Reconcile selected-100 rights status against manifest/source-render status before publication readiness."
"16"	"9"	"9"	"0"	"none"	"provenance_contract_ok:9"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"17"	"4"	"4"	"0"	"none"	"provenance_contract_ok:4"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"18"	"5"	"5"	"0"	"none"	"provenance_contract_ok:5"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"19"	"5"	"5"	"0"	"none"	"provenance_contract_ok:5"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"20"	"5"	"5"	"0"	"none"	"provenance_contract_ok:5"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"21"	"4"	"4"	"0"	"none"	"provenance_contract_ok:4"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"22"	"4"	"4"	"0"	"none"	"provenance_contract_ok:4"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"23"	"4"	"4"	"0"	"none"	"provenance_contract_ok:4"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
"24"	"4"	"4"	"0"	"none"	"provenance_contract_ok:4"	"Preserve source-note/attribution rows; verify final placement and note proximity in render QA."
