claim_id	claim	location	source_ids	support_quality	prose_permission	blockers
CH3Q-001	Kaplan et al. studied language-model performance as a function of model size, dataset size, and compute, finding power-law-like trends over measured ranges.	manuscript/03-scaling-bet.md:The Curve Before The Product	S-0003	primary paper	Allowed qualitatively with source cue.	Do not add exact exponents or reproduce plotted values until extracted.
CH3Q-002	The chapter separates measured loss/performance claims from modeled extrapolation and industry interpretation.	manuscript/03-scaling-bet.md:What The Laws Measured	S-0003;S-0015	claim-control synthesis	Allowed as framing.	Do not present forecastable loss as forecastable truth, safety, or product success.
CH3Q-003	GPT-3 is used as a bounded example of a large autoregressive Transformer emphasizing in-context few-shot, one-shot, and zero-shot task behavior.	manuscript/03-scaling-bet.md:GPT-3 And The Shock Of Generality	S-0004	primary GPT-3 paper	Allowed as qualitative bridge.	Do not add parameter counts, benchmark values, or API/product claims without separate rows.
CH3Q-004	Hoffmann et al. argued that compute-optimal training requires balancing model size and training data, and that some large models had been undertrained relative to that compute-optimal perspective.	manuscript/03-scaling-bet.md:Chinchilla And The Data Rebalancing	S-0015	primary paper	Allowed qualitatively with source cue.	Do not state a universal token/parameter ratio or exact formula until extracted.
CH3Q-005	PaLM is used only as a bounded example of scaling-era infrastructure/model strategy inside Google, not as a full benchmark or product-history claim.	manuscript/03-scaling-bet.md:The PaLM Example	S-0016	primary PaLM paper	Allowed as limited institutional example.	Keep detailed Google/PaLM results for Chapter 9 unless separately audited.
CH3Q-006	The chapter treats emergence language as a temptation requiring exact benchmark and metric support before drawing threshold or cliff claims.	manuscript/03-scaling-bet.md:Emergence, Or The Temptation To Overread	S-0004;S-0003	negative-control prose tied to scaling/GPT-3 sources	Allowed as blocker language.	Do not add emergence threshold charts without a later source pack.
CH3Q-007	The chapter queues three visuals: loss-scaling schematic, compute/data/parameter triangle, and scaling-claim permission map.	manuscript/03-scaling-bet.md:The Chart The Chapter Needs	data/chapter3_scaling_chart_plan_i0094.tsv	local chart plan	Allowed as chart queue.	Do not increment chart count until actual assets and provenance rows exist.
CH3Q-008	The chapter's final limits section blocks claims that scaling automatically buys truth, provenance, safe tool use, human-like memory, data rights, cheap inference, physical infrastructure, or user trust.	manuscript/03-scaling-bet.md:What Scaling Did Not Buy	S-0003;S-0015;S-0004	negative-control synthesis	Allowed as guardrail.	Do not remove during polish unless equivalent limits remain visible.
CH3Q-009	The chapter frames training budget as a hypothesis about a point on a scaling curve while blocking direct business-model proof from the scaling-law papers.	manuscript/03-scaling-bet.md:The Budget Becomes A Hypothesis	S-0003	interpretive bridge from measured scaling to lab strategy	Allowed qualitatively.	Do not claim Kaplan proves revenue, product success, or safety outcomes.
CH3Q-010	The chapter treats data quantity, quality, mixture, deduplication, and contamination as scaling constraints while deferring dataset-specific evidence to Chapter 17.	manuscript/03-scaling-bet.md:Data Stops Being Background	S-0015	Chinchilla-based bridge plus explicit deferral	Allowed as conceptual bridge.	Do not add dataset-specific claims without separate sources.
CH3Q-011	The chapter treats GPT-3-style prompting and benchmark evaluation as measured artifacts whose results depend on task wording, examples, scoring, and contamination controls.	manuscript/03-scaling-bet.md:Evaluation Becomes Part Of The Race	S-0004	primary GPT-3 paper plus evaluation caution	Allowed qualitatively.	Do not add benchmark results or contamination claims beyond the caution without separate rows.
