pass_id	atlas_id	chapter_range	title	story_purpose	asset_count	atlas_svg	atlas_sha256	caption	blocked_claims	private_use_status
I-0298	ATLAS-01	CH01-CH05	Language Model Foundations	Tokens, attention, GPT lineage, scaling, and early benchmark context.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-01.svg	308cb59c0893f282b1c9096e42e624b0f1068f64a2190935fe7d2a9d92d113b7	Language Model Foundations. Tokens, attention, GPT lineage, scaling, and early benchmark context.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-02	CH06-CH08	Assistant Product Grammar	Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-02.svg	7cb08ba29075c8a90239780a403e18d1189e41eea938310e47f87372c892949d	Assistant Product Grammar. Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-03	CH09-CH13	Model Race And Benchmark Memory	Yearly landscape tables and model-race memory aids that do not claim live rank.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-03.svg	0a4d6d257c9b021e0417d734ce31eeb43739a4896a9232d45cff541245b56122	Model Race And Benchmark Memory. Yearly landscape tables and model-race memory aids that do not claim live rank.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-04	CH09-CH12	Labs, Open Weights, And Plural Frontier	Google, Meta, China, Anthropic, and open-model structure.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-04.svg	8b112fa6b1cdc8b980bea5ba1dfff7d09ef44ce5c5b5d5505a85861a42a8d26d	Labs, Open Weights, And Plural Frontier. Google, Meta, China, Anthropic, and open-model structure.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-05	CH14-CH16	Hardware, CUDA, And AI Factories	CUDA, accelerators, racks, networking, facilities, and token economics.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-05.svg	4964e27563ba6a568ee95b42646a3635f44d4a37fc61ffbb4a7acb4483efff50	Hardware, CUDA, And AI Factories. CUDA, accelerators, racks, networking, facilities, and token economics.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-06	CH16-CH18	Power, Data, And Token Supply Chains	Electricity, cooling, interconnection, data, tokenization, and retrieval diagrams.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-06.svg	5ccc0ebe5f32ef13c3fa32551133739cca0c0508ffa63e06173fbb56ad0af8f5	Power, Data, And Token Supply Chains. Electricity, cooling, interconnection, data, tokenization, and retrieval diagrams.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-07	CH18-CH21	Agents, Coding, And Tool Use	Tool use, coding benchmarks, repo loops, Claude Code, and software automation.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-07.svg	6f4e219d747b7ec03fefbb68a6b4a9d61925fd7db33be4606b5cc6345fe2c2ad	Agents, Coding, And Tool Use. Tool use, coding benchmarks, repo loops, Claude Code, and software automation.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-08	CH20-CH23	Economics, Trust, And Evaluation	Pricing, productivity blockers, safety boundaries, eval caveats, and trust diagrams.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-08.svg	f46168ee43c75dc38952cd46ffe172e7308e03c2d171702595ca1b546c146856	Economics, Trust, And Evaluation. Pricing, productivity blockers, safety boundaries, eval caveats, and trust diagrams.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-09	CH01-CH24	Source Cards And Claim Boundaries	Quote-safe cards, repair cards, and visual guardrails that keep evidence honest.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-09.svg	2f869c65595c590a2c020c2ae6404f90acf23db56c6e35886f1fa0b0bd62af58	Source Cards And Claim Boundaries. Quote-safe cards, repair cards, and visual guardrails that keep evidence honest.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
I-0298	ATLAS-10	CH01-CH24	Reader Memory Rails	Timelines, maps, network views, layout mockups, and chapter-spanning visual memory aids.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-10.svg	45f247de57a28476139757bd1701b0daf589c8b96e3b946e4704b5b74ee80f1a	Reader Memory Rails. Timelines, maps, network views, layout mockups, and chapter-spanning visual memory aids.	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.	private_use_chart_data_svg_atlas_pending_final_layout_review
