figure_id	chapter	old_asset_id	new_asset_id	manifest_asset_type	old_title	new_title	curation_reason
F06.02	CH06	A-0121	A-0260-004	source_excerpt_card_svg	ChatGPT Product Surface	Behavior became a written product spec	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F06.03	CH06	A-0122	A-0260-001	source_excerpt_card_svg	ChatGPT Plus Productization Surface	Paid access became a product surface	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F07.02	CH07	A-0036	A-0208	svg_source_card	ChatGPT launch surface	ChatGPT Starts As A Public Threshold. Paraphrase-first source card treats launch and...	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F07.03	CH07	A-0037	A-0260-001	source_excerpt_card_svg	ChatGPT Plus conversion	Paid access became a product surface	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F07.04	CH07	A-0038	A-0260-002	source_excerpt_card_svg	ChatGPT Enterprise launch surface	Enterprise ChatGPT added workplace controls	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F07.05	CH07	A-0039	A-0260-003	source_excerpt_card_svg	ChatGPT plugins surface	Release notes are product archaeology	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F09.05	CH09	A-0129	A-0260-009	source_excerpt_card_svg	Gemini/Bard Product Surface	Gemini arrived as a public product	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F10.04	CH10	A-0044	A-0260-012	source_excerpt_card_svg	LLaMA launch surface	LLaMA was a release artifact	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F10.05	CH10	A-0047	A-0260-013	source_excerpt_card_svg	Llama GitHub surface	Open weights became developer infrastructure	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F11.03	CH11	A-0048	A-0260-014	source_excerpt_card_svg	Qwen2 source surface	Qwen evidence starts with the paper	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F11.04	CH11	A-0049	A-0260-015	source_excerpt_card_svg	Qwen3 source surface	Qwen3 needs its own dated anchor	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F11.05	CH11	A-0050	A-0260-016	source_excerpt_card_svg	DeepSeek-R1 source surface	DeepSeek-R1 anchors reasoning claims	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F14.04	CH14	A-0133	A-0261-001	svg_repair_source_card	Lithography/ASML proxy physical texture.	Lithography Evidence Becomes Packaging Logic	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F14.05	CH14	A-0134	A-0261-002	svg_repair_source_card	Cleanroom manufacturing environment.	Cleanrooms Are Too Weak Without Rights	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F14.06	CH14	A-0136	A-0261-003	svg_repair_source_card	Server racks as compute infrastructure.	Racks Need Systems, Not Stock Photos	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F15.06	CH15	A-0004	A-0260-021	source_excerpt_card_svg	NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue.	AI factories are source-actor framing	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F15.07	CH15	A-0106	A-0260-022	source_excerpt_card_svg	NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric.	Inference compute is a roadmap argument	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F16.06	CH16	A-0137	A-0260-025	source_excerpt_card_svg	Data-center hall physical texture.	DSX is a reference-design claim	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F16.07	CH16	A-0139	A-0261-004	svg_repair_source_card	Grid interconnection texture.	Interconnection Is A Queue, Not Atmosphere	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F16.08	CH16	A-0141	A-0261-005	svg_repair_source_card	Gas turbine speed-to-power texture.	Fast Power Is A Constraint Stack	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F16.09	CH16	A-0143	A-0261-006	svg_repair_source_card	Nuclear/cooling tower power texture.	Nuclear Evidence Needs Specific Claims	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F18.05	CH18	A-0124	A-0260-003	source_excerpt_card_svg	ChatGPT Tool Surface	Release notes are product archaeology	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F19.05	CH19	A-0127	A-0260-020	source_excerpt_card_svg	GitHub Copilot Coding Surface	Copilot entered as pair-programming rhetoric	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
F20.05	CH20	A-0131	A-0260-019	source_excerpt_card_svg	Claude Code Surface	Claude Code turned coding into an agent surface	Replace weak screenshot/photo/source-surface placeholder language with a curated source-card/original-card callout.
