candidate_id	supply_chain_layer	source_ids	official_surface	image_candidate	chapter_targets	source_role	allowed_caption	blocked_claims	rights_status	priority	next_action
SUPPLY-IMG-001	EUV lithography	S-0218	ASML EUV lithography systems page	ASML NXE/EXE scanner product image	14;16	manufacturing bottleneck texture	ASML's EUV systems can visually establish that frontier AI chips depend on rare, room-sized lithography equipment upstream of the accelerator.	Do not claim exact node eligibility, machine price, customer allocation, output capacity, export outcome, or AI-chip volume from the image.	official company image; permission/license review needed	highest	capture source page metadata and choose one scanner image for source-surface card or redraw.
SUPPLY-IMG-002	High-NA EUV roadmap	S-0219	ASML TWINSCAN EXE:5000 product page	High-NA EXE scanner product image	14	advanced-node future/roadmap context	ASML framed High-NA EUV as a next-generation lithography system for advanced logic and memory.	Do not write High-NA as already required for any specific LLM accelerator or as delivered capacity by cutoff without corroboration.	official company image; permission/license review needed	medium	use only if Chapter 14 needs future manufacturing texture.
SUPPLY-IMG-003	Foundry / advanced packaging	S-0220	TSMC 3DFabric HPC page	CoWoS / 3DFabric process graphic	14;16	advanced packaging bottleneck	TSMC presents CoWoS as an advanced packaging service for heterogeneous integration used in HPC-style systems.	Do not infer NVIDIA/AMD allocation, monthly capacity, wafer starts, yield, customer priority, or price from the page.	official company image/diagram; permission/license review needed	highest	prefer redrawn process schematic with TSMC attribution.
SUPPLY-IMG-004	Foundry annual-report context	S-0221	TSMC annual report chapter / advanced packaging discussion	annual-report chart or text excerpt card	14;16	source-excerpt candidate	TSMC annual reporting can ground the claim that advanced packaging became strategically important to AI-chip supply.	Do not quote long report passages or infer exact customer shares, capacity, or bottleneck severity beyond stated report language.	public company filing/report; quote-limit review needed	high	extract one short excerpt or redraw a simple packaging lane.
SUPPLY-IMG-005	HBM supplier	S-0222	SK hynix HBM3E production newsroom page	HBM stack/product image or source-excerpt card	14	HBM as accelerator memory constraint	SK hynix positioned HBM3E as high-performance memory for AI systems and announced production/customer-shipment milestones before the cutoff.	Do not infer NVIDIA allocation, total market share, supply sufficiency, price, yield, or downstream accelerator availability.	official company newsroom; permission/license review needed	high	capture image/provenance and keep production wording source-attributed.
SUPPLY-IMG-006	HBM supplier	S-0223	Samsung HBM3E product page	HBM3E product image	14;22	memory supplier diversity	Samsung's HBM3E surface can show HBM as a visible product category tied to AI/data-center accelerators.	Do not claim design wins, qualification status, Nvidia supply, performance leadership, price, yield, or availability from product art.	official company image; permission/license review needed	medium	use as secondary HBM supplier row if final visual needs supplier plurality.
SUPPLY-IMG-007	HBM supplier	S-0224	Micron HBM3E product page	HBM3E product image or product-brief excerpt	14	memory bandwidth/capacity texture	Micron's HBM3E page can visually connect stacked memory to AI accelerator design pressure.	Do not claim exact cross-vendor rank, customer adoption, supply volume, pricing, qualification, or future HBM4 status from the page.	official company image; permission/license review needed	medium	use as tertiary HBM supplier row or source-excerpt option.
SUPPLY-IMG-008	Package substrates	S-0225	IBIDEN IC package substrate page	IC package substrate image	14;16	substrate/interposer physical texture	IBIDEN's package-substrate surface can make the "chip" visibly dependent on boards, substrates, and package materials.	Do not infer AI-server allocation, capacity, customer contracts, shortage severity, pricing, yield, or Nvidia/AMD exposure from the product image.	official company image; permission/license review needed	high	pair with CoWoS row in a chip-to-package ladder.
SUPPLY-IMG-009	Advanced packaging / OSAT	S-0226	Amkor AI / advanced packaging page	2.5D/chiplet/HBM package diagram	14;16	packaging ecosystem context	Amkor's AI packaging page can show why accelerators combine logic, memory, and interconnect in advanced packages.	Do not claim Amkor participates in specific CoWoS flows, customer allocations, package volumes, or U.S. reshoring outcomes without source-specific evidence.	official company image/diagram; permission/license review needed	medium	use as an OSAT/context lane, not a TSMC substitute.
SUPPLY-IMG-010	Export controls	S-0227	BIS clarification press release	typographic source-excerpt card	11;14	context-only policy constraint	BIS export-control documents can explain why advanced computing chips and semiconductor-manufacturing equipment became policy-constrained inputs to the LLM race.	Do not make legal advice, effectiveness claims, smuggling prevalence claims, or country capability claims from a press release alone.	U.S. government source; public-domain likely but verify	high	use only as a short policy-context card beside China/hardware prose.
