"qa_id"	"chapter"	"asset_id"	"planned_slot"	"experience_class"	"final_role"	"current_caption"	"teach_one_thing"	"provenance_hook"	"claim_safety_gate"	"caption_next_action"
"I0216-CAP-001"	"1"	"A-0068"	"Ch01-01"	"scene"	"opener chronology"	"Figure 1.1 - ChatGPT Shock Chronology. Launch and early adoption evidence are split into distinct metric/source lanes with blocked headline claims."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Chapter 1 ChatGPT shock chronology / S-0006;S-0092;S-0098;S-0102 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-002"	"1"	"A-0069"	"Ch01-02"	"mechanism"	"mechanism bridge"	"Figure 1.2 - From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 1 token-to-answer schematic / S-0043;S-0004;S-0005;S-0014;S-0006 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-003"	"1"	"A-0070"	"Ch01-03"	"scene"	"local response texture"	"Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Chapter 1 institutional response chronology / S-0093;S-0094;S-0096;S-0097 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-004"	"2"	"A-0115"	"Ch02-01"	"mechanism"	"pre-Transformer pressure chain"	"Figure 2.x - The Bottleneck Before The Breakthrough. The diagram shows technical pressures that made attention and Transformer blocks useful; it is not a complete NLP history or priority claim."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 2 pre-Transformer bottleneck map / S-0104;S-0105;S-0106;S-0107;S-0002;C-0115;CH2Q-001 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-005"	"3"	"A-0116"	"Ch03-01"	"mechanism"	"self-attention mechanism"	"Figure 3.x - Attention Is A Mixing Operation, Not A Mind. Self-attention routes information among token positions, but it does not prove intention, truth, grounding, faithful explanation, or modern LLM implementation details."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 3 self-attention information-flow schematic / S-0002;S-0108;CH2Q-002;CH2Q-003;CH2Q-004;CH2Q-005;CH2Q-006;CH2Q-011 / 2026-05-26"	"caption_long"	"Compress caption body and move caveats to a nearby source note or footnote."
"I0216-CAP-006"	"4"	"A-0117"	"Ch04-01"	"evidence"	"scaling evidence lanes"	"Figure 4.x - Loss Is A Map, Not A Product Guarantee. Scaling evidence can support measured loss and compute/data/model tradeoffs, but not automatic truth, safety, product success, or emergence thresholds."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 4 scaling evidence-lane chart / S-0003;S-0015;S-0004;S-0016;CH3Q-001;CH3Q-002;CH3Q-003;CH3Q-004;CH3Q-006;CH3Q-008 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-007"	"5"	"A-0010"	"Ch05-01"	"mechanism"	"GPT lineage anchor"	"Figure 5.1 - From Pretraining To The Cursor. Sourced visual table for GPT-1, GPT-2, GPT-3, OpenAI API, Codex, and GitHub Copilot with row-level caveats."	"Teach the mechanism or system relationship in one sentence."	"Generated GPT lineage visual table / 2026-05-24"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-008"	"6"	"A-0011"	"Ch06-01"	"mechanism"	"alignment mechanism"	"Figure 6.1 - Alignment As A Product Stack. Sourced diagram for pretraining, demonstrations, preference comparisons, reward model, RL optimization, Constitutional AI/RLAIF branch, behavior specification, red-team/eval loop, and assistant behavior caveats."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated RLHF and alignment pipeline visual / 2026-05-25"	"caption_long;rights_or_private_use_cue_required"	"Compress caption body and move caveats to a nearby source note or footnote."
"I0216-CAP-009"	"6"	"A-0121"	"Ch06-02"	"source_texture"	"ChatGPT product surface"	"Figure 6.x - ChatGPT Product Surface. Private-use screenshot slot for the public assistant launch surface as source-attributed product texture."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"ChatGPT launch product source surface / S-0006 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-010"	"6"	"A-0122"	"Ch06-03"	"source_texture"	"Plus productization surface"	"Figure 6.x - ChatGPT Plus Productization Surface. Private-use screenshot slot for the paid-product bridge."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"ChatGPT Plus announcement source surface / S-0078;S-0089 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
