pass_id	figure_index	classes	old_caption	new_caption	changed
I-0314	1	book-figure;embedded-visual;real_world_source_image	OpenAI Platform Became A Public Product Surface. OpenAI Platform public-web screenshot used as reader-facing product texture for the ChatGPT shock opening.	OpenAI Platform Became A Public Product Surface, shown as a public web page.	yes
I-0314	2	book-figure;embedded-visual;svg_diagram	From Prompt to Answer, One Token at a Time. Human text becomes tokens, context, next-token predictions, and generated answer. source context are recorded in the endnotes.	From Prompt to Answer, One Token at a Time.	yes
I-0314	3	book-figure;embedded-visual;svg_diagram	First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples. source context are recorded in the endnotes.	First Institutional Response Chronology.	yes
I-0314	4	atlas-figure;svg_diagram	Chapter 1 ChatGPT shock chronology. curated_chart_data_svg_visualization. Source: source table.tsv.	Chapter 1 ChatGPT shock chronology.	yes
I-0314	5	atlas-figure;person_image	Satya Nadella. person_image. Source: https://news.microsoft.com/exec/satya-nadella/.	Satya Nadella.	yes
I-0314	6	book-figure;embedded-visual;source_surface_paper_report_excerpt	Transformer Paper Page As The Breakthrough Surface. Attention Is All You Need page-one render anchors the Transformer breakthrough as a primary source surface; it.	Transformer Paper Page As The Breakthrough Surface, shown as a paper or report page.	yes
I-0314	7	atlas-figure;logo	Jupyter. logo. Source: https://simpleicons.org/.	Jupyter logo.	yes
I-0314	8	atlas-figure;logo	NumPy. logo. Source: https://simpleicons.org/.	NumPy logo.	yes
I-0314	9	atlas-figure;logo	SciPy. logo. Source: https://simpleicons.org/.	SciPy logo.	yes
I-0314	10	atlas-figure;person_image	Geoffrey Hinton. person_image. Source: https://en.wikipedia.org/wiki/Geoffrey_Hinton.	Geoffrey Hinton.	yes
I-0314	11	atlas-figure;person_image	Yoshua Bengio. person_image. Source: https://mila.quebec/en/person/yoshua-bengio/.	Yoshua Bengio.	yes
I-0314	12	atlas-figure;person_image	Andrew Ng. person_image. Source: https://www.andrewng.org/.	Andrew Ng.	yes
I-0314	13	atlas-figure;person_image	Christopher Manning. person_image. Source: https://nlp.stanford.edu/~manning/.	Christopher Manning.	yes
I-0314	14	book-figure;embedded-visual;source_surface_paper_report_excerpt	BERT Page As Bidirectional Transformer Lineage. BERT page-one render supplies masked-language-model lineage texture for the attention chapter; it does not make BERT a generative chatbot or prove later LLM behavior.	BERT Page As Bidirectional Transformer Lineage, shown as a paper or report page.	yes
I-0314	15	atlas-figure;source_image	NVIDIA Blackwell. real_photo_screenshot_source_image. Source: https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/.	NVIDIA Blackwell, shown as a public web page.	yes
I-0314	16	atlas-figure;person_image	Oriol Vinyals. person_image. Source: https://en.wikipedia.org/wiki/Oriol_Vinyals.	Oriol Vinyals.	yes
I-0314	17	atlas-figure;person_image	Ashish Vaswani. person_image. Source: https://en.wikipedia.org/wiki/Ashish_Vaswani.	Ashish Vaswani.	yes
I-0314	18	atlas-figure;person_image	Noam Shazeer. person_image. Source: https://en.wikipedia.org/wiki/Noam_Shazeer.	Noam Shazeer.	yes
I-0314	19	atlas-figure;person_image	Aidan Gomez. person_image. Source: https://cohere.com/researchers/aidan-gomez.	Aidan Gomez.	yes
I-0314	20	book-figure;embedded-visual;source_surface_paper_report_excerpt	Scaling Laws Page As Loss-Compute Evidence. Scaling Laws for Neural Language Models page-one render grounds the scaling chapter in measured loss, model, data, and compute tradeoffs; it.	Scaling Laws Page As Loss-Compute Evidence, shown as a paper or report page.	yes
