claim_family	status	primary_sources	local_assets	allowed_prose	blocked_inference	next_evidence_action	used_in
constitutional_ai	supported	S-0019	assets/source_docs/anthropic/S-0019_constitutional-ai-arxiv-abs.html	Anthropic's Constitutional AI work may be described as using written principles, model-generated critique/revision, and AI feedback as part of assistant-behavior training.	Solved alignment, moral guarantee, human-judgment replacement, or proof that Claude is safer in deployed use.	Extract quote-safe rows from the paper before reproducing principle lists, method details, or exact experimental claims.	manuscript/06-alignment-enters-product.md;manuscript/12-anthropic-and-claude-spine-section.md
claude_3_family	supported	S-0020;S-0110	assets/source_docs/anthropic/S-0020_claude-3-family.html;assets/source_docs/anthropic/S-0110_claude-3-model-card.pdf	Claude 3 may be framed as a tiered Opus/Sonnet/Haiku family with official launch and model-card safety/evaluation context.	Permanent best-model claims, exact benchmark superiority, vision as image-generation history, or complete safety assurance.	Extract model-card rows into table form before final captions or quantitative safety/evaluation prose.	manuscript/12-anthropic-and-claude-spine-section.md
claude_3_5_sonnet	supported	S-0021	assets/source_docs/anthropic/S-0021_claude-3-5-sonnet.html	Claude 3.5 Sonnet may be used for June 2024 chronology and vendor-attributed qualitative positioning around intelligence, speed, cost, vision, coding, and availability.	Exact price/context comparison, live rank, neutral superiority, or customer productivity claims.	Pair with normalized pricing rows and independent benchmark snapshots before charting comparisons.	manuscript/12-anthropic-and-claude-spine-section.md
computer_use	supported_with_caveat	S-0109	assets/source_docs/anthropic/S-0109_claude-3-5-computer-use.html	Computer use may be framed as Anthropic's October 2024 public-beta move from chat toward UI/tool action surfaces.	General autonomy, safe real-world control, task-success rates, customer productivity, or browser-agent reliability claims.	Split UI-action examples from safety/evaluation claims and add independent agent-evaluation sources before quantitative prose.	manuscript/12-anthropic-and-claude-spine-section.md
claude_3_7_and_claude_code	supported_with_caveat	S-0048;S-0022	assets/source_docs/anthropic/S-0048_claude-3-7-sonnet-claude-code.html;assets/source_docs/anthropic/S-0022_claude-code-overview.html	Claude 3.7 Sonnet and Claude Code may be described as a February 2025 hybrid-reasoning and terminal-based agentic coding launch pair.	Customer anecdotes, productivity outcomes, benchmark superiority, adoption scale, or exact command defaults without row extraction.	Extract launch-page product claims separately from customer/internal-use anecdotes; link to Chapter 20 workflow rows.	manuscript/12-anthropic-and-claude-spine-section.md;manuscript/20-claude-code-industrialized-pair-programming.md
claude_code_workflow	supported	S-0022;S-0049;S-0050;S-0051	assets/source_docs/anthropic/S-0022_claude-code-overview.html;assets/source_docs/coding_agents/S-0049_claude-code-best-practices.html;assets/source_docs/coding_agents/S-0050_claude-code-security.html;assets/source_docs/coding_agents/S-0051_claude-code-common-workflows.html	Claude Code may be framed as repository-work tooling involving context management, permissions, file edits, command execution, tests, and human review.	Exact settings/defaults beyond captured rows, universal safety, enterprise compliance, deployed productivity, or replacement of developer accountability.	Capture settings/permissions docs and extract quote-safe command/default rows before final prose or screenshots.	manuscript/20-claude-code-industrialized-pair-programming.md
claude_4_models	needs_extraction	S-0007	assets/source_docs/anthropic/S-0007_claude-4.html	Claude 4 may be described as Anthropic's May 2025 vendor-attributed positioning around coding, reasoning, agents, extended thinking with tool use, parallel tools, and instruction following.	Exact SWE-bench Verified/Terminal-bench numbers, best-coding-model claims, memory-like local-file claims as general memory, or neutral superiority.	Extract benchmark table, scaffold conditions, tool-use claims, and availability wording into row-level evidence before charting.	manuscript/12-anthropic-and-claude-spine-section.md;manuscript/20-claude-code-industrialized-pair-programming.md
mcp_protocol	supported_with_caveat	S-0055	assets/source_docs/anthropic/S-0055_model-context-protocol.html	MCP may be described as Anthropic's November 2024 open-standard framing for connecting assistants to tools and data sources.	Universal standard, neutral ecosystem adoption, security guarantee, or proof that all agent systems converged on MCP.	Add external ecosystem adoption rows and security-analysis rows before broad standardization claims.	manuscript/12-anthropic-and-claude-spine-section.md;manuscript/20-claude-code-industrialized-pair-programming.md
pricing_context_windows	needs_normalization	S-0060;C-0046	data/source_snapshots/2026-05-24;data/provider_pricing_rows_i0026.tsv	Claude pricing/context-window material may appear only as caveated, normalized provider data when paired with exact date, tier, cache/batch semantics, and same-scope comparison rows.	Price-quality frontier, cheapest/best claims, live provider rank, or flattening cache/batch/tier differences.	Reuse provider-pricing normalization and add cutoff-status fields before any Claude price or context chart.	manuscript/13-model-rankings-appendix.md;manuscript/12-anthropic-and-claude-spine-section.md
benchmark_results	blocked_until_extracted	S-0007;S-0035;S-0037;C-0013	assets/source_docs/anthropic/S-0007_claude-4.html;assets/source_docs/coding_agents/S-0035_swe-bench-arxiv-abs.html;assets/source_docs/coding_agents/S-0037_livecodebench-arxiv-abs.html	The book may say Anthropic used benchmark evidence as part of Claude 4 positioning and may explain benchmark families as evaluation lenses.	Exact benchmark numbers, best-model claims, raw-model superiority, deployed productivity, or live leaderboard inference.	Extract version, harness, scaffold, tool permissions, sample budget, date, and model-vs-agent-system boundary before any numeric chart.	manuscript/20-claude-code-industrialized-pair-programming.md;manuscript/20-coding-agent-visual-package-i0108.md
adoption_productivity_enterprise	blocked	S-0048;S-0050;C-0013	assets/source_docs/anthropic/S-0048_claude-3-7-sonnet-claude-code.html;assets/source_docs/coding_agents/S-0050_claude-code-security.html	Vendor product launch and docs may support product existence, permission framing, and workflow categories.	Customer productivity, daily use, revenue, enterprise adoption, replacement, compliance outcomes, or organizational ROI.	Require customer-side or independent evidence with population, task, timeframe, baseline, review cost, defect rate, and maintenance burden.	manuscript/12-anthropic-and-claude-spine-section.md;manuscript/20-claude-code-industrialized-pair-programming.md
