pass_id	placement_rank	figure_id	chapter	chapter_anchor	asset_id	asset_type	figure_title	candidate_kind	placement_decision	source_ids	source_media_candidate	manifest_file_path	local_media_status	diversity_role	story_fit_note	quality_note	rights_gate	publication_status	next_action
I-0243	01	F06.02	CH06	ch06-fig02	A-0121	screenshot_slot	ChatGPT Product Surface	product_surface	selected_candidate_callout	S-0006		assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png	capture still required	first ChatGPT product surface	anchors the text in the moment when a model became a daily product rather than an abstract benchmark	needs fresh capture with readable interface chrome and no private account data	capture from public OpenAI surface or replace with self-made facsimile after terms review	blocked_candidate	capture current public ChatGPT surface and log UI date, browser, account state, and crop
I-0243	02	F06.03	CH06	ch06-fig03	A-0122	screenshot_slot	ChatGPT Plus Productization Surface	product_surface	selected_candidate_callout	S-0078;S-0089		assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png	capture still required	subscription productization surface	shows the conversion layer that turned usage pressure into recurring revenue	best as tight page render around plan language, not as a generic homepage	public page capture requires terms and attribution review	blocked_candidate	capture pricing or launch source surface and connect to revenue wording in caption
I-0243	03	F07.02	CH07	ch07-fig02	A-0036	screenshot_slot	ChatGPT launch surface	launch_page	selected_candidate_callout	S-0006		assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png	capture still required	ChatGPT launch artifact	places the adoption shock beside the original public announcement surface	use archival or current source page render with date visible where possible	needs source-page capture provenance and fair-use/permission decision	blocked_candidate	locate stable launch-page capture or archive image and record source URL and access date
I-0243	04	F07.04	CH07	ch07-fig04	A-0038	screenshot_slot	ChatGPT Enterprise launch surface	launch_page	selected_candidate_callout	S-0079		assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png	capture still required	enterprise packaging surface	bridges consumer virality to procurement and workplace distribution	needs a page crop that makes enterprise positioning legible	public page capture requires rights review and no implied endorsement	blocked_candidate	capture enterprise announcement surface and tie caption to product-market shift
I-0243	05	F07.05	CH07	ch07-fig05	A-0039	screenshot_slot	ChatGPT plugins surface	product_surface	selected_candidate_callout	S-0044		assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png	capture still required	plugin ecosystem surface	visualizes the first tool-market framing of ChatGPT as a platform	prefer official page or archived screenshot over third-party commentary	needs capture source, terms review, and caption restraint	blocked_candidate	source official plugins page image or archival capture and log blocker if unavailable
I-0243	06	F09.05	CH09	ch09-fig05	A-0129	screenshot_slot	Gemini/Bard Product Surface	launch_page	selected_candidate_callout	S-0119;S-0121;S-0123;S-0124	S-0292	assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png	source-media ledger candidate	Google Gemini/Bard surface	shows the incumbent-search response as a product and brand surface	local source-media page exists but still needs rendered image crop	rights and attribution pending for captured Google page	blocked_candidate	render captured source page to image and crop around model/product positioning
I-0243	07	F10.04	CH10	ch10-fig04	A-0044	screenshot_slot	LLaMA launch surface	launch_page	selected_candidate_callout	S-0111	S-0293	assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png	source-media ledger candidate	Meta open-model launch surface	contrasts closed frontier launches with the open-weight distribution move	local source-media capture exists; needs page render and legibility check	rights and attribution pending for Meta page surface	blocked_candidate	render captured Meta announcement and crop around release claim and model name
I-0243	08	F10.05	CH10	ch10-fig05	A-0047	screenshot_slot	Llama GitHub surface	source_repository	selected_candidate_callout	S-0114		assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png	capture still required	GitHub distribution surface	makes open-model release mechanics tangible through repository infrastructure	needs current repository screenshot with commit/release context if used	GitHub UI and repository license review required	blocked_candidate	capture repository or release page and record repo license plus UI terms
I-0243	09	F11.03	CH11	ch11-fig03	A-0048	source_screenshot_slot	Qwen2 source surface	source_page	selected_candidate_callout	S-0026		assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png	capture still required	Qwen2 source surface	adds China/open-model competition to the visual field without relying on charts alone	needs source capture with model identity and release context readable	source-page permission and attribution pending	blocked_candidate	capture official Qwen2 page or repository and add provenance row if missing
I-0243	10	F11.04	CH11	ch11-fig04	A-0049	source_screenshot_slot	Qwen3 source surface	source_page	selected_candidate_callout	S-0027		assets/private_use_screenshots/i0112/A-0049_qwen3_arxiv_abs.png	capture still required	Qwen3 source surface	updates the competition arc from one release to a continuing model line	needs a second Qwen surface that is not visually redundant with F11.03	source-page permission and attribution pending	blocked_candidate	capture official Qwen3 release surface and compare against F11.03 for redundancy
I-0243	11	F11.05	CH11	ch11-fig05	A-0050	source_screenshot_slot	DeepSeek-R1 source surface	paper_or_source_page	selected_candidate_callout	S-0029	S-0294;S-0305	assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png	source-media ledger candidate	DeepSeek paper/source surface	turns the efficiency-price shock into a visible research and company artifact	local PDF/home capture exists; choose paper first page or official page after legibility test	arXiv/public-page use and caption wording need review	blocked_candidate	render first page or source page and connect caption only to audited claims
I-0243	12	F12.05	CH12	ch12-fig05	A-0119	screenshot_slot	Computer Use Source Surface	demo_surface	selected_candidate_callout	S-0109		assets/private_use_screenshots/i0148/A-0119_claude_computer_use_announcement.png	capture still required	computer-use demo surface	grounds the agency chapter in a concrete interface-taking-action artifact	needs source crop that shows task context without overclaiming autonomy	demo screenshot permission and safety-context caption review pending	blocked_candidate	capture official computer-use page or video still and log whether video rights differ
I-0243	13	F12.06	CH12	ch12-fig06	A-0130	screenshot_slot	Claude Product Surface	product_surface	selected_candidate_callout	S-0007;S-0245	S-0291	assets/private_use_screenshots/i0180/A-0130_claude_product_surface.png	source-media ledger candidate	Claude product surface	adds a visible alternative assistant surface in the agent/product chapter	local Claude news page exists; may need separate product UI capture for better specificity	Anthropic page capture rights and attribution pending	blocked_candidate	render source page and decide whether product UI or launch page better serves the caption
