page	category	llm_relevance	chart_or_diagram_signal	mining_decision	notes
1	blank_or_title	none	none	exclude	No extractable LLM-relevant chart text.
2	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
3	title	low	title_only	exclude	Only 2026 title text extracted.
4	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
5	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
6	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
7	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
8	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
9	graphics_product	none	product_announcement	exclude	DLSS 5 and neural rendering are outside the LLM-specific spine.
10	data_enterprise	medium	market_size_claim	reserve	Structured-data ecosystem framing may support data chapter only with Gartner verification.
11	data_enterprise	medium	data_growth_claim	reserve	Unstructured-data growth framing may support data chapter only with IDC verification.
12	partner_case_study	medium	bar_chart_and_stack	reserve	IBM/Nestle data-processing case has chart texture but partner cost/time claims need independent handling.
13	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
14	partner_case_study	low	bar_chart_and_stack	exclude	Dell/NTT data-processing case is enterprise-data context, not core GTC thesis.
15	partner_case_study	low	bar_chart_and_platform	exclude	Google Cloud/Snap data-processing case risks customer/productivity overclaiming.
16	cloud_platform_map	medium	ecosystem_map	reserve	Google Cloud AI Hypercomputer/NVIDIA platform map can be context if trimmed to LLM infrastructure.
17	cloud_platform_map	low	ecosystem_map	exclude	AWS platform integration map is broad cloud catalog rather than a thesis chart.
18	cloud_platform_map	low	ecosystem_map	exclude	Microsoft/Azure platform integration map is broad catalog; use only if OpenAI/Microsoft chapter needs support.
19	cloud_platform_map	low	ecosystem_map	exclude	Oracle platform map is broad catalog and not central to LLM thesis.
20	cloud_platform_map	low	ecosystem_map	exclude	CoreWeave platform map is potentially useful context but lower than AI-factory thesis pages.
21	enterprise_platform_map	low	ecosystem_map	exclude	Dell software/platform map is too vendor-specific for main GTC sequence.
22	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
23	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
24	platform_ecosystem	high	ecosystem_map	reserve	NVIDIA AI Platform map spans inference, agents, model builders, and verticals; trim robotics/physical AI.
25	inference_thesis	high	thesis_chart	core_candidate	Inference inflection and 10000X ChatGPT compute are thesis-relevant but require exact context and corroboration.
26	inference_growth	medium	thesis_slide	reserve	Strong-growth framing is useful only as NVIDIA narrative, not independent market proof.
27	token_cost_economics	high	scatter_or_axis_chart	core_candidate	Token cost and tokens-per-watt charts directly link inference, interactivity, and factory revenue; exact axes needed.
28	inference_endpoint_claim	medium	logo_or_claim_slide	reserve	Endpoint standard claim requires independent provider confirmation before any prose.
29	ai_factory_thesis	highest	thesis_slide	core_candidate	Strongest single source surface for NVIDIA's AI-factory argument.
30	blank_or_transition	none	none	exclude	No extractable LLM-relevant chart text.
31	inference_economics	medium	section_title	reserve	Section divider for pages 32-41.
32	token_economics	high	scatter_or_bubble_chart	core_candidate	Best chart for throughput per MW, interactivity tiers, and model classes; requires value extraction.
33	token_economics_build	medium	scatter_or_bubble_chart	reserve	Build step duplicates page 32 with fewer final elements.
34	token_economics_build	medium	scatter_or_bubble_chart	reserve	Build step duplicates page 32/36 and adds Blackwell/Hopper comparison.
35	token_economics_build	medium	scatter_or_bubble_chart	reserve	Build step duplicates final economics sequence.
