pass_id	chapter	title	date_span	lane	timeline_1	timeline_2	timeline_3	cutoff_note	source_ids
I-0316	01	The Transformer Arrives: Attention Becomes the Engine	2017	Architecture	June 2017: self-attention becomes the center of the machine	2018: bidirectional Transformer pretraining broadens the pattern	2020: the same engine is ready for scale	The chapter stays with pre-ChatGPT architecture.	S-0002;S-0108
I-0316	02	The Sequence Problem: The Road Into Attention	pre-2017	Prehistory	1950s-1990s: statistical language modeling learns to count sequences	2013-2015: embeddings and seq2seq make words and sentences comparable	2014-2016: early attention shows where recurrence strains	The chapter is a compact prehistory, not a detour after ChatGPT.	S-0104;S-0105;S-0106;S-0107
I-0316	03	Scaling Laws: The Bet Becomes Measurable	2020	Measurement	January 2020: scaling laws turn size into a measured bet	2020: loss, compute, data, and parameters become a planning language	2022: compute-optimal training complicates the simple bigger-is-better story	Later model claims remain tied to their source dates.	S-0003;S-0015
I-0316	04	GPT-1 to GPT-3: Pretraining Opens the Door	2018-2021	Pretraining	2018: GPT-1 tests generative pretraining	2019: GPT-2 makes release strategy part of the story	2020-2021: GPT-3, API access, and Codex turn models into a platform	The chapter ends before ChatGPT's public launch.	S-0011;S-0012;S-0013;S-0004;S-0069;S-0070
I-0316	05	Instruction Tuning and RLHF: Alignment Enters the Product	2021-2022	Assistant behavior	2021: human-preference methods move closer to language products	2022: InstructGPT shows why a model can feel more helpful	2022: system behavior becomes a product discipline	The chapter treats alignment as product shaping, not as solved safety.	S-0014;S-0073;S-0074;S-0075
I-0316	06	The ChatGPT Shock: The Interface Goes Public	November-December 2022	Public interface	November 30, 2022: ChatGPT is introduced	December 2022: the text box becomes the public symbol	Early 2023: the industry response accelerates	ChatGPT is a turning point after the technical runway.	S-0006;S-0078
I-0316	07	ChatGPT Becomes the Product Surface	2022-2023	Productization	2023: Plus and Enterprise turn the interface into tiers	2023: plugins and GPTs test tool and platform surfaces	2024: GPT-4o broadens the ChatGPT interface story	Mutable product pages are handled as dated snapshots, not live claims.	S-0044;S-0045;S-0046;S-0078;S-0079
I-0316	08	Microsoft, OpenAI, and the Cloud Bargain	2019-2024	Cloud and capital	2019: Microsoft and OpenAI formalize a compute partnership	2020: Azure supercomputing becomes part of the model story	2023-2024: Copilot and enterprise packaging push the stack outward	Partnership chronology does not prove hidden terms or outcomes.	S-0041;S-0047
I-0316	09	Google and DeepMind Wake the Sleeping Giant	2022-2025	Incumbent response	2022: LaMDA/Bard pressure becomes visible	2023: Gemini arrives as the consolidated answer	2024-2025: long context and model cards frame the response	Google and DeepMind claims stay anchored to public reports and model cards.	S-0009;S-0016;S-0017;S-0018
I-0316	10	Meta, Llama, and the Open-Weight Shock	2023-2025	Open weights	2023: Llama turns weights into a strategic question	2023-2024: Llama 2 and Llama 3 widen the open-weight field	2025: Llama 4 extends the family before the cutoff	Open-weight does not automatically mean unrestricted or best.	S-0008;S-0023;S-0024
I-0316	11	Anthropic, Claude, and the Plural Frontier	2023-2025	Frontier pluralism	2023: Constitutional AI becomes part of Anthropic's public identity	2024: Claude 3 and 3.5 shift the frontier conversation	2025: Claude 4 enters the pre-cutoff race	Product claims stay tied to Anthropic's published wording.	S-0007;S-0019;S-0020;S-0021
I-0316	12	The Chinese Frontier	2023-2026	China and open models	2023-2024: Qwen, GLM, Kimi, and Mistral widen the frontier map	2024-2025: DeepSeek changes the efficiency and reasoning conversation	Through May 2026: the field remains a moving source-snapshot problem	No post-cutoff Chinese-model releases are treated as happened history.	S-0026;S-0027;S-0028;S-0029;S-0030;S-0031;S-0032;S-0033
I-0316	13	Benchmarks, Arenas, and the Mirage of Rank	2023-2026	Evaluation	2023: model cards and public benchmarks become market language	2024: arenas and code benchmarks reshape comparison	2026: cutoff snapshots matter more than live rank	Leaderboards are historical snapshots, not permanent standings.	S-0035;S-0036;S-0037;S-0056;S-0057;S-0080
