pass_id	check_id	category	result	evidence	recommended_action
I-0299	I0299-001	source_html_exists	pass	source_html=rendered/full_book_i0295/Next-Token-expanded-private-visual-i0295.html	No action required for this automated check.
I-0299	I0299-002	pdf_render_exists	pass	pdf=rendered/full_book_i0299/Next-Token-expanded-private-visual-i0299.pdf; bytes=76476478	No action required for this automated check.
I-0299	I0299-003	goal_target_counts	pass	curated_chart_data_svg_visualization=100/100; real_photo_screenshot_source_image=50/50; paper_report_excerpt=25/25; pdf_deck_report_page=25/25; model_card_hf_benchmark_repo_docs_surface=20/20; logo=50/50; benchmark_table=10/10; person_image=30/30	No action required for this automated check.
I-0299	I0299-004	authored_board_inventory	pass	boards={'logo_people_strip': 11, 'source_surface_gallery': 10, 'chart_data_svg_atlas': 10}	No action required for this automated check.
I-0299	I0299-005	html_visual_density	pass	html_img=530; required>=530	No action required for this automated check.
I-0299	I0299-006	pdf_visual_objects	pass	images=330; drawings=4946	No action required for this automated check.
I-0299	I0299-007	blank_pages	pass	blank_like=0; pages=667	No action required for this automated check.
I-0299	I0299-008	caption_source_labels	pass	label_spans=1232; effective_min_label_font=5.70; raw_min_label_font=0.61	No action required for this automated check.
I-0299	I0299-009	provenance_complete	pass	expanded_300_exhibits missing_source=0 missing_blocked=0; authored_board_items missing_source=0 missing_blocked=0	No action required for this automated check.
I-0299	I0299-010	book_invariants	pass	words=103526; chapters=24	No action required for this automated check.
I-0299	I0299-011	visual_rhythm	warn	max_visual_run=199; visual_pages=349	Final assembly should insert section rhythm or page grouping if this remains too dense.
