check_id	test_area	requirement	pass_condition	fail_condition	applies_to	evidence_source	next_layout_action
CH16NA-001	scope_gate	Only the LBNL/DOE U.S. paragraph may move CH16Q IDs out of inline prose in the first layout test.	The candidate layout moves only CH16Q-003, CH16Q-004, CH16Q-005, and CH16Q-006 into N16-1.	Any other CH16Q ID is removed from inline prose before a later explicit acceptance row exists.	CH16Q-003;CH16Q-004;CH16Q-005;CH16Q-006	data/chapter16_cue_density_rule_i0057.tsv CH16CD-005; data/chapter16_final_note_prototype_i0058.tsv CH16FN-001	Use N16-1 as the only first-page note-move candidate.
CH16NA-002	measured_twh_mapping	N16-1 must preserve the measured 2023 U.S. TWh row separately from scenario rows.	The note states CH16Q-003 as the reported/about 176 TWh 2023 estimate and keeps LBNL/DOE attribution.	The note collapses CH16Q-003 into generic LBNL/DOE data, omits the year, or makes it look like a forecast.	CH16Q-003	data/chapter16_quant_claim_audit_i0043.tsv; data/chapter16_final_note_prototype_i0058.tsv	Keep "reported" or "about" in prose or note.
CH16NA-003	scenario_twh_mapping	N16-1 must preserve the 2028 TWh range as modeled scenario language.	The note states CH16Q-004 as the modeled 325-580 TWh 2028 scenario range.	The note gives a midpoint, drops the range, drops 2028, or removes modeled/scenario wording.	CH16Q-004	data/chapter16_quant_claim_audit_i0043.tsv; data/chapter16_cue_density_rule_i0057.tsv	Keep "modeled" and "scenario" visible.
CH16NA-004	measured_share_mapping	N16-1 must preserve the measured 2023 U.S. electricity-share row separately from projected share.	The note states CH16Q-005 as the reported/about 4.4 percent 2023 U.S. electricity-use share.	The note merges the share with 2028 projections or implies 4.4 percent is a global number.	CH16Q-005	data/chapter16_quant_claim_audit_i0043.tsv; data/chapter16_final_note_prototype_i0058.tsv	Keep "reported" or "about" and "U.S." visible.
CH16NA-005	scenario_share_mapping	N16-1 must preserve the 2028 percentage range as projected/scenario language.	The note states CH16Q-006 as the projected possible 6.7 to 12 percent 2028 scenario share.	The note collapses the range, states it as certainty, drops 2028, or omits projected/scenario wording.	CH16Q-006	data/chapter16_quant_claim_audit_i0043.tsv; data/chapter16_cue_density_rule_i0057.tsv	Keep "projected" or "possible" and "scenario" visible.
CH16NA-006	note_proximity	The N16-1 note must be close enough that the reader can inspect it without leaving the paragraph.	The note appears as a same-page sidenote, footnote, or immediately following note block in a mock page.	The note is pushed to a distant endnote, appendix, or source list where measured/scenario mapping is not visible during reading.	N16-1	data/chapter16_final_note_prototype_i0058.tsv	Reject note move in PDF/layout if proximity fails.
CH16NA-007	inline_blocker_visibility	CH16Q-017 must remain inline where NVIDIA/GTC "AI factory" company framing appears.	The sentence with AI factory/company argument still contains CH16Q-017 inline; a sidenote may duplicate it but not replace it.	CH16Q-017 moves only to N16-1, a broad note, an endnote, or a source list.	CH16Q-017	data/chapter16_cue_density_rule_i0057.tsv CH16CD-001; data/chapter16_final_note_prototype_i0058.tsv CH16FN-002	Any layout that removes inline CH16Q-017 fails.
CH16NA-008	explicit_exclusion_visibility	CH16Q-018 must remain inline where the energy-per-token exclusion appears.	The sentence saying the stack is not a quantified energy-per-token model still contains CH16Q-018 inline; a sidenote may duplicate it but not replace it.	CH16Q-018 moves only to a note or disappears from the exclusion sentence.	CH16Q-018	data/chapter16_cue_density_rule_i0057.tsv CH16CD-001; data/chapter16_final_note_prototype_i0058.tsv CH16FN-003	Any layout that removes inline CH16Q-018 fails.
CH16NA-009	operator_signal_protection	Operator-survey rows may not move during the N16-1 test.	CH16Q-015 and CH16Q-016 stay inline in the Uptime paragraph.	They are moved to a note that does not label them operator-survey signals.	CH16Q-015;CH16Q-016	data/chapter16_cue_density_rule_i0057.tsv CH16CD-006; data/chapter16_final_note_prototype_i0058.tsv CH16FN-005	Defer operator-note testing until after N16-1 passes visually.
CH16NA-010	no_new_quant_without_row	The note-layout pass may not introduce any new exact quantity, forecast, PUE, rack-density, Wh/token, or NVIDIA/GTC performance claim.	Every exact quantitative or blocked/exclusion claim in the mock maps to an existing CH16Q row.	A new exact number or company-performance claim appears without a successor audit row.	future_CH16Q	data/chapter16_cue_density_rule_i0057.tsv CH16CD-008	Reject mock and create a successor audit row before prose/layout expansion.
CH16NA-011	readability_gain	The note move must improve reading without weakening truth controls.	The LBNL/DOE paragraph loses dense inline clusters while N16-1 preserves four row mappings and scenario labels.	The note is longer than the clutter it replaces, confuses mappings, or invites one-number summary prose.	N16-1	data/chapter16_final_note_prototype_i0058.tsv; manuscript/16-speed-to-power.md	Proceed to I-0063 mock only if this is plausible in the page design.
CH16NA-012	reversibility	The live manuscript should not move CH16Q IDs until a rendered or mocked page passes this checklist.	manuscript/16-speed-to-power.md remains unchanged after checklist creation.	The checklist pass edits live prose to remove row IDs before visual acceptance evidence exists.	manuscript/16-speed-to-power.md	ideas.tsv I-0062; manuscript/16-final-note-prototype.md	Use the checklist as the gate for I-0063, not as a prose merge.
