pass_id	backup_root	champion_relative_path	backup_relative_path	bytes	sha256	status
I-0300	archive/champion_backup_i0300	00-chapter-order-continuity-audit-i0110.md	archive/champion_backup_i0300/00-chapter-order-continuity-audit-i0110.md	3190	33f7d72353e3fe2738f56f00ee93cc825b98a94c5ec62e8cd4e3d3cb53e92965	preserved
I-0300	archive/champion_backup_i0300	00-claim-coverage-dashboard.md	archive/champion_backup_i0300/00-claim-coverage-dashboard.md	9326	c0e67ebc0c8bf7154a6e272e3e2108a82a4bb336e2ae5a42dcdc790a6e691d2f	preserved
I-0300	archive/champion_backup_i0300	00-full-book-progress-dashboard.md	archive/champion_backup_i0300/00-full-book-progress-dashboard.md	3587	d85e25cd85970f4aecfee421a302ddbd836ff2b84e5c80b43dea49ed362fdb5d	preserved
I-0300	archive/champion_backup_i0300	00-master-outline.md	archive/champion_backup_i0300/00-master-outline.md	1685	ce10d190519b9b9c67d082590ae6cf93e98b8113add2db7b6f6fceaf3665c2b0	preserved
I-0300	archive/champion_backup_i0300	00-non-nvidia-visual-photo-acquisition-i0112.md	archive/champion_backup_i0300/00-non-nvidia-visual-photo-acquisition-i0112.md	1859	dc3e2c4a935e89815a645b3514626d239d0c7d86394fdcbe0147110035094524	preserved
I-0300	archive/champion_backup_i0300	00-render-smoke-negative-fixture.md	archive/champion_backup_i0300/00-render-smoke-negative-fixture.md	465	1b6ecc56ab880f773ad123f20035f9ec121f4f8382aab8533ecddfdf629ce8d2	preserved
I-0300	archive/champion_backup_i0300	00-source-snapshot-protocol.md	archive/champion_backup_i0300/00-source-snapshot-protocol.md	625	6b4513e3d38f5d48ecaee47006c63bd8769bbcd1ec0faff24e2b4aa4ba8319cd	preserved
I-0300	archive/champion_backup_i0300	00-title-positioning.md	archive/champion_backup_i0300/00-title-positioning.md	719	e7f51f8016b92031c01ab25e745963e1799dc76fe008cdcae7d2b8f70788b9a3	preserved
I-0300	archive/champion_backup_i0300	00-title-reader-test-protocol.md	archive/champion_backup_i0300/00-title-reader-test-protocol.md	599	566fa43857fe538a8a25113eb6fb3d8ce01513a68e52e9cf6bead8362b9178e7	preserved
I-0300	archive/champion_backup_i0300	00-visual-grammar.md	archive/champion_backup_i0300/00-visual-grammar.md	690	cc9e942c355d187b30f5bc79ee5e9b07a3ecff3db723c4198d695e379209d45a	preserved
I-0300	archive/champion_backup_i0300	01-before-the-transformer.md	archive/champion_backup_i0300/01-before-the-transformer.md	581	c5691fa6a4e74c4b32f5e50a196b5549e9a5ae1acc0d1c53af35ef60b8d03005	preserved
I-0300	archive/champion_backup_i0300	01-the-shock.md	archive/champion_backup_i0300/01-the-shock.md	925	033f9296df32d13cdbb5b10a56579c20be3f9441f30be4ad4751db09ecf31b7c	preserved
I-0300	archive/champion_backup_i0300	02-attention-catches-fire.md	archive/champion_backup_i0300/02-attention-catches-fire.md	598	84d6ced1b6fd966367118ad8a8377e2932db59258572a2a1b09c97684004f8df	preserved
I-0300	archive/champion_backup_i0300	03-scaling-bet.md	archive/champion_backup_i0300/03-scaling-bet.md	491	834bd9379fc3966e7a4a315bcf6fb87460b4b653b6224a59e274506767656cb6	preserved
I-0300	archive/champion_backup_i0300	05-gpt-1-to-gpt-3-door-opens.md	archive/champion_backup_i0300/05-gpt-1-to-gpt-3-door-opens.md	878	25f9ee7d93a73f91ea40db17a09f6cc2f2a6c2378bac6a8ba513db1a1558f156	preserved
I-0300	archive/champion_backup_i0300	05-gpt-lineage-visual-table.md	archive/champion_backup_i0300/05-gpt-lineage-visual-table.md	591	790da616e44e43ae6ded1d638eec973e44b5b528e10eb3966f1c88121cde1599	preserved
I-0300	archive/champion_backup_i0300	06-alignment-enters-product.md	archive/champion_backup_i0300/06-alignment-enters-product.md	1450	caad18e1d660e39f275ce90ace2a699febbc494f2e3d7d39dc59623893ff4d6c	preserved
I-0300	archive/champion_backup_i0300	06-alignment-quote-safe-table.md	archive/champion_backup_i0300/06-alignment-quote-safe-table.md	1069	c46d837cd40c1199d77c0c05376ea00f228edc6bab6e9e783310a8ee83479d80	preserved
I-0300	archive/champion_backup_i0300	06-rlhf-alignment-pipeline.md	archive/champion_backup_i0300/06-rlhf-alignment-pipeline.md	698	24e5789a467114243d0d4459eab44cf55d60155af2d3ab0307d01176792e5859	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-adoption-attributed-paragraph.md	archive/champion_backup_i0300/07-chatgpt-adoption-attributed-paragraph.md	655	ef2d3e1133aad6be53200bbaf007cb6568518b7fabaabce0e74128f9f0fdae41	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-adoption-count-audit.md	archive/champion_backup_i0300/07-chatgpt-adoption-count-audit.md	1279	52e557437ab6003ea4abaf72b700e094caa4a131cb4ca425260b7c3f8d6cbba0	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-adoption-reception-gap.md	archive/champion_backup_i0300/07-chatgpt-adoption-reception-gap.md	1018	e1e8399c0f2fa82f89c09d51267ca5fa7ebc4075bc1f5a6eeb6286a412a8caf6	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-adoption-reception-snapshots.md	archive/champion_backup_i0300/07-chatgpt-adoption-reception-snapshots.md	780	6e95b6338ca9bf93de8636c752c44aeeef72b163a9764016729adf1206d498e9	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-adoption-reception-sources.md	archive/champion_backup_i0300/07-chatgpt-adoption-reception-sources.md	831	c5c51f11fe2647e4ce03bd5d2103b5b9b3a62c608cd7a8229fe8ab5b52c18f25	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-adoption-source-chain.md	archive/champion_backup_i0300/07-chatgpt-adoption-source-chain.md	761	dfbf4a08598e6db7579a231384fb4554ba9a96ab077061ab2c855d89f4230bd8	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-axios-reception-snapshots.md	archive/champion_backup_i0300/07-chatgpt-axios-reception-snapshots.md	649	1951b32d11568d1a1463a6a938a291c3f29d6c090372b78164c5a6409c2f9adf	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-enterprise-pwc-corroboration.md	archive/champion_backup_i0300/07-chatgpt-enterprise-pwc-corroboration.md	948	e562bd869095934ac73362abefa0a8067041dd12b00f4ef24d5eb0c5f05cc673	preserved
I-0300	archive/champion_backup_i0300	07-chatgpt-enterprise-pwc-live-integration.md	archive/champion_backup_i0300/07-chatgpt-enterprise-pwc-live-integration.md	475	2d9feb8b4a1b76fbbbd4ea81c360482632b060a63fadb8e8fe33c3f1542fe97e	preserved
