page	text_chars	image_count	drawing_count	sample_text
1	1136	0	26	Next Token Table of Contents Chapter 01: The Shock Chapter 02: Before the Transformer Chapter 03: Attention Catches Fire Chapter 04: The Scaling Bet Chapter 05: GPT-1 to GPT-3: The Door Opens Chapter 06: Alignment Enters the Product Chapter 07: ChatGPT: The Interface Event Chapter 08: Microsoft, OpenAI, and the Cloud Bargain Chapter 09: Google and DeepMind W
2	629	0	4	READER'S NOTE A Note Before The First Prompt Read this edition as a narrative with its evidence left visible. The screenshots, logos, papers, model cards, tables, and source pages are not decorative display pieces; they are dated surfaces that show where the story touches the world. The rule is simple: prose carries the claim, sources bound the claim, and vi
3	0	0	3	
10	2201	0	2	Schools saw a different machine. Chalkbeat reported on January 3, 2023, that New York City's education department blocked ChatGPT on school devices and networks, citing concerns about learning and the safety and accuracy of content. [S-0094] Axios Seattle later reported that Seattle Public Schools had taken a similar access-control route on district WiFi and
25	2218	0	2	This is why distributed representation was more than a technical convenience. It was a way to make the model less brittle in the face of novelty. Bengio and his coauthors described a neural language model that learned word feature vectors jointly with the probability function. The model could therefore represent similarities among words as part of the learne
50	2110	0	2	The positional encoding detail also foreshadows later context-window chapters. Once language becomes token positions plus learned interaction, the length and structure of the context become product facts. How much can fit? How reliably does the model use what fits? Which positions matter? What happens when retrieved documents, tool schemas, code files, and c
100	2395	0	2	The API Made Distribution A Technical Fact Distribution often gets treated as business context, something that happens after the science. In the GPT line, distribution became technical. A model available only as a paper is different from a model available through a hosted endpoint. The endpoint shapes what developers try, how fast they try it, what risks the
150	2481	0	2	LLMs were not only software products. They were cloud commitments. Serving a popular conversational product required low-latency inference, reliability, safety systems, data handling, and a path to payment. This is one of the reasons ChatGPT frightened incumbents. It was not merely a popular app. It was a demonstration that model capability, interface design
200	2195	0	2	teaches users to treat the web as an answerable surface. A chat assistant changes the shape of that contract. Instead of sending the user outward, it can pull the answer inward. That inward pull is why Google's AI product conversion was so delicate. A direct answer may satisfy the user faster, but it can obscure sources, reduce clicks, change publisher econo
250	520	1	6	VX132 / A-0284-033 - Hugging Face acquired logo for private-edition visual layer: Hugging Face. Categories: logo. Source/provenance: https://simpleicons.org/ Source note: source rights noted; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status. Blocked claims: source-bound visual e
300	1404	1	4	What Claude Proves, And What It Does Not F12.04 / A-0097 - Figure 12.4 - The Tempting Claude Claims Are Not The Sourced Ones. Vendor launch pages and docs can show product direction, but outcome claims need benchmark, pricing, adoption, productivity, and safety evidence at the same scope. Figure 12.4 - The Tempting Claude Claims Are Not The Sourced Ones. Ven
350	1164	1	4	Continuity note: Chapter 14 owns the software-and-system moat: CUDA habits, libraries, kernels, accelerator memory, interconnect, and the conversion of model ambition into usable accelerator work. Chapter 15 owns NVIDIA's public AI-factory stagecraft and roadmap framing. Chapter 16 owns independent physical constraints: power, interconnection, cooling, and u
400	1374	0	2	"C-0047] DSX is narratively important because it shows the factory metaphor hardening into a product architecture. The pitch was not only ""buy faster chips."" It was ""build the factory this way."" That is a different level of ambition. It reaches into facility planning, simulation, cooling, power, software, and reference methodologies. If CUDA made the GPU prog"
450	2410	0	2	That last sentence is a guardrail. The chapter can describe the chain from electricity to tokens. It can describe data-centre electricity estimates and scenarios. It can describe facility-scale megawatt ranges, advisory interconnection lead times, supply-mix projections, operator-survey signals, and cooling response categories. It cannot infer watt-hours per
500	1209	1	4	Reasoning Plus Acting F18.04 / A-0063 - Figure 18.4 - Prompt Injection Boundary. Untrusted retrieved content tries to cross from data into instruction before a tool action. Figure 18.4 - Prompt Injection Boundary. Untrusted retrieved content tries to cross from data into instruction before a tool action. Source: S-0137; provenance details are recorded in the
550	1017	1	4	The New Pair Programming F20.04 / A-0289-008 - Figure 20.04 - Berkeley Function Calling Leaderboard Surface Berkeley Function Calling Leaderboard screenshot makes tool-use evaluation visible; it does not prove general agent reliability, live rank after capture, enterprise outcomes, or safety. Source: MCS-0289-009;I-0292;MCS-0289-009; provenance details are r
600	646	1	6	VX029 / A-0081 - Chapter 21 reasoning-budget routing map Figure 21.4 - How Much Thinking Is This Worth? Fast path, think path, tool path, and human escalation/refusal are schematic routing lanes. Categories: curated_chart_data_svg_visualization. Source/provenance: source table.tsv Source note: Original lightweight SVG generated from Chapter 21 source and cla
662	0	0	3	
