chapter	selected_count	quota_status	ready_svg_or_chart_count	capture_or_rights_count	main_readiness_problem	next_action
1	3	on_target	3	0	No major readiness gap; render may still prune opener density.	Render-test first spread and keep three only if rhythm holds.
2	1	under_target	1	0	Needs early technical source texture.	Add source-excerpt card and canonical paper/redraw provenance before more late-book art.
3	1	under_target	1	0	Transformer mechanism lacks final paper-provenance companion.	Execute Transformer Figure 1/2 redraw/page-ref path.
4	1	under_target	1	0	Scaling/source evidence is visually thin.	Add Kaplan/Chinchilla source-card or redraw with plotted-value blockers.
5	1	under_target	1	0	GPT-3/API/Codex source texture is thin.	Add GPT-3/API/Codex source card while avoiding Chapter 19 code overlap.
6	3	on_target	1	2	Two selected product captures are not ready.	Capture/hash A-0121 and A-0122 or replace one with source-card texture.
7	5	over_target	1	4	ChatGPT product screenshots are over-selected and uncaptured.	Capture only necessary surfaces and prune launch/Plus duplication against Chapter 6.
8	4	on_target	4	0	Diagram density may be high but source readiness is good.	Render-test and promote A-0128 only if one diagram drops.
9	5	over_target	4	1	Gemini/Bard screenshot not captured and chapter is over target.	Capture/hash A-0129 and prune one conversion/blocker diagram if crowded.
10	5	over_target	3	2	Llama screenshots need capture; open-weight chapter is over target.	Capture one launch/repo surface and keep only two core diagrams if layout is dense.
11	5	over_target	2	3	China source surfaces need capture and source-gap discipline.	Capture two strongest source surfaces; keep supported-vs-gap board as guardrail.
12	6	over_target	4	2	Claude chapter has too many surfaces and two uncaptured screenshots.	Prune to behavior/action/blocker plus one screenshot after capture.
13	3	on_target	3	0	Benchmark visuals are ready but caption order matters.	Keep methodology before any historical leaderboard slice.
14	6	over_target	3	3	Chip/fab photos need rights review and chapter is over target.	Verify licenses and choose one or two physical photos, not all three.
15	7	over_target	5	2	GTC has duplicate card/slide/source representations.	Choose card versus slide for page 29 and prune duplicate GTC rhetoric.
16	9	over_target	5	4	Physical infrastructure is heavily overfull and photo rights are unresolved.	Verify rights and keep at most two photos plus three schematics.
17	4	on_target	4	0	Data chapter is ready as diagrams; source texture is optional.	Add corpus source page only if one diagram drops.
18	5	over_target	4	1	Tool chapter has one uncaptured product surface and too many selected exhibits.	Capture A-0124 or use A-0125 reserve, not both.
19	5	over_target	4	1	Coding chapter needs one product capture and overlap pruning.	Capture Copilot or replace with Cursor only if one diagram drops.
20	5	over_target	4	1	Claude Code screenshot is not captured and benchmark/harness visuals may overlap.	Capture A-0131 and keep three diagrams with distinct jobs.
21	4	on_target	4	0	Reasoning visuals are ready but may feel apparatus-heavy.	Keep inference contract prominent and avoid extra benchmark screenshots.
22	4	on_target	4	0	Economics visuals are ready but price/currentness caveats remain sensitive.	Render-test and add pricing source surface only by replacing a diagram.
23	4	on_target	4	0	Trust chapter is ready as diagrams but can become taxonomy-heavy.	Render-test taxonomy/audit loop balance; avoid incident/source montage.
24	4	on_target	4	0	Final chapter is ready but ending may be over-instrumented.	Render-test and choose two or three if the closing needs more air.
