"metric"	"value"	"target"	"status"	"note"
"selected_figures"	"100"	"100"	"pass"	"Stable selected-100 figure ledger exists."
"unique_chapters"	"24"	"24"	"pass"	"All main chapters represented."
"high_risk_rows"	"30"	"0"	"fail"	"High-risk capture, permission, or source-surface rows remain."
"capture_or_replace_rows"	"17"	"0"	"fail"	"Screenshot/source-screenshot slots still need capture or replacement."
"photo_permission_rows"	"7"	"0"	"fail"	"Photo candidates still need license proof or substitutes."
"permission_review_rows"	"6"	"0"	"fail"	"Company/source surfaces need source-actor/fair-use review or redraw."
"caption_fail_or_warn_rows"	"67"	"0"	"fail"	"Caption gates remain open for claim language or length."
"provenance_fail_rows"	"0"	"0"	"pass"	"No selected row currently has missing source IDs in the attribution QA sample."
"crowded_or_fatigue_chapters"	"9"	"0"	"fail"	"Crowding and mechanism-run fatigue remain in page-flow mock."
"render_proven_rows"	"0"	"100"	"fail"	"No full-book render proof exists for final figure placement."
"publication_ready_rows"	"0"	"100"	"fail"	"No row is publication-ready until render, rights, caption, and source-note gates close together."
"average_planning_score"	"62.7"	"90+"	"fail"	"Planning score excludes final render points and shows remaining blocker load."
