"figure_id"	"chapter"	"asset_id"	"asset_type"	"figure_title"	"current_rights_status"	"triage_class"	"severity"	"publication_decision"	"replacement_candidate"	"rights_basis"	"blocked_claim_firewall"	"required_next_gate"
"F01.01"	"CH01"	"A-0068"	"svg_diagram"	"ChatGPT Shock Chronology"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Render in full-book opener spread."
"F01.02"	"CH01"	"A-0069"	"svg_diagram"	"From Prompt to Answer, One Token at a Time"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"Check mobile/print legibility."
"F01.03"	"CH01"	"A-0070"	"svg_diagram"	"Local Alarms: First Institutional Response Chronology"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep only if prose placement stays tight."
"F02.01"	"CH02"	"A-0115"	"svg_diagram"	"The Bottleneck Before The Breakthrough"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Trace final caption to paper-source rows."
"F03.01"	"CH03"	"A-0116"	"svg_diagram"	"Attention Is A Mixing Operation, Not A Mind"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Add exact Transformer-figure provenance before final art."
"F04.01"	"CH04"	"A-0117"	"svg_diagram"	"Loss Is A Map, Not A Product Guarantee"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Verify plotted-value exclusions in final caption."
"F05.01"	"CH05"	"A-0010"	"svg_diagram"	"From Pretraining To The Cursor"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Check against Chapter 19 overlap."
"F06.01"	"CH06"	"A-0011"	"svg_diagram"	"Alignment As A Product Stack"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Pair with one source surface, not more diagrams."
"F06.02"	"CH06"	"A-0121"	"screenshot_slot"	"ChatGPT Product Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F06.03"	"CH06"	"A-0122"	"screenshot_slot"	"ChatGPT Plus Productization Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F07.01"	"CH07"	"A-0016"	"svg_diagram"	"ChatGPT: From Interface Event To Business Surface"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Retain blocked adoption lane."
