bridge_id	chapter	figure_id	asset_id	figure_title	reader_effect_job	prose_before_bridge	prose_after_bridge	claim_safety_note	integration_gate
PAF-001	CH02	F02.01	A-0115	The Bottleneck Before The Breakthrough	Clarity plus mystery	Before the breakthrough, the problem was not that machines had no words. It was that their memory of a sentence was brittle, compressed, and easily lost.	A good diagram of the bottleneck should leave the reader with pressure, not closure: the field needed a way for every word to keep asking every other word what mattered.	Do not claim a complete NLP history, priority settlement, or Transformer inevitability.	Use only if the chapter still feels too open after prose polish.
PAF-002	CH03	F03.01	A-0116	Attention Is A Mixing Operation, Not A Mind	Technical awe	The beautiful trick in attention is modest enough to be misunderstood. It does not think; it lets positions in a sequence exchange information with unusual directness.	That is why the mechanism matters. It gave the model a better way to move meaning around a sentence, while leaving truth, intention, grounding, and judgment outside the drawing.	Block consciousness, intention, truth, grounding, faithful explanation, and complete modern LLM implementation claims.	Pair with shortened reader-facing caption and nearby provenance note.
PAF-003	CH04	F04.01	A-0117	Loss Is A Map, Not A Product Guarantee	Suspense from scaling	The curve was seductive because it made progress look legible. But legible is not the same as guaranteed.	What scaling made possible was a disciplined bet: more compute, more data, and bigger models could move a measured loss. It did not promise a useful product, a truthful answer, or a safe system.	Block automatic truth, safety, product success, emergence threshold, and revenue claims.	Place immediately after prose that frames scaling as bet rather than destiny.
PAF-004	CH06	F06.01	A-0011	Alignment As A Product Stack	Product memory	The assistant voice felt simple from the outside, but the product depended on a stack of behavioral work below the chat box.	The figure should make alignment feel like labor, not magic: demonstrations, preferences, rules, evaluations, and failures all press against the final answer the user sees.	Block solved safety, hallucination elimination, universal alignment, and current-product claims.	Use before any product-surface screenshot so the surface does not outrun mechanism.
PAF-005	CH07	F07.01	A-0016	ChatGPT: From Interface Event To Business Surface	Launch suspense and productization	The first shock was a public interface. The second was that the interface immediately suggested a business surface: subscriptions, plugins, enterprise controls, and distribution.	The timeline should not tell the reader that adoption or productivity was proven. It should show why every company suddenly had to ask what a chat box might become.	Block adoption, productivity, revenue, named-customer, and ecosystem-success claims.	Pair with only the strongest product surface; do not repeat every launch page.
PAF-006	CH08	F08.03	A-0058	Inference Cost Stack: What The Chat Box Hides	Strategic reversal	A chat answer feels weightless because the interface hides the stack. Microsoft understood that the weight would land somewhere.	Once the answer becomes workload, the story leaves the chat window and enters latency, serving software, accelerators, governance, and datacenters. That is the cloud bargain hiding in plain sight.	Block exact cost, margin, cloud share, productivity, and ROI claims.	Use as the handoff from strategic partnership prose into infrastructure/economics.
PAF-007	CH13	F13.01	A-0014	Leaderboard Methodology Before Leaderboard Rows	Leaderboard suspense	A leaderboard is most dangerous when it looks easy to read. Before the ranks, the reader needs to know what kind of game is being scored.	The method note should create useful distrust: the table can show one historical slice, but it cannot crown the best model, predict product value, or settle a task outside its scope.	Block live rank, broad best-model, task-superiority, price-quality, safety, latency, and enterprise-usefulness claims.	Methodology figure must precede any sorted rank chart.
PAF-008	CH15	F15.02	A-0004	GTC Source-Actor Slide Surface	Company theater plus industrial machine	The keynote is useful because it shows how NVIDIA wanted the market to see the machine. It is not useful as neutral proof that the machine already works as advertised.	After the slide, the prose must return to source discipline: stagecraft can reveal strategy, but performance, deployment, availability, and partner claims still need independent support.	Block NVIDIA roadmap, performance, partner, availability, revenue, and deployment claims unless independently corroborated.	Use only with explicit source-actor framing and page-level provenance.
PAF-009	CH16	F16.01	A-0015	Power To Token Flow	Physical constraint	The industrial story becomes real when the token leaves the screen and touches the grid. A model answer is not only math; at scale, it is land, transformers, cooling, interconnection, and scheduling.	The flow should make the constraint physical without inventing a universal energy-per-token number. It shows where the pressure travels, not a measured conversion rate.	Block exact energy per token, site capacity, emissions, workload, PUE, and delivered-power claims.	Use as the anchor exhibit; prune nearby figures that repeat the same pressure.
PAF-010	CH20	F20.02	A-0033	Benchmark Caveat Matrix	Benchmark anxiety	The coding-agent story is thrilling only if the test remains visible. A score without the harness is just a rumor with numbers.	The caveat matrix should sharpen suspense: models can improve on a benchmark while still failing real repositories, tools, permissions, review, or deployment context.	Block best-coding-model, raw productivity, adoption, enterprise outcome, and universal safety claims.	Place before any prose that compares agent capability across systems.
PAF-011	CH22	F22.01	A-0224	Token Economics Control Board	Economic pressure	The meter the user sees is not the ledger the operator manages. Token economics begins in that gap.	The board should make the business pressure visible while refusing the tempting leap from price surface to margin, cost per token, utilization, or profit.	Block provider margin, cost per token, revenue, profitability, utilization, ROI, productivity, and price-quality frontier claims.	Choose this or the cost-latency ladder first; avoid two meter-heavy spreads in sequence.
PAF-012	CH24	F24.04	A-0108	Final Synthesis Board	Resolution and responsibility	The ending should not pretend that the race resolves itself. Prediction, tools, infrastructure, economics, and trust all return to human judgment.	If the final figure stays, it must behave like a doorway back to responsibility, not a dashboard of everything the book has already explained.	Block inevitability, AGI, consciousness, solved trust, autonomy, productivity, and prophecy claims.	Final page must end on prose or motif after the visual, not on apparatus.
