candidate_id	year	event	source_id	page_or_time_provenance	surface_description	chapter_target	priority	visual_treatment	why_it_matters	allowed_caption	blocked_claims	acquisition_status
GTC-SURF-001	2024	GTC San Jose keynote	S-0200;S-0201	timecode TBD; official recap and highlight locator	Blackwell platform reveal / generative AI processor moment	14	high	redrawn stage chronology card	Marks the point where the NVIDIA chapter can move from CUDA moat to rack-scale AI infrastructure pitch.	NVIDIA presented Blackwell as its generative-AI-era computing platform at GTC 2024.	No independent performance, energy, supply, demand, pricing, or customer deployment claim.	locate exact on-demand timecode
GTC-SURF-002	2024	GTC San Jose keynote	S-0200;S-0201	timecode TBD	NIM / inference microservices platform surface	14;18	medium	redrawn source-surface card	Connects hardware stagecraft to the software packaging layer that later chapters use for tool and deployment claims.	NVIDIA used GTC 2024 to introduce NIM as part of its inference deployment stack.	No claim that NIM became a dominant standard or solved deployment friction.	locate exact slide/video surface
GTC-SURF-003	2024	GTC San Jose keynote	S-0200;S-0201	timecode TBD	Omniverse Cloud APIs / physical AI demo surface	16;23	medium	chronology thumbnail or text-only callout	Shows the pre-2026 path from simulation rhetoric to factory and robotics infrastructure.	NVIDIA framed Omniverse APIs as a way to bring AI into physical-world simulation workflows.	No proof of customer productivity, digital-twin accuracy, safety, or deployment scale.	locate exact slide/video surface
GTC-SURF-004	2025	GTC San Jose keynote	S-0203;S-0204	timecode TBD	Blackwell Ultra and AI inference efficiency surface	14;22	high	redrawn comparison card with caveat badge	Bridges Blackwell launch to inference economics without pretending the chart is neutral measurement.	NVIDIA presented Blackwell Ultra as part of its 2025 inference and AI factory roadmap.	No exact speedup, cost, energy, or benchmark claim until official chart values are captured and corroborated.	capture official timecode/transcript
GTC-SURF-005	2025	GTC San Jose keynote	S-0203;S-0204	timecode TBD	Dynamo as AI factory operating system surface	18;22	high	source-surface card plus mechanism sidebar	Gives the AI factory story an inference-scheduling/software mechanism rather than a pure rack photo.	NVIDIA described Dynamo as software for scaling AI reasoning models in AI factories.	No deployed reliability, customer ROI, open-source adoption, or platform dominance claim.	capture official timecode/transcript
GTC-SURF-006	2025	GTC San Jose keynote	S-0203;S-0204	timecode TBD	Omniverse 1 GW AI factory blueprint video/surface	15;16	high	paired chronology card	Provides the missing step between "AI factories" as slogan and facility design as a repeatable blueprint.	NVIDIA showed a 1 GW AI factory planning frame during the 2025 keynote recap.	No claim that the blueprint produced real facility savings, time-to-revenue, or energy reductions.	capture video surface and rights lane
GTC-SURF-007	2025	GTC San Jose keynote	S-0203;S-0204	timecode TBD	Vera Rubin / annual roadmap surface	14;15	high	roadmap continuity card	Prepares the reader for 2026 Vera Rubin by showing the annual cadence before the 2026 PDF centerpiece.	NVIDIA used GTC 2025 to position Vera Rubin and Rubin Ultra as future AI infrastructure generations.	No future availability, production, performance, or customer deployment claim.	capture official timecode/transcript
GTC-SURF-008	2025	GTC San Jose keynote	S-0203;S-0204	timecode TBD	silicon photonics / Spectrum-X and Quantum-X scale-out surface	16	medium	mechanism explainer card	Links AI factories to networking, optics, and power limits before Chapter 16.	NVIDIA presented photonics and scale-out networking as part of larger AI factory infrastructure.	No exact power, resiliency, signal-integrity, deployment-speed, or million-GPU claim without corroboration.	capture exact chart values
GTC-SURF-009	2025	GTC Washington DC keynote	S-0205	timecode TBD	Omniverse DSX / gigawatt-scale factory blueprint surface	15;16	medium	continuity sidebar, not main chronology	Shows DSX maturing between San Jose 2025 and the 2026 local deck.	NVIDIA introduced Omniverse DSX as an AI factory design and operations blueprint at GTC Washington DC.	No actual adoption scale, facility performance, customer outcome, or grid benefit claim.	optional later capture
GTC-SURF-010	2026	GTC San Jose keynote	S-0001	page 29	AI factories are industrial infrastructure of the AI era	15	highest	existing claim card A-0024	Core visual thesis for Chapter 15 and the book's hardware middle.	NVIDIA framed AI factories as the industrial infrastructure of the AI era.	Do not present AI factory as a neutral industry definition or proof of economics.	ready as page-provenance card
GTC-SURF-011	2026	GTC San Jose keynote	S-0001	page 45	AI inference compute / Groq 3 LPX availability roadmap	14;15	high	existing claim card A-0025	Shows why 2026 is a roadmap and availability theater, not just a product list.	NVIDIA showed an inference-compute roadmap including Groq 3 LPX and a 2H26 availability line.	Do not treat roadmap specs or availability as shipped history.	ready as page-provenance card
GTC-SURF-012	2026	GTC San Jose keynote	S-0001	page 46	Vera Rubin NVL72 launch partners and rack claims	14;15	high	existing claim card A-0026	Connects the 2025 Vera Rubin buildup to a named 2026 rack/platform announcement.	NVIDIA announced Vera Rubin NVL72 with launch-partner and platform claims.	No neutral partner, performance-per-watt, NVFP4, HBM4, or NVLink6 claim without release corroboration.	ready as page-provenance card
GTC-SURF-013	2026	GTC San Jose keynote	S-0001	page 49	seven chips, five rack systems, and 1 GW comparison	15;16	highest	existing claim card A-0027	Best single surface for the AI factory system argument.	NVIDIA presented Vera Rubin as a multi-chip, multi-rack AI factory system.	Do not turn comparison values, revenue, throughput, or deployed capacity into independent evidence.	ready as page-provenance card
GTC-SURF-014	2026	GTC San Jose keynote	S-0001	page 50	2024/2026/2028 roadmap with Blackwell, Rubin, Feynman and related systems	14;15	highest	existing claim card A-0028	Natural bridge for the historical deck chronology: 2024 launch, 2026 centerpiece, 2028 future.	NVIDIA showed a hardware/software/networking roadmap spanning Blackwell, Rubin, Feynman and related systems.	Future roadmap items are not happened history; no guarantee of delivery, specs, or timing.	ready as page-provenance card
GTC-SURF-015	2026	GTC San Jose keynote	S-0001	page 51	NVIDIA DSX AI Factory Platform	15;16	highest	existing claim card A-0029	Closes the chronology by making the factory a layered design stack: chips, systems, facilities, software, reference designs.	NVIDIA framed DSX as an AI factory platform spanning hardware, facilities, libraries, APIs, software and methodologies.	No customer adoption, facility performance, energy efficiency, or deployment scale claim without corroboration.	ready as page-provenance card
