unit	kind	action	source_lane	guardrail	status
CH01-CH02	boundary	already_absorbed	S-0104;S-0105;S-0106;S-0107;S-0002	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH02-CH03	boundary	already_absorbed	S-0002;S-0108	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH03-CH04	boundary	already_absorbed	S-0002;S-0003;S-0015;S-0004	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH04-CH05	boundary	already_absorbed	S-0011;S-0012;S-0013;S-0004	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH05-CH06	boundary	already_absorbed	S-0014;S-0074	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH06-CH07	boundary	already_absorbed	S-0006;S-0074;S-0078;S-0079	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH07-CH08	boundary	already_absorbed	S-0125;S-0126;S-0130;S-0132	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH08-CH09	boundary	already_absorbed	S-0002;S-0115;S-0116;S-0117;S-0121	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH09-CH10	boundary	already_absorbed	S-0111;S-0112;S-0113;S-0114	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH10-CH11	boundary	already_absorbed	S-0026;S-0027;S-0028;S-0029;S-0031	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH11-CH12	boundary	already_absorbed	S-0032;S-0033;S-0034;S-0019;S-0048	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH12-CH13	boundary	already_absorbed	S-0035;S-0036;S-0037	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH13-CH14	boundary	already_absorbed	S-0039;S-0065;S-0066	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH14-CH15	boundary	already_absorbed	S-0001;S-0010	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH15-CH16	boundary	already_absorbed	S-0083;S-0084;S-0086;S-0087	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH16-CH17	boundary	already_absorbed	S-0040;S-0041;S-0042;S-0043	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH17-CH18	boundary	already_absorbed	S-0038;S-0052;S-0053;S-0055;S-0109	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH18-CH19	boundary	already_absorbed	S-0035;S-0037;S-0056;S-0057;S-0058	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH19-CH20	boundary	already_absorbed	S-0022;S-0048;S-0049;S-0050;S-0051	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
