"chapter"	"total"	"low"	"medium"	"high"	"main_gate"
"CH01"	"3"	"2"	"1"	"0"	"caption_render_review"
"CH02"	"1"	"1"	"0"	"0"	"render_proof"
"CH03"	"1"	"0"	"1"	"0"	"caption_render_review"
"CH04"	"1"	"0"	"1"	"0"	"caption_render_review"
"CH05"	"1"	"0"	"1"	"0"	"caption_render_review"
"CH06"	"3"	"0"	"1"	"2"	"screenshot_capture_or_replace"
"CH07"	"5"	"0"	"1"	"4"	"screenshot_capture_or_replace"
"CH08"	"4"	"0"	"4"	"0"	"caption_render_review"
"CH09"	"5"	"2"	"2"	"1"	"screenshot_capture_or_replace"
"CH10"	"5"	"1"	"2"	"2"	"screenshot_capture_or_replace"
"CH11"	"5"	"1"	"1"	"3"	"screenshot_capture_or_replace"
"CH12"	"6"	"1"	"3"	"2"	"screenshot_capture_or_replace"
"CH13"	"3"	"0"	"3"	"0"	"caption_render_review"
"CH14"	"6"	"2"	"1"	"3"	"photo_permission_or_replace"
"CH15"	"7"	"0"	"1"	"6"	"caption_render_review"
"CH16"	"9"	"3"	"2"	"4"	"photo_permission_or_replace"
"CH17"	"4"	"2"	"2"	"0"	"caption_render_review"
"CH18"	"5"	"2"	"2"	"1"	"screenshot_capture_or_replace"
"CH19"	"5"	"2"	"2"	"1"	"screenshot_capture_or_replace"
"CH20"	"5"	"2"	"2"	"1"	"screenshot_capture_or_replace"
"CH21"	"4"	"1"	"3"	"0"	"caption_render_review"
"CH22"	"4"	"0"	"4"	"0"	"caption_render_review"
"CH23"	"4"	"1"	"3"	"0"	"caption_render_review"
"CH24"	"4"	"2"	"2"	"0"	"caption_render_review"
