source_id	asset_slot	source_title	local_path	bytes	sha256	hash_date	raster_status	notes
S-0111	A-0044	Meta LLaMA launch page	assets/source_docs/meta/S-0111_llama-1-meta-ai-blog.html	193097	950EDFDA0F45B68F1D052D6E54AC952AD0E13A69776B3D653025A418C84D6A4C	2026-05-26	no_raster_committed	Wave 2 hash-records the local Meta launch source surface; open-source equivalence, current license, adoption, popularity, and safety claims remain blocked.
S-0112	A-0045	Meta Llama 3 launch page	assets/source_docs/meta/S-0112_meta-llama-3-blog.html	234202	5983308BA812DD719CB22C5DC6A5C3BEA571F9FDE431BFA832C0FEE598B8F3FE	2026-05-26	no_raster_committed	Wave 2 hash-records the local Llama 3 launch source surface; benchmark, adoption, ecosystem-size, and price-quality claims remain blocked.
S-0113	A-0046	Meta Llama 3.1 launch page	assets/source_docs/meta/S-0113_meta-llama-3-1-blog.html	234987	0F810FAAB0CAEE174BB90B246AA86125218FCD98DC9C13EBE3692C155BA6D574	2026-05-26	no_raster_committed	Wave 2 hash-records the local Llama 3.1 source surface; exact spec, context, license, and performance claims still need row extraction.
S-0114	A-0047	Meta Llama GitHub repository	assets/source_docs/meta/S-0114_meta-llama-github.html	334144	0D692FF9E63AE327ECF164A760CE7D70EF4024B1120D89459C001C28334ADE48	2026-05-26	no_raster_committed	Wave 2 hash-records the local GitHub source surface; mutable repository metrics and current repository state are not cutoff facts.
S-0026	A-0048	Qwen2 arXiv abstract page	assets/source_docs/china/S-0026_qwen2-arxiv-abs.html	56044	5DCC242357EE6FAFA545E31E0FB6B6248D1A9515850B502F5E41C2E07EA507FB	2026-05-26	no_raster_committed	Wave 2 hash-records the Qwen2 arXiv source surface for Chapter 11 provenance; it is not a benchmark chart.
S-0027	A-0049	Qwen3 arXiv abstract page	assets/source_docs/china/S-0027_qwen3-arxiv-abs.html	55594	302D7A6B6C4CC556A3C6DD1FDE20415EA922C99463E3D60CB09286A02E167C0B	2026-05-26	no_raster_committed	Wave 2 hash-records the Qwen3 arXiv source surface; Qwen 3.5/3.6 and live-rank claims remain blocked.
S-0029	A-0050	DeepSeek-R1 arXiv abstract page	assets/source_docs/china/S-0029_deepseek-r1-arxiv-abs.html	80029	0166B468D8D8650065CB9B8A72017B25EB51970FC948C2C59F5D4D66FE088171	2026-05-26	no_raster_committed	Wave 2 hash-records the DeepSeek-R1 arXiv surface; exact benchmark, cost, latency, and solved-reasoning claims remain blocked.
S-0028	A-0051	DeepSeek-V3 arXiv abstract page	assets/source_docs/china/S-0028_deepseek-v3-arxiv-abs.html	77968	FED22D7E672EE84B167125461ED980BA7997A4F844131F86038079197661B7C4	2026-05-26	no_raster_committed	Wave 2 hash-records the DeepSeek-V3 source surface; no DeepSeek V4-era inference is licensed.
S-0118	A-0052	Google Bard launch page	assets/source_docs/google_deepmind/S-0118_try-bard-google-blog.html	383407	B201A6D8FCFE0B82925F75D4EC35F3618D96E1FE42804CE58594B74309F3A27A	2026-05-26	no_raster_committed	Wave 2 hash-records the Bard product source surface; usage, product success, and search-share claims remain blocked.
S-0121	A-0053	Google Gemini launch page	assets/source_docs/google_deepmind/S-0121_google-gemini-ai-launch-blog.html	414889	2B04EC177E4CE357E5FD81E90004FE8145A02E9A0F8757878B5B77C9E7F3684C	2026-05-26	no_raster_committed	Wave 2 hash-records the Gemini launch source surface; benchmark crown, adoption, revenue, and current-rank claims remain blocked.
