check_id	gate_id	surface	evidence	result	decision	next_action
CH13RQA-001	CH13QA-001	manuscript/13-model-rankings-appendix.md	Pre-render text search shows exactly one `## Leaderboard Reading Sequence` heading before exactly one `## Ranking Sources To Use` heading.	text_order_pass	pdf_promotion_blocked	Confirm the same order in the first real PDF/page-spread render.
CH13RQA-002	CH13QA-002	manuscript/13-model-rankings-appendix.md	The live appendix instruction places A-0014 before A-0013 in the reading sequence and repeats that order in the chart plan.	text_order_pass	pdf_promotion_blocked	Render the spread and verify visual reading order, tab order, and no intervening material that makes A-0013 read first.
CH13RQA-003	CH13QA-003	manuscript/13-model-rankings-appendix.md	The condensed glossary appears before the A-0014 placement instruction and includes vote, config, split, category, rating, confidence interval, publication date, snapshot, and permission gate.	text_order_pass	pdf_promotion_blocked	Keep glossary immediately upstream of A-0014 in final layout.
CH13RQA-004	CH13QA-004	A-0014	`assets/visual_system/leaderboard-methodology-flow.svg` is 1400 by 860 with 18px minimum source text and 19px caveat text.	preflight_legibility_pass	pdf_promotion_blocked	Inspect final rendered size; reject if source/provenance or caveat labels are scaled below readable print size.
CH13RQA-005	CH13QA-005	A-0013	Appendix caption text names `text_style_control`, `latest`, `overall`, top twelve rows, published 2026-05-19, S-0080/SNAP-20260525-008, and uncertainty-overlap wording.	text_scope_pass	pdf_promotion_blocked	Confirm all scope language remains visible in the rendered caption or nearest source note.
CH13RQA-006	CH13QA-006	manuscript/13-model-rankings-appendix.md	The shared footnote is instructed to sit directly below A-0013 or in the nearest sidenote.	instruction_pass_render_unverified	pdf_promotion_blocked	Reject any PDF where the footnote is pushed past price, benchmark, or source-list material.
CH13RQA-007	CH13QA-007	manuscript/13-model-rankings-appendix.md	The prohibited-use note appears immediately after the A-0013 footnote instruction and before the price-quality handoff.	text_order_pass	pdf_promotion_blocked	Render QA must verify the note is visible before any price, benchmark, safety, latency, coding, or enterprise claims.
CH13RQA-008	CH13QA-008	manuscript/13-model-rankings-appendix.md	The appendix says any later price handoff needs a hard divider stating A-0013 is not a price-quality chart and C-0046 remains active.	text_guardrail_pass	pdf_promotion_blocked	Do not lay rank rows and provider prices on the same spread without the divider.
CH13RQA-009	CH13QA-009	manuscript/13-model-rankings-appendix.md	Prohibited shortcut phrases appear only inside the explicit negative-control sentence, not as captions, headings, or claims.	negative_control_pass	pdf_promotion_blocked	Run visual text extraction on the final PDF before approval.
CH13RQA-010	CH13QA-010	A-0013	`assets/visual_system/lmarena-may19-text-style-control-top12.svg` is 1400 by 900 with 20px minimum tiny text and 26px row labels.	preflight_legibility_pass	pdf_promotion_blocked	Inspect final rendered size; reject if row labels, uncertainty markers, source labels, or date labels blur or overlap.
CH13RQA-011	CH13QA-011	A-0013;A-0014	Asset manifest rows expose S-0080/SNAP-20260525-008 for A-0013 and S-0036/S-0056/S-0057/S-0080/SNAP-20260525-008 for A-0014.	provenance_pass	pdf_promotion_blocked	Keep abbreviated source handles in captions or adjacent source notes in final PDF.
CH13RQA-012	CH13QA-012	manuscript/13-model-rankings-appendix.md	No new rank, price, context-window, benchmark-superiority, release-status, safety, latency, coding, or enterprise-usefulness claim was added in this QA pass.	no_new_claim_pass	pdf_promotion_blocked	Create source/claim rows before any future layout text adds such claims.
