row_id	source_key	category	entity	metric_or_field	value	status	as_of_date	notes
MRM-001	MR-002	leaderboard	LMArena text leaderboard	top_text_rank_rows_available	html_captured	normalized_with_cutoff_pollution_caveat	2026-05-24	I-0024 normalized a conservative visible-order subset in data/lmarena_leaderboard_rows_i0024.tsv, but the captured HTML includes post-cutoff-looking model names; exact rank charts remain blocked under C-0045 pending clean cutoff capture or corroborating archive.
MRM-002	MR-002	leaderboard	LMArena overview	categories_text_code_vision_and_more	reported_on_page	support_pending	2026-05-24	Use text arena for LLM ranking; do not mix image/video arenas into LLM claim.
MRM-003	MR-003	methodology	LMArena	inclusion_policy_public_availability	policy_page_available	support_pending	2026-05-24	Use policy page to explain why some models appear or disappear.
MRM-004	MR-004	pricing	OpenAI API	alternate_official_docs_captured	post_cutoff_capture	normalized_with_cutoff_caveats	2026-05-25	I-0021 normalized visible OpenAI pricing rows in data/openai_pricing_rows_i0021.tsv, including post-cutoff exclusion examples; exact price-quality charts remain blocked by C-0046 until cutoff-day corroboration and same-scope joins exist.
MRM-005	MR-005	context	OpenAI GPT-4.1	context_window	1M tokens	supported_snapshot_note	2026-05-24	Search result says GPT-4.1 features a 1M token context window; verify page before charting.
MRM-006	MR-007	pricing	Gemini 2.5 Pro	paid_input_price_prompts_le_200k	$1.25 per 1M tokens	normalized_with_caveats	2026-05-24	I-0026 normalized standard and batch Gemini 2.5 Pro rows in data/provider_pricing_rows_i0026.tsv; exact price-quality charts remain blocked by C-0046 until same-scope rank joins exist.
MRM-007	MR-007	pricing	Gemini 2.5 Flash	paid_input_price_text_image_video	$0.30 per 1M tokens	normalized_with_caveats	2026-05-24	I-0026 normalized Gemini 2.5 Flash text/image/video rows in data/provider_pricing_rows_i0026.tsv; audio and batch semantics remain chart-scope caveats.
MRM-008	MR-007	pricing	Gemini 2.5 Flash	output_price_including_thinking	$2.50 per 1M tokens	normalized_with_caveats	2026-05-24	I-0026 normalized output rows in data/provider_pricing_rows_i0026.tsv; output includes thinking tokens per the captured table.
MRM-009	MR-006	pricing	Claude API	pricing_page_available	html_captured	normalized_with_caveats	2026-05-24	I-0026 normalized Claude Opus/Sonnet/Haiku candidate rows in data/provider_pricing_rows_i0026.tsv; cache-write premiums and deprecated/retired rows remain chart-scope caveats.
MRM-010	MR-008	pricing	xAI API	models_and_pricing_page_available	html_captured	normalized_with_caveats	2026-05-24	I-0026 normalized the visible Grok 4.3 input/output model-card prices in data/provider_pricing_rows_i0026.tsv; cache and batch fields were not visible in the captured section.
MRM-011	MR-009	model_docs	Mistral	model_docs_available	html_captured	model_docs_normalized_pricing_missing	2026-05-24	SNAP-20260524-006 captured local model-docs HTML; I-0026 records this as a no-pricing row and keeps Mistral blocked from price-quality charts until paired with official pricing/API billing evidence.
MRM-012	MR-010	benchmark	SWE-bench	real_github_issue_benchmark	available	supported	2026-05-24	Use as benchmark source with harness/version caveats.
MRM-013	MR-011	benchmark	LiveCodeBench	contamination_aware_code_eval	available	supported	2026-05-24	Use as benchmark caveat source.
