source_id	topic	source_title	source_type	local_status	chapter_permission	blocked_claims
S-0153	tokenization	Neural Machine Translation of Rare Words with Subword Units	arXiv abstract local capture	captured	Supports BPE/subword segmentation as a rare-word handling mechanism.	Blocks exact modern tokenizer behavior, model-specific vocabulary claims, and language-cost comparisons.
S-0154	tokenization	SentencePiece: A simple and language independent subword tokenizer and detokenizer	arXiv abstract local capture	captured	Supports language-independent/raw-text subword tokenizer framing.	Blocks claims that tokenization is language-neutral in practice or solves multilingual representation inequity.
S-0043	tokenization	tiktoken	GitHub local capture	existing_capture	Supports modern OpenAI tokenizer implementation anchor and token-ID explanation.	Blocks exact tokenizer/model quantitative behavior without extracted rows.
S-0155	web corpus	T5 / C4 paper	arXiv abstract local capture	captured	Supports C4 as a cleaned Common Crawl-derived corpus used for text-to-text transfer learning.	Blocks treating C4 or cleaned web data as morally, legally, or epistemically clean.
S-0156	web corpus	Documenting Large Webtext Corpora	arXiv abstract local capture	captured	Supports documentation/filtering/provenance critique of C4-style web corpora.	Blocks exact demographic/content-effect claims without row extraction.
S-0157	open dataset	The Pile	arXiv abstract local capture	captured	Supports The Pile as a documented 800GB diverse language-modeling dataset.	Blocks using The Pile as representative of proprietary frontier-model corpora.
S-0158	open dataset	Dolma	arXiv abstract local capture	captured	Supports modern open-corpus/OLMo data-transparency lane.	Blocks exact corpus composition comparisons without extraction.
S-0159	open dataset	FineWeb	Hugging Face dataset page local capture	captured	Supports FineWeb as a Common Crawl processing/curation source for LLM pretraining discussion.	Blocks exact quality, size, and downstream-performance claims without row extraction.
S-0160	deduplication	Deduplicating Training Data Makes Language Models Better	arXiv abstract local capture	captured	Supports duplication as a quality, memorization, and evaluation issue.	Blocks exact effect-size claims without row extraction.
S-0161	memorization	Extracting Training Data from Large Language Models	arXiv abstract local capture	captured	Supports training-data extraction and memorization risk framing.	Blocks model-specific leakage prevalence, legal conclusions, and product-safety claims.
S-0162	memorization	Quantifying Memorization Across Neural Language Models	arXiv abstract local capture	captured	Supports memorization as measurable and condition-dependent.	Blocks exact memorization-rate claims without row extraction.
S-0163	data curation	DataComp-LM	arXiv abstract local capture	captured	Supports data curation as a systematic comparison/evaluation object.	Blocks claims that any particular filtering recipe is best for all models or tasks.
