claim_id	claim	location	source_ids	support_quality	prose_permission	blockers
CH2Q-001	The Transformer proposed a sequence transduction architecture based on attention mechanisms, dispensing with recurrence and convolution in the core model.	manuscript/02-attention-catches-fire.md:The Break In The Loop	S-0002	primary paper	Allowed with source cue.	Do not claim the Transformer was the first attention model or that it alone caused later LLM products.
CH2Q-002	Scaled dot-product attention uses query, key, and value projections to compute attention weights and weighted value mixtures.	manuscript/02-attention-catches-fire.md:Attention Without The Metaphor	S-0002	primary paper	Allowed as simplified mechanism prose.	Do not imply the model has human intention or consciousness.
CH2Q-003	The Transformer uses self-attention inside encoder/decoder stacks, with masked self-attention in the decoder for autoregressive sequence generation.	manuscript/02-attention-catches-fire.md:Attention Without The Metaphor	S-0002	primary paper	Allowed with concise explanation.	Do not treat this as a full modern decoder-only LLM implementation description.
CH2Q-004	Multi-head attention lets the model learn multiple attention subspaces/patterns in parallel within a layer.	manuscript/02-attention-catches-fire.md:Many Heads, Many Relations	S-0002	primary paper	Allowed with source cue.	Do not assign stable human-interpretable functions to heads without a separate interpretability source.
CH2Q-005	The Google Research blog framed the Transformer as using self-attention to model dependencies without regard to their distance in input or output sequences.	manuscript/02-attention-catches-fire.md:Many Heads, Many Relations	S-0108	official Google Research commentary	Allowed as public framing with source cue.	Do not convert this into a claim that distance never matters computationally or behaviorally.
CH2Q-006	Because attention alone lacks order, the Transformer used positional encodings to inject sequence-order information.	manuscript/02-attention-catches-fire.md:Position: The Thing Attention Does Not Know	S-0002	primary paper	Allowed with source cue.	Do not imply all later LLMs use the exact same positional scheme.
CH2Q-007	Transformer blocks combine attention and feed-forward transformations with residual/layer-normalization structure and can be stacked as a reusable architecture grammar.	manuscript/02-attention-catches-fire.md:The Block As Industrial Object	S-0002	primary paper plus qualitative synthesis	Allowed qualitatively.	Do not claim every modern model preserves the original block unchanged.
CH2Q-008	The Transformer removal of recurrence made more parallel computation over sequence positions possible during training, helping the architecture fit accelerator-era scaling.	manuscript/02-attention-catches-fire.md:Parallelism As Plot	S-0002;S-0108	primary paper plus official commentary	Allowed as qualitative infrastructure bridge.	Do not claim parallelism alone explains dominance or later product success.
CH2Q-009	GPT-1, GPT-2, and GPT-3 belong to the later generative Transformer lineage and should be treated as downstream chapter facts, not as claims licensed only by the Transformer paper.	manuscript/02-attention-catches-fire.md:The Block As Industrial Object	S-0011;S-0013;S-0004	cross-chapter source cues	Allowed only as handoff framing.	Do not expand into GPT benchmark, parameter, or release claims in Chapter 2 without row-specific extraction.
CH2Q-010	The chapter queues three diagrams: annotated Transformer block, recurrence-versus-self-attention comparison, and optional model-stack view.	manuscript/02-attention-catches-fire.md:The Diagrams The Reader Needs	data/chapter2_transformer_diagram_queue_i0093.tsv	local visual plan	Allowed as visual queue.	No visual is counted as created until an asset manifest row and actual SVG/diagram exist.
CH2Q-011	The chapter's humility section blocks claims that the Transformer solved truth, grounding, memory, hallucination, prompt injection, long-context cost, or faithful explainability through attention weights.	manuscript/02-attention-catches-fire.md:What The Transformer Did Not Solve	S-0002;S-0108	negative-control claim audit	Allowed as blocker prose.	Do not remove during polish unless equivalent limitations stay visible.
CH2Q-012	The chapter explains the bridge from the original encoder-decoder Transformer to decoder-style autoregressive GPT language modeling without treating the original paper as a chatbot paper.	manuscript/02-attention-catches-fire.md:The Decoder Turn	S-0002;S-0011;S-0013;S-0004	cross-source architecture-to-lineage bridge	Allowed as qualitative bridge.	Keep detailed GPT chronology, parameters, benchmarks, and product claims in Chapter 5 unless separately audited.
CH2Q-013	The chapter defines the Transformer as an LLM substrate because it combined relational context, modular blocks, accelerator-friendly parallelism, and natural fit with pretraining recipes.	manuscript/02-attention-catches-fire.md:Why This Became A Substrate	S-0002;S-0108;S-0011	synthesis from primary paper, official commentary, and GPT-1 source	Allowed as qualitative synthesis.	Do not claim eternal dominance or that hardware alone selected the architecture.
