claim_id	status	claim	chapter_use	support	blocker_or_note
CH12FR-001	supported	Mistral 7B can be used as evidence for Mistral's efficient small-model/open-weight strategy.	Prose uses it as strategic signal, not as a universal superiority claim.	S-0145	Exact benchmark comparisons require row extraction.
CH12FR-002	supported	Mixtral can be used to explain sparse mixture-of-experts routing and the active-expert compute bargain.	Prose explains MoE qualitatively.	S-0146	Exact routing, speed, memory, or benchmark values remain blocked.
CH12FR-003	supported	Mistral Medium 3 can be described as Mistral-attributed frontier-class multimodal and enterprise/deployment positioning.	Prose attributes positioning to Mistral.	S-0147	Do not convert into neutral performance or adoption proof.
CH12FR-004	needs-verification	Mistral had a superior price-performance frontier or large enterprise adoption by the cutoff.	Prose blocks this claim explicitly.	S-0147;C-0046	Needs same-scope benchmark, pricing, billing, customer, and usage evidence.
CH12FR-005	supported	Grok-1's official open release supports a narrow xAI open-weight/base-checkpoint lane.	Prose names the local 403 caveat and avoids quotation.	S-0148	Needs durable local/archive capture before final quotation.
CH12FR-006	supported	Grok 3 can be narrated as xAI-attributed compute/reasoning positioning tied to Colossus and Think modes.	Prose keeps xAI claims vendor-attributed.	S-0149	Needs durable local/archive capture before final quotation.
CH12FR-007	needs-verification	xAI had independent best-model, truthfulness, benchmark-rank, or adoption leadership by the cutoff.	Prose blocks these claims.	S-0149;C-0046	Requires independent benchmark and adoption evidence.
CH12FR-008	supported	Cohere Command A supports an enterprise-native lane around RAG, tools, agents, multilingual use, platform access, and research availability.	Prose uses it for strategy and workflow framing.	S-0150	Productivity, adoption, and independent benchmark claims remain blocked.
CH12FR-009	supported	Cohere Aya supports multilingual coverage as a frontier dimension beyond English-heavy benchmark ladders.	Prose uses it to widen the frontier frame.	S-0151	Universal multilingual quality and impact claims remain blocked.
CH12FR-010	supported	AI21 Jamba 1.5 supports architecture diversity through hybrid SSM-Transformer long-context positioning.	Prose uses it as a contestable architecture lane.	S-0152	Speed, long-context superiority, and benchmark claims remain vendor-attributed/blockable.
CH12FR-011	supported	The Anthropic/Claude sidecar is valuable but unplaced against the official Chapter 12 outline slot.	Prose includes explicit reconciliation and keeps sidecar intact.	C-0133;manuscript/12-anthropic-and-claude-spine-section.md	Final book build still needs an outline-to-file map.
