"figure_id"	"chapter"	"chapter_anchor"	"selected_rank"	"asset_id"	"asset_type"	"figure_title"	"final_role"	"planned_status"	"rights_status"	"source_ids"	"manifest_file_path"	"alt_text"	"caption_gate"	"provenance_gate"	"next_gate"
"F01.01"	"CH01"	"ch01-fig01"	"001"	"A-0068"	"svg_diagram"	"ChatGPT Shock Chronology"	"opener chronology"	"selected_pending_render"	"ready_svg"	"S-0006;S-0092;S-0098;S-0102"	"assets/visual_system/chapter1-chatgpt-shock-chronology.svg"	"F01.01: ChatGPT Shock Chronology. Shows opener chronology. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Render in full-book opener spread."
"F01.02"	"CH01"	"ch01-fig02"	"002"	"A-0069"	"svg_diagram"	"From Prompt to Answer, One Token at a Time"	"mechanism bridge"	"selected_pending_render"	"ready_svg"	"S-0004;S-0005;S-0006;S-0014;S-0043"	"assets/visual_system/chapter1-token-to-answer-schematic.svg"	"F01.02: From Prompt to Answer, One Token at a Time. Shows mechanism bridge. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Check mobile/print legibility."
"F01.03"	"CH01"	"ch01-fig03"	"003"	"A-0070"	"svg_diagram"	"Local Alarms: First Institutional Response Chronology"	"local response texture"	"selected_pending_render"	"ready_svg"	"S-0093;S-0094;S-0096;S-0097"	"assets/visual_system/chapter1-institutional-response-chronology.svg"	"F01.03: Local Alarms: First Institutional Response Chronology. Shows local response texture. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Keep only if prose placement stays tight."
"F02.01"	"CH02"	"ch02-fig01"	"004"	"A-0115"	"svg_diagram"	"The Bottleneck Before The Breakthrough"	"pre-Transformer pressure chain"	"selected_pending_render"	"ready_svg"	"S-0002;S-0104;S-0105;S-0106;S-0107"	"assets/visual_system/chapter2-pre-transformer-bottleneck-map.svg"	"F02.01: The Bottleneck Before The Breakthrough. Shows pre-Transformer pressure chain. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Trace final caption to paper-source rows."
"F03.01"	"CH03"	"ch03-fig01"	"005"	"A-0116"	"svg_diagram"	"Attention Is A Mixing Operation, Not A Mind"	"self-attention mechanism"	"selected_pending_render"	"ready_svg"	"S-0002;S-0108"	"assets/visual_system/chapter3-self-attention-information-flow.svg"	"F03.01: Attention Is A Mixing Operation, Not A Mind. Shows self-attention mechanism. Source and blocker notes remain required at placement."	"caption_long"	"provenance_contract_ok"	"Add exact Transformer-figure provenance before final art."
"F04.01"	"CH04"	"ch04-fig01"	"006"	"A-0117"	"svg_diagram"	"Loss Is A Map, Not A Product Guarantee"	"scaling evidence lanes"	"selected_pending_render"	"ready_svg"	"S-0003;S-0004;S-0015;S-0016"	"assets/visual_system/chapter4-scaling-evidence-lane-chart.svg"	"F04.01: Loss Is A Map, Not A Product Guarantee. Shows scaling evidence lanes. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Verify plotted-value exclusions in final caption."
"F05.01"	"CH05"	"ch05-fig01"	"007"	"A-0010"	"svg_diagram"	"From Pretraining To The Cursor"	"GPT lineage anchor"	"selected_pending_render"	"ready_svg"	"local:data/gpt_lineage_visual_table.tsv"	"assets/visual_system/gpt-lineage-table.svg"	"F05.01: From Pretraining To The Cursor. Shows GPT lineage anchor. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Check against Chapter 19 overlap."
"F06.01"	"CH06"	"ch06-fig01"	"008"	"A-0011"	"svg_diagram"	"Alignment As A Product Stack"	"alignment mechanism"	"selected_pending_render"	"ready_svg"	"local:data/rlhf_alignment_pipeline_i0023.tsv"	"assets/visual_system/rlhf-alignment-pipeline.svg"	"F06.01: Alignment As A Product Stack. Shows alignment mechanism. Source and blocker notes remain required at placement."	"caption_long;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Pair with one source surface, not more diagrams."
"F06.02"	"CH06"	"ch06-fig02"	"009"	"A-0121"	"screenshot_slot"	"ChatGPT Product Surface"	"ChatGPT product surface"	"selected_pending_capture"	"private_capture_needed"	"S-0006"	"assets/private_use_screenshots/i0180/A-0121_chatgpt_launch_product_surface.png"	"F06.02: ChatGPT Product Surface. Shows ChatGPT product surface. Source and blocker notes remain required at placement."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture screenshot/hash; rights review."
"F06.03"	"CH06"	"ch06-fig03"	"010"	"A-0122"	"screenshot_slot"	"ChatGPT Plus Productization Surface"	"Plus productization surface"	"selected_pending_capture"	"private_capture_needed"	"S-0078;S-0089"	"assets/private_use_screenshots/i0180/A-0122_chatgpt_plus_product_surface.png"	"F06.03: ChatGPT Plus Productization Surface. Shows Plus productization surface. Source and blocker notes remain required at placement."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture screenshot/hash; strict caption."
"F07.01"	"CH07"	"ch07-fig01"	"011"	"A-0016"	"svg_diagram"	"ChatGPT: From Interface Event To Business Surface"	"ChatGPT business timeline"	"selected_pending_render"	"ready_svg"	"S-0006;S-0014;S-0044;S-0045;S-0046;S-0077;S-0078;S-0079;S-0089;S-0090"	"assets/visual_system/chatgpt-interface-business-timeline.svg"	"F07.01: ChatGPT: From Interface Event To Business Surface. Shows ChatGPT business timeline. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Retain blocked adoption lane."
"F07.02"	"CH07"	"ch07-fig02"	"012"	"A-0036"	"screenshot_slot"	"ChatGPT launch surface"	"ChatGPT launch surface"	"selected_pending_capture"	"private_capture_needed"	"S-0006"	"assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png"	"F07.02: ChatGPT launch surface. Shows ChatGPT launch surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash or use archival fallback."
"F07.03"	"CH07"	"ch07-fig03"	"013"	"A-0037"	"screenshot_slot"	"ChatGPT Plus conversion"	"ChatGPT Plus surface"	"selected_pending_capture"	"private_capture_needed"	"S-0078"	"assets/private_use_screenshots/i0112/A-0037_chatgpt_plus_page.png"	"F07.03: ChatGPT Plus conversion. Shows ChatGPT Plus surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Choose one of A-0037/A-0122 in final layout."
"F07.04"	"CH07"	"ch07-fig04"	"014"	"A-0038"	"screenshot_slot"	"ChatGPT Enterprise launch surface"	"Enterprise surface"	"selected_pending_capture"	"private_capture_needed"	"S-0079"	"assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png"	"F07.04: ChatGPT Enterprise launch surface. Shows Enterprise surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; block productivity and customer outcomes."
"F07.05"	"CH07"	"ch07-fig05"	"015"	"A-0039"	"screenshot_slot"	"ChatGPT plugins surface"	"plugins surface"	"selected_pending_capture"	"private_capture_needed"	"S-0044"	"assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png"	"F07.05: ChatGPT plugins surface. Shows plugins surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; block ecosystem adoption."
