pass_id	chapter	technical_category	source_audit_file	audit_row_id	raw_status	technical_claim	source_ids	claim_guardrail_refs	evidence_field	blocked_or_caveat_field	fact_check_verdict	i0268_decision
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-001	primary paper	The Transformer proposed a sequence transduction architecture based on attention mechanisms, dispensing with recurrence and convolution in the core model.	S-0002		Allowed with source cue.	Do not claim the Transformer was the first attention model or that it alone caused later LLM products.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-002	primary paper	Scaled dot-product attention uses query, key, and value projections to compute attention weights and weighted value mixtures.	S-0002		Allowed as simplified mechanism prose.	Do not imply the model has human intention or consciousness.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-003	primary paper	The Transformer uses self-attention inside encoder/decoder stacks, with masked self-attention in the decoder for autoregressive sequence generation.	S-0002		Allowed with concise explanation.	Do not treat this as a full modern decoder-only LLM implementation description.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-004	primary paper	Multi-head attention lets the model learn multiple attention subspaces/patterns in parallel within a layer.	S-0002		Allowed with source cue.	Do not assign stable human-interpretable functions to heads without a separate interpretability source.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-005	official Google Research commentary	The Google Research blog framed the Transformer as using self-attention to model dependencies without regard to their distance in input or output sequences.	S-0108		Allowed as public framing with source cue.	Do not convert this into a claim that distance never matters computationally or behaviorally.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-006	primary paper	Because attention alone lacks order, the Transformer used positional encodings to inject sequence-order information.	S-0002		Allowed with source cue.	Do not imply all later LLMs use the exact same positional scheme.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-007	primary paper plus qualitative synthesis	Transformer blocks combine attention and feed-forward transformations with residual/layer-normalization structure and can be stacked as a reusable architecture grammar.	S-0002		Allowed qualitatively.	Do not claim every modern model preserves the original block unchanged.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-008	primary paper plus official commentary	The Transformer removal of recurrence made more parallel computation over sequence positions possible during training, helping the architecture fit accelerator-era scaling.	S-0002;S-0108		Allowed as qualitative infrastructure bridge.	Do not claim parallelism alone explains dominance or later product success.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-009	cross-chapter source cues	GPT-1, GPT-2, and GPT-3 belong to the later generative Transformer lineage and should be treated as downstream chapter facts, not as claims licensed only by the Transformer paper.	S-0011;S-0013;S-0004		Allowed only as handoff framing.	Do not expand into GPT benchmark, parameter, or release claims in Chapter 2 without row-specific extraction.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-010	local visual plan	The chapter queues three diagrams: annotated Transformer block, recurrence-versus-self-attention comparison, and optional model-stack view.			Allowed as visual queue.	No visual is counted as created until an asset manifest row and actual SVG/diagram exist.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-011	negative-control claim audit	The chapter's humility section blocks claims that the Transformer solved truth, grounding, memory, hallucination, prompt injection, long-context cost, or faithful explainability through attention weights.	S-0002;S-0108		Allowed as blocker prose.	Do not remove during polish unless equivalent limitations stay visible.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-012	cross-source architecture-to-lineage bridge	The chapter explains the bridge from the original encoder-decoder Transformer to decoder-style autoregressive GPT language modeling without treating the original paper as a chatbot paper.	S-0002;S-0011;S-0013;S-0004		Allowed as qualitative bridge.	Keep detailed GPT chronology, parameters, benchmarks, and product claims in Chapter 5 unless separately audited.	supported	allowed as bounded technical prose with source cue
I-0268	02-03	architecture	data/chapter2_transformer_claim_audit_i0093.tsv	CH2Q-013	synthesis from primary paper, official commentary, and GPT-1 source	The chapter defines the Transformer as an LLM substrate because it combined relational context, modular blocks, accelerator-friendly parallelism, and natural fit with pretraining recipes.	S-0002;S-0108;S-0011		Allowed as qualitative synthesis.	Do not claim eternal dominance or that hardware alone selected the architecture.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-001	primary paper	Kaplan et al. studied language-model performance as a function of model size, dataset size, and compute, finding power-law-like trends over measured ranges.	S-0003		Allowed qualitatively with source cue.	Do not add exact exponents or reproduce plotted values until extracted.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-002	claim-control synthesis	The chapter separates measured loss/performance claims from modeled extrapolation and industry interpretation.	S-0003;S-0015		Allowed as framing.	Do not present forecastable loss as forecastable truth, safety, or product success.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-003	primary GPT-3 paper	GPT-3 is used as a bounded example of a large autoregressive Transformer emphasizing in-context few-shot, one-shot, and zero-shot task behavior.	S-0004		Allowed as qualitative bridge.	Do not add parameter counts, benchmark values, or API/product claims without separate rows.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-004	primary paper	Hoffmann et al. argued that compute-optimal training requires balancing model size and training data, and that some large models had been undertrained relative to that compute-optimal perspective.	S-0015		Allowed qualitatively with source cue.	Do not state a universal token/parameter ratio or exact formula until extracted.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-005	primary PaLM paper	PaLM is used only as a bounded example of scaling-era infrastructure/model strategy inside Google, not as a full benchmark or product-history claim.	S-0016		Allowed as limited institutional example.	Keep detailed Google/PaLM results for Chapter 9 unless separately audited.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-006	negative-control prose tied to scaling/GPT-3 sources	The chapter treats emergence language as a temptation requiring exact benchmark and metric support before drawing threshold or cliff claims.	S-0004;S-0003		Allowed as blocker language.	Do not add emergence threshold charts without a later source pack.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-007	local chart plan	The chapter queues three visuals: loss-scaling schematic, compute/data/parameter triangle, and scaling-claim permission map.			Allowed as chart queue.	Do not increment chart count until actual assets and provenance rows exist.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-008	negative-control synthesis	The chapter's final limits section blocks claims that scaling automatically buys truth, provenance, safe tool use, human-like memory, data rights, cheap inference, physical infrastructure, or user trust.	S-0003;S-0015;S-0004		Allowed as guardrail.	Do not remove during polish unless equivalent limits remain visible.	supported	allowed as bounded technical prose with source cue
