strip_id	chapter	chapter_title	date_span	anchor_events	source_ids_or_assets	strip_role	blocked_claims	render_gate
TL-01	1	The Shock	2022-11 to 2023-02	ChatGPT launch; one-million-user signal; early named institutional responses	S-0006;S-0092;S-0093;S-0094;S-0096;S-0097;A-0068;A-0070	Open with public interface shock and local procedure reactions.	fastest-growing-app slogan; OpenAI-confirmed 100M users; broad panic; paid users; revenue	Use A-0068 as main opener; timeline strip should not duplicate all metric detail.
TL-02	2	Before The Transformer	2003 to 2014	Neural language model pressure; word vectors; sequence-to-sequence bottleneck	S-0104;S-0105;S-0106;A-0160;A-0161;A-0162	Show pre-Transformer pressure chain.	first invention; human-like semantics; modern LLM capability; complete history	Keep as sparse prehistory strip, not an encyclopedia.
TL-03	3	Attention Catches Fire	2014 to 2017	Attention mechanisms; Transformer paper and commentary	S-0107;S-0002;S-0108;A-0163;A-0164	Turn recurrence bottleneck into attention/Transformer pivot.	sole invention; immediate dominance; complete architecture lineage	Page refs for canonical papers required before final caption.
TL-04	4	The Scaling Bet	2020 to 2022	Scaling laws; compute-optimal training; data/compute balance	S-0003;S-0015;S-0190;A-0165;A-0166	Show scale as empirical program with caveats.	universal scaling law; costless scaling; one-lab priority; solved data balance	Use caveat band for scope and extrapolation.
TL-05	5	GPT-1 To GPT-3	2018 to 2021	GPT lineage; GPT-2 staged release; GPT-3 few-shot; Codex/Copilot bridge	S-0012;S-0004;S-0070;A-0209;A-0167	Connect model scaling to API/code distribution.	actual misuse prevalence; hidden architecture; productivity; developer replacement	Separate research release dates from product distribution.
TL-06	6	Alignment Enters Product	2022 to 2024	InstructGPT/RLHF; instruction-following post; Model Spec; GPT-4/4o system cards	S-0014;S-0074;S-0075;S-0076;S-0077;A-0210	Show assistant behavior as engineered boundary.	safety success; solved alignment; complete disclosure; universal helpfulness	Use system-card caveat motif, not certificate language.
TL-07	7	ChatGPT Interface Event	2022 to 2024	ChatGPT launch; Plus; plugins/GPTs/Enterprise/GPT-4o as product surfaces	S-0006;S-0078;S-0089;S-0044;S-0045;S-0046;A-0016;A-0208	Show interface becoming product/platform sequence.	adoption; revenue; productivity; current UI; market share	Keep release-note/source-surface dates visible.
TL-08	8	Microsoft/OpenAI Cloud Bargain	2019 to 2023	OpenAI/Microsoft partnership; Azure supercomputer; extended partnership; Copilot distribution	S-0041;S-0047;S-0126;S-0132;A-0056	Show capacity, distribution, and governance bargain.	revenue; search-share impact; enterprise ROI; productivity; workload volume	Use separate lanes for capacity and product distribution.
TL-09	9	Google, DeepMind, Gemini	2017 to 2024	Transformer origins; Gemini launch; product/developer conversion surfaces	S-0002;S-0121;S-0120;A-0086;A-0212	Show research giant converting research into product family.	benchmark crown; adoption; Search outcome; Workspace productivity; model-card completeness	Mutable model-card caveat must be visible.
TL-10	10	Meta And Llama	2023 to 2025	Llama 2; Code Llama; Llama 3; Llama 3.1; Llama 4 surface	S-0023;S-0025;S-0024;S-0112;S-0113;S-0008;A-0030;A-0213	Show open-weight release cadence and user burden.	open-source legal equivalence; adoption; ecosystem dominance; safety; benchmark superiority	Distinguish model, license/access, and repository burden.
