sample_id	figure_id	asset_id	family	manifest_file_path	planned_status	smoke_role	expected_risk	smoke_result	next_gate
RSS-001	F01.02	A-0069	svg_mechanism	assets/visual_system/chapter1-token-to-answer-schematic.svg	selected_pending_render	Basic mechanism SVG at half-page width.	Token labels and source line may shrink at trim.	pass_static_sample	Book-trim page-image proof.
RSS-002	F03.01	A-0116	dense_svg_mechanism	assets/visual_system/chapter3-self-attention-information-flow.svg	selected_pending_render	Dense architecture SVG with caption_long gate.	Small labels and long caption compete for page space.	warn_caption_length	Short-caption variant and page-image proof.
RSS-003	F13.02	A-0013	svg_chart	assets/visual_system/lmarena-historical-top20.svg	selected_pending_render	Leaderboard/chart family sample.	Rank rows need methodology/source note nearby or the chart overclaims.	warn_source_note_proximity	Add methodology footnote and render proof.
RSS-004	F15.03	A-0027	svg_claim_card	assets/visual_system/gtc-page49-system-comparison-card.svg	selected_pending_render	GTC claim-card sample.	Attribution and blocked-claim text must remain legible.	warn_small_caveat_text	Page-image proof at final trim.
RSS-005	F15.06	A-0004	extracted_slide_render	assets/gtc_2026/slides/page-029-ai-factories.png	selected_pending_source_surface_review	Raw slide render/source-surface sample.	Private-use raster is ignored; crop, rights, and small-type review remain unresolved.	fail_not_publication_ready	Crop/rights/source-note review before layout.
RSS-006	F07.02	A-0036	screenshot_slot	assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png	selected_pending_capture	Product screenshot placeholder.	Selected slot lacks committed/certified capture proof for final page use.	fail_capture_needed	Capture with viewport/hash/rights note.
RSS-007	F11.05	A-0050	source_screenshot_slot	assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png	selected_pending_capture	Source screenshot placeholder.	Needs crop and quote-limit review before page placement.	fail_capture_needed	Capture/crop/source-note proof.
RSS-008	F16.06	A-0137	photo_candidate_slot	assets/photo_candidates/i0181/A-0137_data_center_hall_candidate.txt	selected_pending_rights_review	Photo candidate placeholder.	Rights, attribution, and exact file revision not cleared.	fail_rights_review_needed	Rights triage and replacement decision.
RSS-009	reserve	A-0208	svg_source_card	assets/visual_system/source-card-chatgpt-waiting-room-i0222.svg	reserve_source_card	Source-card family sample outside selected-100.	Source cards need page proof before replacing weak screenshot slots.	warn_not_selected_100	Selection decision plus render proof.
RSS-010	F22.04	A-0085	dense_blocker_grid	assets/visual_system/chapter22-margin-roi-blocker-grid.svg	selected_pending_render	Dense blocker-grid economics sample.	Useful negative-control visual may become tiny ledger apparatus.	warn_density_risk	A/B against A-0224 and page proof.
