blocker_id	applies_to	blocked_inference	why_blocked	required_same_scope_evidence
MPB-0180-001	all product screenshots	adoption or usage scale	A screenshot proves a source surface existed or was presented, not how many people used it.	Date-bounded usage metric from the product owner or audited third party, with population and geography.
MPB-0180-002	Plus; Enterprise; Copilot; Claude; Cursor	revenue, ARR, or margin	Product pages and announcements do not expose recognized revenue, costs, retention, or margins.	Financial filing, audited segment disclosure, or sourced analyst estimate explicitly tied to the product and period.
MPB-0180-003	Copilot; Claude Code; Codex; Cursor; ChatGPT	productivity improvement	Marketing screenshots and demos do not measure worker output, quality, or time saved under controlled conditions.	Study or telemetry with task, baseline, sample, metric, selection effects, and date.
MPB-0180-004	all product screenshots	market share or category leadership	Visible interface polish is not market penetration, seat share, usage share, or developer mindshare.	Comparable market-share dataset with methodology, category definition, and period.
MPB-0180-005	API docs; tools; plugins; agents	current feature behavior	Dynamic docs and pages can change after capture, and screenshots freeze only one access moment.	Archived doc hash, version/date, exact endpoint or feature route, and release-note corroboration.
MPB-0180-006	Claude; ChatGPT; Gemini; Copilot	safety, privacy, or security effectiveness	Policy and product surfaces are vendor claims unless tested by independent or operational evidence.	System card, audit, incident data, red-team report, or evaluation with scope and limits.
MPB-0180-007	Codex; Claude Code; Cursor; Copilot	autonomy or developer replacement	Coding interfaces can show assistance loops without proving unsupervised software delivery.	Task-level agent study with permissions, tests, human review, failure modes, and deployment context.
MPB-0180-008	benchmarked product pages	model rank or intelligence	Product pages often combine demos, names, and selective metrics; they do not normalize benchmark scaffolds.	Benchmark record with model version, date, scaffold, tools, sample budget, contamination controls, and metric.
MPB-0180-009	consumer and enterprise surfaces	customer deployment success	Named products or screenshots do not prove successful production rollout or customer value.	Customer case evidence with deployment scope, baseline, outcomes, and independent corroboration where possible.
MPB-0180-010	all screenshot slots	publication rights	A private-use screenshot slot is not publication clearance.	Rights review, fair-use rationale, license, or replacement with original/redrawn exhibit.
