scene_id	chapter	mode	source_ids	scene_words	status	scene_text
SCN-0275-000	CH01	public person signal	S-0092	74	already_present	The public person in this scene is visible only through a public post, and that limit is useful. Altman's one-million-users note can show how quickly the launch became a founder-level signal, but it cannot become a private window into OpenAI's mood, retention, revenue, or strategy. The book gets texture from the timestamp and the ambiguity together: a named executive, a startling number, and a metric that still has to be handled with gloves. [S-0092]
SCN-0275-001	CH04	lab decision	S-0016	63	already_present	A paper like PaLM is therefore also a public trace of an institution making a bet. It turns a lab's internal appetite for scale into a reproducible artifact: authors, model size, training system, benchmark tables, and caveats arranged so other researchers can argue with the claim. The scene is not a secret meeting; it is a technical report becoming a strategy document. [S-0016]
SCN-0275-002	CH05	product surface	S-0070	76	already_present	That public product surface gives the chapter a human scale without inventing a private user. The developer in the evidence is any developer looking at a file in VS Code, deciding whether the ghostly suggestion belongs in the project. The drama is small and repeatable: accept, edit, reject, run, debug. A language model entered software work not as a person with judgment, but as a new interruption at the exact place judgment was already required. [S-0070]
SCN-0275-003	CH06	human labor	S-0014;S-0074	70	already_present	This is one of the book's quiet human scenes. Not the mythic founder onstage, but a labeler comparing answers, writing a better one, or ranking which response better matched the task. The public documents do not give private biography, and the chapter should not invent it. They do show that assistant behavior was shaped through many small acts of judgment before the public saw a single fluent reply. [S-0014] [S-0074]
SCN-0275-004	CH07	launch surface	S-0006;S-0092	61	already_present	The launch scene the evidence permits is austere: an official post, a product name, a chat box, and users discovering that the machine would answer back in paragraphs. No private war room is needed. The public surface carries enough tension because the invitation was so ordinary. Try it. Ask. Revise. Wonder whether the answer was useful, wrong, or both. [S-0006] [S-0092]
SCN-0275-005	CH08	strategic decision	S-0125;S-0126	63	already_present	That is the public decision scene: not a consumer spectacle, but a cloud company and a model lab naming each other before the market knew what to call the category. The document lets the reader see two organizations choosing dependency early. OpenAI needed scale it could not casually rent; Microsoft needed a frontier workload that could make Azure feel strategically distinct. [S-0125] [S-0126]
SCN-0275-006	CH10	release artifact	S-0025;S-0111;S-0112	71	already_present	The open-weight scene is a release artifact meeting a builder. A model card, a repository, a license, and weights do not have the romance of a keynote, but they change who can touch the system. The character is not a single heroic user; it is the adopter who now has to download, host, evaluate, fine-tune, secure, and explain what the release made possible and what it left unfinished. [S-0025] [S-0111] [S-0112]
SCN-0275-007	CH12	lab identity	S-0019	62	already_present	The public texture here is written, almost bureaucratic, and that is why it matters. Anthropic made principles part of the training story, turning assistant behavior into something that could be argued over in documents rather than hidden entirely inside weights. The human drama is not a cinematic rescue; it is a lab trying to make behavior legible enough to become identity. [S-0019]
SCN-0275-008	CH15	stagecraft	S-0001;S-0206	70	already_present	GTC gives the book a public stage without pretending the stage is neutral. NVIDIA's deck can show how the company wanted the world to see the transition: systems, roadmaps, partners, and the AI-factory frame arranged as an industrial story. The reader should feel the salesmanship and the constraint at the same time. A slide can announce a frame; a grid connection has to survive physics, capital, and time. [S-0001] [S-0206]
SCN-0275-008B	CH15	public stage person	S-0001;S-0206	74	already_present	Jensen Huang belongs here as a public stage figure, not as an invented inner life. NVIDIA's own event framing made the CEO and the keynote part of the evidence surface: the company was not merely publishing specifications; it was asking customers, partners, investors, and governments to imagine accelerated computing as industrial infrastructure. The character work is therefore rhetorical and public: who gets to name the factory, and who has to build it? [S-0001] [S-0206]
SCN-0275-009	CH20	repository work	S-0048;S-0050;S-0051	66	already_present	The scene is not the agent magically writing software alone. It is a developer at a terminal deciding how much authority to grant: read this file, inspect that error, edit this branch, run that test, stop before touching the dangerous command. The documentation makes the drama procedural, which is exactly the point. Agency becomes a permissions interface before it becomes a productivity story. [S-0048] [S-0050] [S-0051]
SCN-0275-010	CH24	trust scene	S-0005;S-0056;S-0057	62	already_present	The final human scene is the reader doing verification. A confident answer, a system card, a benchmark row, a price table, or a roadmap slide all ask for belief. The book's job is to slow that belief down without killing curiosity: who said this, what did they measure, what did they omit, and what would make the claim false? [S-0005] [S-0056] [S-0057]
