pass_id	gallery_id	surface_family	chapter_range	asset_id	asset_type	source_title	file_path	file_exists	sha256	story_purpose	source_url_or_path	rights_or_private_use_note	blocked_claims
I-0297	SS-PAPER-01	paper_report_excerpt	CH02-CH05	A-0285-001	paper_report_excerpt	Attention Is All You Need	assets/papers/i0285_cards/paper-0285-001-attention-is-all-you-need.svg	yes	eb7b0e8375540bce9526d5270bf23408279835eb8a07165b23c4b08e4401e284	Shows the Transformer source surface without turning attention into mind.	https://arxiv.org/pdf/1706.03762	private_use_source_surface_page_render; source page render hash ca6d785b054b4e8679f74de194bc2a47b7c44100a782b72df73e6ed3d9e765e9; blocked claims: Does not prove modern implementation details, intention, truth, or later LLM behavior.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-01	paper_report_excerpt	CH02-CH05	A-0285-002	paper_report_excerpt	Improving Language Understanding by Generative Pre-Training	assets/papers/i0285_cards/paper-0285-002-improving-language-understanding-by-generative-pre-training.svg	yes	03404b3d3f3769037bce4e1100f8bcc74aa71e87b6bf1bdb9977c6c2b9451fbd	Anchors GPT-1 as transfer/pretraining evidence.	https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf	private_use_source_surface_page_render; source page render hash 910a795503814950b19cb7910d50be44e77434c4bbb36682c30d77060ead4a39; blocked claims: Does not prove ChatGPT, GPT-3, or broad product capability.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-01	paper_report_excerpt	CH02-CH05	A-0285-003	paper_report_excerpt	Language Models are Unsupervised Multitask Learners	assets/papers/i0285_cards/paper-0285-003-language-models-are-unsupervised-multitask-learners.svg	yes	6de0ab147768f9a07c092f4376652cb8236e164c8297fbd17003eb3cbaea09eb	Gives GPT-2 a visible source page for release and scaling prose.	https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf	private_use_source_surface_page_render; source page render hash ba652f6340d787315c3b21b7a5d6f9feb44525a53bb9b1a7915890ed121aa756; blocked claims: Does not prove misuse prevalence, deployment outcomes, or current model rank.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-01	paper_report_excerpt	CH02-CH05	A-0285-004	paper_report_excerpt	Language Models are Few-Shot Learners	assets/papers/i0285_cards/paper-0285-004-language-models-are-few-shot-learners.svg	yes	daebdf151a6080902a9c500e041fb8be0cb7785ed2ce61ff6bd9a2bbf301f198	Anchors the prompting/API turn in a primary paper surface.	https://arxiv.org/pdf/2005.14165	private_use_source_surface_page_render; source page render hash 567d4bf49fb44f279483b8f2340ddb50c5d53fd631e0b95203772006707e0922; blocked claims: Does not make parameter count a quality ranking or product guarantee.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-01	paper_report_excerpt	CH02-CH05	A-0285-005	paper_report_excerpt	Scaling Laws for Neural Language Models	assets/papers/i0285_cards/paper-0285-005-scaling-laws-for-neural-language-models.svg	yes	042c901c8547647a55f73408ff5803b68592b7895a240efd900d9158e31afa5d	Gives scaling chapters a primary loss/compute/data source page.	https://arxiv.org/pdf/2001.08361	private_use_source_surface_page_render; source page render hash 74dffb3bfa598109c5bc13783a2e34b687f6d9f2c1267ebb63dd49e01eb2c2ed; blocked claims: Does not prove automatic truth, safety, emergence thresholds, or business value.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-02	paper_report_excerpt	CH06-CH11	A-0285-006	paper_report_excerpt	Training language models to follow instructions	assets/papers/i0285_cards/paper-0285-006-training-language-models-to-follow-instructions.svg	yes	5b2b034c67e96c8ea0bb0bdde7c18903892b3aac64ce81d3d258325b4fefe85f	Shows instruction tuning and preference learning entering assistant behavior.	https://arxiv.org/pdf/2203.02155	private_use_source_surface_page_render; source page render hash 6c8e4426c3426408b8e1020724ab60858244cc647366fed92e41640fa3286ff5; blocked claims: Does not prove alignment solved or deployed ChatGPT behavior.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-02	paper_report_excerpt	CH06-CH11	A-0285-007	paper_report_excerpt	Constitutional AI	assets/papers/i0285_cards/paper-0285-007-constitutional-ai.svg	yes	30417d34ad09566e5190e83cf0093c8f4e13e7afc5f49e5699585516317f5b2c	Gives the Anthropic/alignment lane a primary paper page.	https://arxiv.org/pdf/2212.08073	private_use_source_surface_page_render; source page render hash 05a1f3db362dd90ba2bc512e7c3a2481936e03c08ab5ac256ee8842489841dc1; blocked claims: Does not prove Claude safety, policy correctness, or solved alignment.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-02	paper_report_excerpt	CH06-CH11	A-0285-008	paper_report_excerpt	Llama 2: Open Foundation and Fine-Tuned Chat Models	assets/papers/i0285_cards/paper-0285-008-llama-2-open-foundation-and-fine-tuned-chat-models.svg	yes	f3e59dc8dacb6237983d8f3e8535e1ec5e476be09477e7b6165a9f6bd8b27c03	Shows open-weight release as report/documentation surface.	https://arxiv.org/pdf/2307.09288	private_use_source_surface_page_render; source page render hash d262ca1876710a0f0559c8b85fd9c0c005516e7e665eb2812011babf93575cfa; blocked claims: Does not prove open-source legal status, adoption, or superiority.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-02	paper_report_excerpt	CH06-CH11	A-0285-009	paper_report_excerpt	Gemini: A Family of Highly Capable Multimodal Models	assets/papers/i0285_cards/paper-0285-009-gemini-a-family-of-highly-capable-multimodal-models.svg	yes	0b65e2147edec6fb1eb997b89343ee86a1532c849f1462f89f2a9d76e45a915c	Pairs Google product story with a technical report page.	https://arxiv.org/pdf/2312.11805	private_use_source_surface_page_render; source page render hash a481d630ff03160e86d1a89859d7e99123b475dfffa97ad562f94e95d566f753; blocked claims: Does not prove current product quality, Search impact, or benchmark crown.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-02	paper_report_excerpt	CH06-CH11	A-0285-010	paper_report_excerpt	Qwen2 Technical Report	assets/papers/i0285_cards/paper-0285-010-qwen2-technical-report.svg	yes	6e0d6724ff75e21b0c340c07e75197baf9ae2f444ce6eadd7377e2147ce4a0ad	Anchors the Qwen lane in a dated paper/report page.	https://arxiv.org/pdf/2407.10671	private_use_source_surface_page_render; source page render hash 1806828650de6648bb48917595d9b4c61ca1969cd9be241efdcc0f01d42a5798; blocked claims: Does not support Qwen3.5/3.6 claims or live model rank.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-03	paper_report_excerpt	CH11-CH21	A-0285-011	paper_report_excerpt	DeepSeek-V3 Technical Report	assets/papers/i0285_cards/paper-0285-011-deepseek-v3-technical-report.svg	yes	ff52b4c4396dae823102760f82aee5885fe409221ec852203cbf15260d13faa9	Adds DeepSeek system/report texture for the China frontier chapter.	https://arxiv.org/pdf/2412.19437	private_use_source_surface_page_render; source page render hash e294c88a9d909e1028672603278b9169b211c77b476e47ea3403f7932c7c2593; blocked claims: Does not prove post-cutoff V4 claims or neutral benchmark superiority.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-03	paper_report_excerpt	CH11-CH21	A-0285-012	paper_report_excerpt	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs	assets/papers/i0285_cards/paper-0285-012-deepseek-r1-incentivizing-reasoning-capability-in-llms.svg	yes	112514c345969a1fbb1e4c9343bcdec8685f55522d9a87c4941604ff1be43fba	Anchors reasoning/open-model prose in a primary report page.	https://arxiv.org/pdf/2501.12948	private_use_source_surface_page_render; source page render hash 77334130a85a847212e8b334e398df8aae3f1e9a15db4be22a3ef59eafe7fed7; blocked claims: Does not prove universal reasoning, safe deployment, or current rank.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-03	paper_report_excerpt	CH11-CH21	A-0285-013	paper_report_excerpt	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?	assets/papers/i0285_cards/paper-0285-013-swe-bench-can-language-models-resolve-real-world-github-issues.svg	yes	5182bb2b22abeafe7a38f5fa1a28dc5fc482139cac4762c867fb32271eea398b	Makes coding-agent evaluation a visible benchmark harness surface.	https://arxiv.org/pdf/2310.06770	private_use_source_surface_page_render; source page render hash 2d9fdc266c9dde195924c7a12ab0054ecc134e6426dcb93ebaf752dcecc36d00; blocked claims: Does not prove developer replacement or production productivity.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-03	paper_report_excerpt	CH11-CH21	A-0285-014	paper_report_excerpt	Toolformer: Language Models Can Teach Themselves to Use Tools	assets/papers/i0285_cards/paper-0285-014-toolformer-language-models-can-teach-themselves-to-use-tools.svg	yes	aec786eb81beed413d347725af52b6237b56a780c53ff7c7cfee6260124026c1	Gives tool-use chapters a primary research source page.	https://arxiv.org/pdf/2302.04761	private_use_source_surface_page_render; source page render hash 9f067a45ff641775dec84ae095dc54831c1cfe3f56398f02937038aeb81da44b; blocked claims: Does not prove autonomous reliability or current agent capability.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-03	paper_report_excerpt	CH11-CH21	A-0285-015	paper_report_excerpt	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	assets/papers/i0285_cards/paper-0285-015-retrieval-augmented-generation-for-knowledge-intensive-nlp-tasks.svg	yes	bed76201d7781b1701681df780d17580d1217b856bbc52245b9ced68a5bcf924	Shows retrieval as a source-grounding mechanism before agentic tool use.	https://arxiv.org/pdf/2005.11401	private_use_source_surface_page_render; source page render hash 58c959701398383152a8c6454d8fc87fee3f28ed2d9a657aa871b89c54a6f0f0; blocked claims: Does not prove factuality, complete grounding, or production correctness.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-04	paper_report_excerpt	CH02-CH09	A-0288-001	paper_report_excerpt	BERT: Pre-training of Deep Bidirectional Transformers	assets/papers/i0288_cards/paper-0288-001-bert-pre-training-of-deep-bidirectional-transformers.svg	yes	7f62213618200373a007f77ef999e5bd24b5f13879e0f61391752d4e6874fd52	Pre-Transformer-to-LLM context for masked-language-modeling lineage.	https://arxiv.org/pdf/1810.04805	private_use_source_surface_page_render; source page render hash 076d674b09d4f213666f986048a6a6d293cf1b7c72ef6952d85cfa4dfe203f9e; blocked claims: Does not make BERT a generative chatbot or prove later LLM behavior.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-04	paper_report_excerpt	CH02-CH09	A-0288-002	paper_report_excerpt	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	assets/papers/i0288_cards/paper-0288-002-exploring-the-limits-of-transfer-learning-with-a-unified-text-to-text-transformer.svg	yes	6918a8761a3a00fcf3cfd7ac79822346d58689c7b42b05cae73c0df9267bc484	T5/text-to-text framing as a bridge between transfer learning and promptable systems.	https://arxiv.org/pdf/1910.10683	private_use_source_surface_page_render; source page render hash 0182a2b443748515cb228583210e7374ea1563f6d5b3c8b0a1b0ed8777ad8ca3; blocked claims: Does not prove universal task generality or modern instruction-following behavior.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-04	paper_report_excerpt	CH02-CH09	A-0288-003	paper_report_excerpt	Training Compute-Optimal Large Language Models	assets/papers/i0288_cards/paper-0288-003-training-compute-optimal-large-language-models.svg	yes	19c0d2a6c2414d19e076e92b6d57d8b1cf9077c56b899f4fe6ddf3c5fea62453	Chinchilla compute/data balance surface for scaling-law chapters.	https://arxiv.org/pdf/2203.15556	private_use_source_surface_page_render; source page render hash afabb2b6186459adc7d248d0392b7225eab276012d7480e2d7e124e7f95ee67e; blocked claims: Does not prove a single optimal recipe for all later models or business outcomes.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-04	paper_report_excerpt	CH02-CH09	A-0288-004	paper_report_excerpt	PaLM: Scaling Language Modeling with Pathways	assets/papers/i0288_cards/paper-0288-004-palm-scaling-language-modeling-with-pathways.svg	yes	25a1a1bbda29c7191527cc18d93e275e2e038d6df9fd7c0e4a79be6235cc2195	Google/Pathways scale surface for the pre-Gemini model lineage.	https://arxiv.org/pdf/2204.02311	private_use_source_surface_page_render; source page render hash 20a7b8e38a9b144505cc5c61b4f670001db8ff3682417688b10808386be8999f; blocked claims: Does not prove current Gemini quality, deployment, or product adoption.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-04	paper_report_excerpt	CH02-CH09	A-0288-005	paper_report_excerpt	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models	assets/papers/i0288_cards/paper-0288-005-chain-of-thought-prompting-elicits-reasoning-in-large-language-models.svg	yes	4ab9fc2d9ce92cbfe31bfb50451754e8be0851d812a6694700d2a8fb08a7b47e	Reasoning/test-time prompting source surface.	https://arxiv.org/pdf/2201.11903	private_use_source_surface_page_render; source page render hash 2776552a84ba0f030412cebff7837e34d4808702593da69d063e61a46dbf8b93; blocked claims: Does not prove robust reasoning, hidden cognition, or safety.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-05	paper_report_excerpt	CH10-CH21	A-0288-006	paper_report_excerpt	Code Llama: Open Foundation Models for Code	assets/papers/i0288_cards/paper-0288-006-code-llama-open-foundation-models-for-code.svg	yes	d85271bbbc5831f82c185ba509b9d41116ae0e84ac28062f74439d2c8ebfd004	Code-model source surface for the coding-agent lineage.	https://arxiv.org/pdf/2308.12950	private_use_source_surface_page_render; source page render hash f8c9ec995d6dc97a9c603a8ae6e0a9937bc0b8c3d10744cb56794f9ec00c2596; blocked claims: Does not prove developer replacement, production correctness, or current benchmark rank.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-05	paper_report_excerpt	CH10-CH21	A-0288-007	paper_report_excerpt	Mistral 7B	assets/papers/i0288_cards/paper-0288-007-mistral-7b.svg	yes	e89f73f0f895bd1640b79d7a379b23c012b556605e858a909970d6220751ed65	Efficient European frontier/open-model source surface.	https://arxiv.org/pdf/2310.06825	private_use_source_surface_page_render; source page render hash 8919556393ab578909f899871d5386ea65313f64a48cb905686a49c4284f4811; blocked claims: Does not prove broad superiority, current deployment, or final model rank.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-05	paper_report_excerpt	CH10-CH21	A-0288-008	paper_report_excerpt	Mixtral of Experts	assets/papers/i0288_cards/paper-0288-008-mixtral-of-experts.svg	yes	9f6a979a764a17069ec5697dbfcc72f1332e43db6318fa9ef873e167d71fc558	Mixture-of-experts source surface for architecture and efficiency chapters.	https://arxiv.org/pdf/2401.04088	private_use_source_surface_page_render; source page render hash e4c3168b7019a2a2351e13e082b7b5f8c117998f48b81831a8b2bade9b42c26f; blocked claims: Does not prove all MoE systems are cheaper, safer, or superior.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-05	paper_report_excerpt	CH10-CH21	A-0288-009	paper_report_excerpt	The Llama 3 Herd of Models	assets/papers/i0288_cards/paper-0288-009-the-llama-3-herd-of-models.svg	yes	7f38620208a1bc8f7b5de4f789f56fca4bd5640b633806257b2e8aa82eba31a9	Meta/Llama 3 report surface for open-weight model-family narration.	https://arxiv.org/pdf/2407.21783	private_use_source_surface_page_render; source page render hash 1595a587e394bde58b89d01383663d1afc8383db1db3426f0a2b0b191194665d; blocked claims: Does not prove open-source legal status, adoption, or benchmark supremacy.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PAPER-05	paper_report_excerpt	CH10-CH21	A-0288-010	paper_report_excerpt	LiveCodeBench: Holistic and Contamination Free Evaluation	assets/papers/i0288_cards/paper-0288-010-livecodebench-holistic-and-contamination-free-evaluation.svg	yes	3da6b3b61cf65aeed630a25b6eb6c247346ba7622c347d64c167d07962d201c6	Coding benchmark paper surface for evaluation-caveat prose.	https://arxiv.org/pdf/2403.07974	private_use_source_surface_page_render; source page render hash 97a896e9e628d9b9a2af12ed49aa8b0dc1910d88016ac807ca9891cdba245f76; blocked claims: Does not prove broad software productivity or live model rank.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PDF-01	pdf_deck_report_page	CH15-CH16	A-0285-016	pdf_presentation_page	GTC 2026 keynote title/opening surface	assets/papers/i0285_cards/pdf-0285-001-gtc-2026-keynote-title-opening-surface.svg	yes	f72f0e674a75c7b87b0d0da046bbaf06f6e85a37e1c1fe1ae3eb1d56e4732a89	GTC opening/title page as NVIDIA source surface.	local:GTC-2026-Keynote.pdf	private_use_source_surface_page_render; source page render hash b7ad56fa1baddbc4768b9871f902aee05b1cf815251b42993860ff213d50bc40; blocked claims: Does not prove independent industry consensus.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PDF-01	pdf_deck_report_page	CH15-CH16	A-0285-017	pdf_presentation_page	GTC 2026 AI factory framing	assets/papers/i0285_cards/pdf-0285-002-gtc-2026-ai-factory-framing.svg	yes	7d154f8a1a442595fe1455f1bf0db79f1624626a996808f0ee72879eca879b47	AI-factory thesis as NVIDIA stagecraft.	local:GTC-2026-Keynote.pdf	private_use_source_surface_page_render; source page render hash 185bb3031e61d2866823e89c50f82363af6145037c6fec4791878b74131cd6f6; blocked claims: Does not prove deployed capacity, revenue, or neutral definition.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PDF-01	pdf_deck_report_page	CH15-CH16	A-0285-018	pdf_presentation_page	GTC 2026 hardware roadmap surface	assets/papers/i0285_cards/pdf-0285-003-gtc-2026-hardware-roadmap-surface.svg	yes	65f32d61e0c3cb819bfbfb96cf9376d734d3ec3eeacb8e95eabb46acb30cf7a2	Roadmap page for cutoff-labeled hardware sequence.	local:GTC-2026-Keynote.pdf	private_use_source_surface_page_render; source page render hash 3a95ccb54f83441f5c44a16b7cdb5d8c63c5cdcd8e1bf5b82732bf33ba25469f; blocked claims: Roadmaps are not happened history after the cutoff.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PDF-01	pdf_deck_report_page	CH15-CH16	A-0285-019	pdf_presentation_page	GTC 2026 rack-scale comparison surface	assets/papers/i0285_cards/pdf-0285-004-gtc-2026-rack-scale-comparison-surface.svg	yes	44c0db7d21881abb8fd319251934f9e3509f9a855633f1eb443ae07b6a69158d	Rack/cluster comparison as vendor-attributed visual evidence.	local:GTC-2026-Keynote.pdf	private_use_source_surface_page_render; source page render hash 9fa2bcbecac19e121395fbe3478bbe84d8ed15036cf7090495e667b07493331f; blocked claims: Does not prove independent performance or customer outcome.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PDF-01	pdf_deck_report_page	CH15-CH16	A-0285-020	pdf_presentation_page	GTC 2026 inference/economics framing	assets/papers/i0285_cards/pdf-0285-005-gtc-2026-inference-economics-framing.svg	yes	4eaec2d1e3aae202ac7f510a51b84fb69af08332eb61fff189b5bd76627ef0b3	Inference compute framing for token-economics prose.	local:GTC-2026-Keynote.pdf	private_use_source_surface_page_render; source page render hash 34a90816dcdbe2f86d05a8a42902ce7c8fc80dc5d22b72d406c0986d7504b9f5; blocked claims: Does not prove margins, price-quality, or real workload mix.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
I-0297	SS-PDF-02	pdf_deck_report_page	CH14-CH16	A-0285-021	pdf_presentation_page	GTC 2026 networking/platform surface	assets/papers/i0285_cards/pdf-0285-006-gtc-2026-networking-platform-surface.svg	yes	7e6659cf09a3a0a6b04272b94bc9b1ed4525e47637d85b03de29d35a79336da4	Networking/platform layer for AI factory stack.	local:GTC-2026-Keynote.pdf	private_use_source_surface_page_render; source page render hash c5ae89be4aac08ddf8e60eaa0f4a93c660b22d86a77c5d376f2fd72cfe370c3b; blocked claims: Does not prove deployed cluster design or procurement status.	Private-use source surface only; does not prove neutral truth, live rank, adoption, safety, deployment, revenue, benchmark superiority, roadmap delivery, or current product state without separate sentence-level support.
