source_id	status	local_path	source_type	cutoff_status	allowed_use	blocked_use
S-0006	capture_failed_shell	none	OpenAI product post	pre-cutoff ChatGPT launch source	Chronology and source-ledger-backed high-level launch framing.	No direct quotation or exact page-copy claim until browser/archive capture succeeds.
S-0043	available_local_html	assets/source_docs/chatgpt_opener/S-0043_tiktoken_github.html	OpenAI GitHub repository local capture	cutoff-compatible tokenizer source	Tokenization as practical encoding machinery.	No exact tokenizer/model behavior without row extraction.
S-0004	available	none	GPT-3 paper	pre-cutoff GPT-3 source	GPT-3 few-shot/context and next-token scale background.	No new benchmark or exact model-training detail without extraction.
S-0005	available	none	GPT-4 Technical Report	pre-cutoff GPT-4 source	Capabilities/limitations and hallucination caution.	No hidden architecture or benchmark-overclaim.
S-0014	available	none	InstructGPT/RLHF source	pre-cutoff instruction-following source	Instruction-following/RLHF bridge to assistant behavior.	No labeler-process quotation without quote-safe extraction.
S-0092	available_with_app_shell_caveat	data/source_snapshots/2026-05-25/2026-05-25__S-0092__x-post__sam-altman-one-million__html.html	Sam Altman X app-shell capture	pre-cutoff social post captured after cutoff	One-million-users milestone with undefined users caveat.	No MAU/registered/repeat-user interpretation.
S-0098	available	data/source_snapshots/2026-05-25/2026-05-25__S-0098__investing-reuters-chatgpt-fastest-growing__text-render.md	Reuters mirror text-render	pre-cutoff Reuters/UBS/Similarweb reporting	Attributed 100M January 2023 MAU and 13M daily-unique estimate.	No narrator-certified fastest-growing-app or OpenAI-confirmed adoption.
S-0102	available	data/source_snapshots/2026-05-25/2026-05-25__S-0102__itwire-similarweb-chatgpt-visits__text-render.md	Similarweb-side secondary text-render	pre-cutoff traffic corroboration	Corroborates Similarweb-side traffic context.	Do not replace UBS note or OpenAI telemetry.
S-0093	available_revision_extracted	data/source_snapshots/2026-05-25/2026-05-25__S-0093__policy-page__meta-stackoverflow-ai-ban__revision1-source.txt	Meta Stack Overflow revision source	pre-cutoff institutional policy with later edits	Original Dec. 5, 2022 temporary ChatGPT-generated-posts example.	No all-developers or permanent/current-policy generalization from revision 1.
S-0094	available	data/source_snapshots/2026-05-25/2026-05-25__S-0094__education-report__chalkbeat-nyc-schools-chatgpt-ban__html.html	Chalkbeat local capture	pre-cutoff education reporting	Named NYC school-device/network access-control example.	No national school panic or broad public-reception claim.
S-0096	available	data/source_snapshots/2026-05-25/2026-05-25__S-0096__axios-seattle-chatgpt-schools__text-render.md	Axios Seattle text-render	pre-cutoff local reporting	Named Seattle Public Schools access-control example.	No permanent/national school-ban claim.
S-0097	available	data/source_snapshots/2026-05-25/2026-05-25__S-0097__axios-jpmorgan-chatgpt-restriction__text-render.md	Axios workplace text-render	pre-cutoff business reporting	Named JPMorgan workplace software-control example.	No broad company-ban, boardroom panic, or incident claim.
